date,Privacy policy Pokemon Go,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2013-09-01,0,150,236,0,39,406,11,19,37,70,834,415,136,175,508,454,0,3900,3600,4300,1400,2400,0,364,142,361,14,41,87,54,8,105,184,4,5,14,18,4,4,9,7,9,34,0,0,200,8,37,28,4,1080,265,26,0,65,6,447,16,16,28,4,31,1150,365,130,218,4,13,53,5,4
2013-10-01,0,154,206,18,23,367,12,23,37,59,901,295,136,150,543,408,5,4000,3250,3900,3100,2500,0,346,136,292,14,43,38,52,0,100,139,4,5,12,14,7,0,3,7,4,30,0,3,750,14,28,26,0,1480,359,19,0,32,3,462,13,24,26,0,23,1150,315,126,235,4,8,47,5,6
2013-11-01,0,122,160,15,20,389,17,25,24,69,967,320,148,150,515,385,12,3800,3150,4000,2800,2000,0,410,140,379,16,37,53,41,0,118,334,7,5,20,25,3,8,10,3,10,20,11,3,200,11,19,24,4,900,312,30,0,49,6,485,19,29,24,4,21,1000,350,121,169,5,10,42,7,6
2013-12-01,0,100,222,29,21,412,21,17,50,72,1167,370,192,195,615,416,10,4450,3750,4400,3400,2000,0,391,168,405,17,52,76,47,7,156,428,11,10,9,18,3,15,7,7,12,36,0,3,175,11,43,26,4,780,265,33,0,56,8,470,7,20,26,4,28,1050,386,175,225,4,13,40,9,10
2014-01-01,0,138,217,19,26,467,15,29,48,70,1084,440,272,230,636,531,6,4800,4150,4500,4800,2700,0,410,184,357,18,33,138,61,3,123,139,6,3,21,18,3,12,0,10,7,28,3,0,150,6,34,20,0,800,330,44,0,79,8,454,17,24,20,0,33,1100,386,242,252,7,7,36,5,10
2014-02-01,0,88,233,28,24,406,9,26,56,60,867,300,164,165,636,562,5,4650,4050,4000,3500,3500,0,401,174,344,14,36,107,72,4,120,139,7,7,14,17,3,12,7,10,11,32,0,3,175,9,16,31,4,740,312,39,0,62,6,462,16,25,31,4,33,1050,343,163,228,4,19,65,7,6
2014-03-01,0,91,192,20,27,556,14,25,42,55,834,345,228,220,615,524,5,4550,4000,4250,3700,2900,0,346,156,379,8,49,71,65,0,118,167,4,4,25,23,3,13,5,5,10,31,3,3,175,7,213,34,3,740,300,41,0,72,3,477,6,22,34,3,16,1100,386,188,214,5,15,42,4,8
2014-04-01,0,104,214,29,24,534,15,32,61,52,1050,315,220,205,608,462,6,4500,3850,4150,3800,2500,0,364,172,331,10,37,76,48,5,149,362,5,5,23,16,10,14,3,8,8,31,3,0,175,9,19,33,0,740,277,56,0,53,8,470,11,20,33,0,18,1050,429,175,232,7,11,33,10,6
2014-05-01,0,85,171,39,22,395,21,13,37,54,1084,300,320,225,593,454,5,4250,3650,4050,10000,2600,0,355,152,300,56,35,104,53,10,136,339,10,15,16,9,3,12,7,15,12,40,0,10,175,10,31,20,3,780,271,58,0,65,14,500,24,23,20,3,21,1050,393,159,238,6,12,46,6,8
2014-06-01,0,129,160,20,22,339,17,16,56,60,967,305,260,260,565,493,4,4450,3650,4050,5100,3900,0,364,144,292,24,45,153,67,6,125,162,12,8,16,13,4,12,4,9,8,37,4,4,175,4,22,24,15,760,242,42,0,86,12,439,22,21,24,15,16,1000,379,167,245,5,10,46,9,8
2014-07-01,0,110,182,34,33,389,29,14,74,85,1017,360,228,270,658,616,7,4600,4150,4900,4400,4100,0,364,148,435,19,29,164,63,4,154,139,6,13,9,15,5,10,11,12,6,41,0,7,150,10,22,21,4,780,248,58,0,65,5,377,18,15,21,4,19,1150,522,180,249,4,13,48,5,10
2014-08-01,0,125,192,34,25,456,21,23,44,71,1050,330,216,265,615,554,3,5000,4250,4950,4100,3200,0,910,170,383,14,48,120,64,8,147,150,4,9,7,14,16,9,7,4,4,33,0,7,250,4,22,28,6,860,253,36,0,70,8,400,43,9,28,6,23,1100,486,175,276,4,8,29,9,16
2014-09-01,0,113,160,22,23,406,22,22,41,64,984,265,228,215,608,454,3,4850,3800,4450,4300,2300,0,564,192,383,14,29,64,48,4,145,128,7,7,17,13,7,12,7,7,5,43,0,7,200,5,34,40,18,720,289,54,0,59,17,439,34,14,40,18,19,950,422,142,190,7,21,45,10,16
2014-10-01,0,138,141,26,32,417,31,19,53,85,901,255,272,190,579,516,5,4550,3600,4300,4400,2500,0,455,164,379,19,32,68,35,3,123,123,9,10,13,10,11,11,10,6,7,39,0,5,175,7,19,32,7,680,283,56,0,42,20,500,21,20,32,7,20,900,450,142,204,8,15,37,10,6
2014-11-01,0,97,157,25,21,356,20,23,44,69,901,255,236,250,558,493,8,4550,3850,4350,4800,3300,0,410,172,387,22,30,100,53,6,152,112,13,7,16,21,10,6,10,13,8,44,0,3,275,7,25,46,16,680,306,54,0,63,148,493,21,35,46,16,22,850,422,142,225,11,13,40,3,12
2014-12-01,0,75,190,21,15,384,28,27,52,69,967,260,304,300,572,524,8,4250,4050,4500,5300,4000,0,382,142,379,15,41,148,44,6,160,128,7,7,10,10,8,11,5,5,5,34,3,6,400,3,28,23,8,740,265,49,0,41,49,477,18,18,23,8,23,900,486,242,235,8,12,37,7,10
2015-01-01,0,104,157,23,20,362,19,29,53,82,1001,310,344,330,572,654,6,4300,4500,4500,6400,3900,0,364,154,357,71,37,150,51,9,149,134,14,3,14,16,8,14,8,5,11,29,0,0,2475,6,37,21,6,780,242,53,0,32,30,500,27,22,21,6,32,950,450,417,214,9,5,42,8,8
2015-02-01,0,100,200,25,11,267,19,15,44,78,1001,245,260,285,550,531,5,4150,4000,4100,5900,3300,0,391,168,357,42,49,87,37,14,140,139,19,5,18,18,13,12,3,10,9,34,0,0,250,5,28,27,5,600,283,62,0,28,31,470,23,23,27,5,24,850,422,155,218,7,7,37,11,8
2015-03-01,0,91,198,36,12,273,19,21,43,69,1001,280,304,280,529,462,6,4200,4100,3950,5000,3300,0,319,154,366,22,38,89,37,12,129,134,11,5,7,16,7,5,6,15,10,39,0,6,175,8,16,37,6,620,295,36,0,32,24,493,27,20,37,6,25,700,408,80,204,7,16,45,6,14
2015-04-01,0,85,171,43,20,300,18,18,60,73,1100,275,272,340,522,477,3,4100,4300,3950,5000,3700,0,310,148,327,38,44,105,34,11,143,178,13,5,17,19,3,7,6,12,7,47,3,0,200,3,31,27,11,660,277,46,0,23,45,539,23,20,27,11,21,850,422,117,187,4,11,46,4,10
2015-05-01,0,94,182,33,14,273,19,21,37,65,934,300,224,270,550,539,9,4150,4100,3950,5200,3900,0,273,132,300,18,52,127,49,13,143,412,18,7,24,18,6,15,4,10,8,48,0,3,125,4,22,28,11,600,242,49,0,27,33,500,13,16,28,11,27,750,400,100,214,8,11,33,6,16
2015-06-01,0,110,171,38,9,300,17,27,27,89,884,250,244,290,600,770,3,4400,4150,4150,5700,4300,0,310,138,327,16,38,163,40,12,136,273,15,10,18,15,14,10,14,9,8,30,3,0,150,3,19,27,29,600,277,39,0,16,74,462,18,28,27,29,31,800,479,113,225,6,10,35,13,8
2015-07-01,0,97,165,84,10,328,25,35,47,86,1117,285,304,435,600,570,3,4550,5000,4500,6400,5400,0,319,180,414,36,43,107,52,12,149,162,16,7,18,11,6,12,9,11,10,31,0,0,150,3,19,30,17,640,289,52,0,24,50,439,17,20,30,17,24,900,500,113,204,7,12,42,13,8
2015-08-01,0,75,195,30,9,339,23,34,72,65,1184,280,348,390,629,485,3,4700,4900,4450,5200,5900,0,364,200,422,18,50,79,38,15,140,178,13,9,12,7,6,11,9,9,5,44,0,0,150,5,19,26,4,660,283,49,0,16,25,539,18,17,26,4,21,900,486,105,218,11,16,43,5,20
2015-09-01,3,82,160,29,15,317,17,22,57,85,934,220,268,330,608,493,4,4600,4250,3850,4900,5900,0,355,164,361,39,48,104,44,16,169,406,19,7,19,19,7,9,9,7,9,30,3,6,2500,6,31,27,14,1020,300,42,0,19,39,531,22,20,27,14,36,800,443,92,200,3,10,25,8,16
2015-10-01,0,79,157,26,12,278,21,29,51,83,817,220,216,315,558,624,4,4250,3800,3750,4100,5200,0,337,144,357,23,47,92,38,12,134,334,16,4,26,10,7,11,4,10,12,18,0,6,325,7,31,34,14,620,277,30,0,14,33,539,17,21,34,14,36,750,422,84,166,4,24,43,9,18
2015-11-01,0,85,163,34,11,323,34,28,41,84,817,195,232,320,550,554,6,4100,3850,3600,4100,4900,0,291,148,318,18,31,63,44,5,149,134,13,10,17,19,14,9,6,3,9,23,0,6,125,11,37,32,10,560,271,43,0,16,25,493,7,12,32,10,36,700,450,88,187,15,12,29,5,16
2015-12-01,0,110,173,29,11,306,19,29,35,104,917,280,264,335,586,547,4,4400,4100,4150,4400,5400,0,337,150,292,39,36,76,48,12,149,145,14,10,19,22,13,9,3,10,14,32,3,4,150,9,25,35,12,500,248,42,0,14,25,470,13,9,35,12,23,750,522,96,200,7,14,42,9,16
2016-01-01,0,91,179,30,13,323,26,24,34,76,1100,265,292,420,679,547,5,4600,4350,4050,4600,6300,0,300,158,292,31,56,82,49,9,178,200,21,8,19,15,7,7,8,7,6,35,0,4,150,9,22,22,13,500,253,46,0,24,34,493,12,10,22,13,30,850,550,92,235,7,15,45,12,14
2016-02-01,0,88,149,23,9,306,20,18,50,84,1017,235,240,355,572,393,7,4350,3900,3650,4700,7400,0,319,160,327,37,49,110,36,18,169,378,15,10,34,19,4,17,7,12,12,23,3,3,150,5,34,38,7,500,289,31,0,15,33,500,11,12,38,7,35,800,558,84,197,10,11,42,6,8
2016-03-01,0,75,171,37,12,323,19,34,44,90,834,260,308,420,558,470,4,4250,3750,3500,5200,6400,0,264,122,296,40,56,87,39,21,158,323,22,10,20,17,11,16,8,5,4,22,3,4,175,4,40,25,7,520,289,47,0,19,27,554,18,25,25,7,27,700,515,100,173,10,10,51,12,18
2016-04-01,0,88,168,54,13,278,22,30,27,80,867,230,312,350,536,516,5,4200,3700,3500,5700,5900,0,291,120,300,67,56,69,35,30,138,162,18,9,18,24,10,6,7,41,5,30,3,80,175,7,34,28,9,500,283,62,0,9,40,500,16,17,28,9,36,700,579,100,218,7,19,58,7,193
2016-05-01,0,82,163,39,12,256,20,30,25,74,884,225,400,360,558,477,8,4250,3850,3550,5800,6500,0,310,130,266,59,63,53,31,20,143,134,20,14,15,17,20,4,10,10,5,21,3,14,150,3,25,19,14,500,265,58,0,12,34,477,14,27,19,14,37,750,515,100,183,9,11,44,14,54
2016-06-01,0,107,168,45,9,239,27,34,38,86,1217,260,340,445,558,485,5,4550,4400,3600,6500,8900,0,337,140,283,85,59,68,51,24,178,267,29,14,16,20,12,7,5,12,4,13,3,9,1025,6,43,24,9,640,253,55,0,7,48,493,9,18,24,9,30,800,636,105,245,7,6,52,7,39
2016-07-01,100,100,163,42,22,267,24,21,50,78,1200,275,372,495,715,508,3,4800,4600,3850,7200,9500,34,310,156,322,52,63,120,39,30,223,412,25,15,20,23,8,8,8,5,3,23,6,12,1075,7,37,30,11,580,312,63,3334,8,24,393,22,17,30,11,41,850,693,126,235,11,6,46,8,39
2016-08-01,30,91,182,54,19,295,21,25,34,95,984,265,340,420,665,524,0,4850,4300,3900,6400,7300,9,291,168,331,59,68,92,34,18,185,217,22,10,21,22,15,10,6,8,7,24,3,8,200,4,28,39,9,480,277,64,1534,15,39,477,14,17,39,9,33,850,643,117,211,6,10,43,11,27
2016-09-01,8,88,173,55,5,217,20,23,35,77,934,190,304,320,643,485,3,4650,3850,3700,5600,6900,3,300,156,305,49,52,73,36,18,145,150,15,16,19,28,13,12,5,36,3,14,0,6,225,7,49,44,10,580,289,65,467,12,43,508,10,22,44,10,42,800,600,84,173,12,12,56,10,24
2016-10-01,5,75,163,41,10,200,23,21,33,81,967,210,300,410,622,454,5,4550,3800,3600,5700,8600,0,300,142,314,63,49,58,33,16,127,156,18,12,19,16,8,11,7,10,10,14,3,12,1300,4,40,34,16,560,300,59,200,13,37,500,13,24,34,16,32,800,608,121,180,4,12,51,10,29
2016-11-01,2,88,155,46,8,206,23,23,39,77,1167,165,304,455,586,454,5,4500,3750,3600,5500,10000,0,328,148,357,66,65,115,35,14,185,556,24,11,25,17,12,7,10,14,10,13,4,2,175,7,43,34,17,500,265,66,134,11,53,416,16,12,34,17,36,850,579,117,197,8,15,52,13,25
2016-12-01,5,88,157,57,10,234,23,26,48,89,1001,240,328,475,686,477,7,4900,3900,3950,6600,9000,0,310,144,370,53,53,120,25,20,165,245,22,9,23,21,6,11,2,14,7,17,3,15,150,4,28,25,21,480,236,88,134,6,71,431,7,17,25,21,25,800,593,126,190,6,10,31,14,27
2017-01-01,2,75,211,66,16,295,25,29,39,95,1117,225,328,500,658,539,5,4950,4700,3950,6500,9100,3,382,138,322,38,61,117,62,10,149,167,25,7,16,21,12,7,7,5,5,19,4,7,250,5,46,33,12,520,306,72,100,12,53,470,24,27,33,12,33,900,715,130,221,3,16,35,10,20
