date,pokemon go settings,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2012-04-01,0,4,5,0,0,6,0,0,1,1,36,11,0,2,9,10,819,100,80,107,0,35,0,15,2,9,0,1,0,2,0,1,9,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,33,7,0,1,0,16,2,1,1,0,1,131,3,0,7,0,0,1,0,0
2012-05-01,0,5,5,0,0,6,0,0,2,1,35,11,0,2,10,10,773,100,80,107,0,32,0,12,3,7,0,0,0,2,0,1,9,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,33,7,0,1,0,12,1,0,1,0,1,130,4,0,9,0,0,1,0,0
2012-06-01,0,4,5,0,0,6,0,1,1,2,35,12,0,2,10,13,773,106,94,112,0,38,0,13,3,9,0,1,0,2,0,2,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,33,7,0,1,0,11,0,0,0,0,1,139,5,0,9,0,0,2,0,0
2012-07-01,0,4,5,0,0,7,0,1,2,1,49,13,0,2,11,13,764,117,111,123,0,43,0,12,3,9,0,1,0,1,0,2,9,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,31,6,0,1,0,15,1,0,1,0,1,137,7,0,9,0,0,2,0,0
2012-08-01,0,6,7,0,0,7,0,1,1,1,45,15,1,3,13,15,819,125,103,119,0,40,0,14,3,9,0,1,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,39,5,0,1,0,14,1,1,1,0,1,131,7,0,9,0,0,2,0,0
2012-09-01,0,9,6,0,2,6,0,0,1,2,39,11,0,3,12,14,801,119,95,113,3,40,0,12,3,11,0,1,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,56,7,0,1,0,12,0,1,1,0,0,124,7,0,8,0,0,1,0,0
2012-10-01,0,8,5,0,2,8,0,1,1,2,31,10,1,3,10,12,710,108,91,109,3,43,0,11,3,11,0,1,0,2,0,2,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,50,6,0,1,0,14,1,1,1,0,1,124,7,0,9,0,0,1,0,0
2012-11-01,0,6,5,0,1,7,0,0,1,1,43,12,3,2,10,13,655,112,95,113,11,43,0,14,3,8,0,1,0,2,0,2,13,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,46,7,0,2,0,17,1,0,1,0,1,99,7,1,10,0,0,2,0,0
2012-12-01,0,6,6,0,2,9,1,1,1,1,47,12,4,5,11,13,728,126,110,135,18,83,0,14,3,10,0,1,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,1,0,50,7,0,1,0,18,1,1,1,0,1,66,9,1,9,0,0,1,0,0
2013-01-01,0,5,7,0,2,10,0,0,1,2,40,13,3,5,13,17,710,126,115,131,16,95,0,14,4,8,0,1,1,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,0,43,7,0,3,0,16,0,0,1,0,0,56,10,1,9,0,0,2,0,0
2013-02-01,0,5,6,0,1,11,0,0,1,2,34,14,1,5,12,16,637,125,108,135,13,95,0,12,3,8,0,1,1,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,45,8,0,2,0,15,1,1,1,0,1,53,10,1,8,0,0,2,0,0
2013-03-01,0,5,6,0,1,10,0,1,1,1,36,12,3,4,11,14,600,123,107,121,16,60,0,11,4,7,0,1,2,2,0,4,13,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,1,0,52,7,0,2,0,16,0,0,1,0,1,48,12,2,8,0,0,2,0,0
2013-04-01,0,4,5,0,1,8,1,1,2,2,37,12,4,4,13,11,591,132,99,127,31,60,0,13,4,8,0,1,4,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,34,7,0,2,0,14,1,1,1,0,1,45,11,3,7,0,0,2,0,0
2013-05-01,0,4,5,0,1,11,0,0,1,1,31,12,3,5,14,13,555,134,94,123,36,69,0,12,4,8,0,1,2,2,0,3,5,1,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,34,7,0,2,0,12,0,1,0,0,1,41,10,4,8,0,0,2,0,0
2013-06-01,0,4,6,0,1,13,1,1,1,3,31,13,4,7,15,14,555,143,100,130,47,103,0,11,5,10,0,1,1,1,0,3,5,1,0,0,1,0,0,0,0,0,1,0,5,0,0,0,1,0,32,8,0,2,0,11,0,1,1,0,0,38,10,6,7,0,1,2,0,0
2013-07-01,0,5,7,0,1,15,1,0,1,2,38,15,5,7,16,13,555,145,112,132,47,69,0,12,4,11,1,1,2,2,0,4,12,0,0,1,1,0,0,1,0,0,1,0,5,0,0,0,1,0,41,8,0,2,0,10,1,1,1,0,1,37,13,4,8,0,0,2,0,0
2013-08-01,0,5,8,0,1,12,1,1,2,2,39,17,5,7,17,14,564,152,112,139,39,72,0,12,4,10,0,1,3,2,0,5,7,0,0,1,0,0,0,0,0,0,1,0,3,1,1,0,1,0,32,16,1,3,0,11,1,1,1,0,0,35,12,3,8,0,0,2,0,0
2013-09-01,0,4,7,0,1,12,0,1,2,2,26,12,4,5,14,13,528,149,96,125,39,66,0,12,5,10,0,1,3,2,0,4,5,0,0,1,0,0,0,0,0,0,1,0,5,0,1,0,1,0,34,8,1,2,0,13,0,0,1,0,1,35,10,3,7,0,1,2,0,0
2013-10-01,0,5,6,0,0,11,0,0,1,2,30,10,5,5,16,13,501,145,87,112,80,69,0,10,4,11,1,1,1,2,0,2,4,0,0,0,0,0,0,0,0,0,1,0,21,0,1,0,1,0,47,10,1,1,0,14,0,1,1,0,1,35,9,4,7,0,0,1,0,0
2013-11-01,0,4,5,1,1,12,1,1,1,2,31,10,5,4,15,11,491,147,91,113,72,58,0,10,4,12,0,1,1,1,0,4,8,0,0,1,0,0,1,0,0,0,1,0,4,0,0,0,1,0,29,10,1,1,0,15,0,1,1,0,1,27,10,5,5,0,0,2,0,0
2013-12-01,0,4,7,1,1,14,1,1,1,2,38,11,6,7,19,13,510,169,104,121,88,58,0,11,4,12,0,1,2,1,0,5,13,0,0,0,1,0,0,0,0,0,1,0,4,0,2,0,1,0,24,9,1,2,0,13,1,1,1,0,0,28,11,6,6,0,0,1,0,0
2014-01-01,0,4,6,1,1,14,0,1,1,2,34,12,9,6,19,15,537,178,112,130,126,78,0,12,6,13,0,1,4,2,0,4,5,0,0,0,1,0,0,0,0,0,1,0,4,0,1,0,1,0,25,10,1,2,0,14,1,1,1,0,1,31,11,7,8,0,0,1,0,0
2014-02-01,0,3,7,1,1,13,0,0,2,2,27,9,5,6,18,17,501,167,107,113,88,95,0,12,5,10,1,1,3,2,0,3,4,0,0,1,0,0,0,0,0,0,1,0,5,0,1,0,1,0,23,8,1,2,0,13,1,1,1,0,1,28,10,6,7,0,0,2,0,0
2014-03-01,0,3,6,1,1,16,0,1,1,2,27,11,6,7,18,16,482,167,108,114,93,83,0,11,5,11,0,1,2,2,0,3,5,0,0,1,1,0,0,0,0,0,1,0,4,0,6,0,1,0,23,8,1,2,0,12,0,1,1,0,1,31,10,5,6,0,0,1,0,0
2014-04-01,0,3,5,1,1,16,1,1,2,2,33,11,6,7,17,14,482,169,103,119,101,75,0,11,5,11,0,1,3,1,0,4,10,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,1,0,23,9,1,2,0,13,0,1,1,0,1,32,12,5,7,0,0,1,0,0
2014-05-01,0,3,5,1,1,11,1,1,1,2,34,10,9,6,16,14,482,162,102,113,257,75,0,10,4,11,1,1,3,1,0,4,10,0,0,1,0,0,0,0,0,0,1,0,5,0,1,0,1,0,25,9,1,1,0,15,1,0,1,0,1,31,11,5,7,0,0,1,0,0
2014-06-01,0,3,4,1,1,11,0,1,2,2,31,9,8,7,16,15,510,165,103,117,131,115,0,12,5,9,0,1,4,2,0,4,5,0,0,1,1,0,0,0,0,0,1,0,5,0,1,0,1,0,23,7,1,2,0,11,1,0,1,0,1,28,12,4,7,0,0,2,0,0
2014-07-01,0,3,5,1,1,12,1,1,2,2,28,13,7,9,19,18,528,171,115,135,116,118,0,11,5,13,1,1,5,2,0,5,5,0,0,1,1,0,0,0,1,0,1,0,4,0,1,0,0,0,23,7,2,2,0,10,1,1,0,0,1,31,14,6,7,0,0,1,0,0
2014-08-01,0,4,5,1,1,14,0,1,2,2,32,12,7,8,19,17,564,186,119,135,108,92,0,27,5,13,0,1,4,1,0,4,4,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,1,0,26,8,1,2,0,11,1,1,1,0,0,32,13,4,8,0,1,1,0,0
2014-09-01,0,3,5,1,1,12,1,1,2,2,32,9,7,6,16,15,501,180,103,128,108,69,0,18,6,12,0,1,3,2,0,4,4,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,1,0,23,8,1,2,0,11,1,1,1,0,1,30,11,4,6,0,0,1,0,0
2014-10-01,0,3,4,1,1,12,1,1,2,2,28,9,8,6,16,15,473,171,100,121,113,72,0,12,5,12,0,1,2,1,0,4,3,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,1,0,21,9,2,1,0,14,1,1,1,0,1,27,11,5,6,0,0,2,0,0
2014-11-01,0,3,5,1,1,10,0,1,2,2,29,9,7,7,16,16,455,169,103,123,124,98,0,12,5,12,1,1,3,1,0,4,4,0,0,1,0,0,0,0,0,0,1,0,8,0,1,0,1,0,21,9,2,2,3,13,1,1,1,0,1,25,13,6,7,0,0,2,0,0
2014-12-01,0,3,6,1,1,12,1,1,2,2,32,9,9,9,17,15,473,162,110,128,139,112,0,12,5,12,0,1,4,1,0,5,5,0,0,1,0,0,0,0,0,0,1,0,10,0,1,0,1,0,22,7,1,2,1,13,1,1,1,0,0,27,15,7,6,0,0,1,0,0
2015-01-01,0,3,5,1,1,10,0,1,2,2,33,11,12,9,17,20,491,162,120,123,165,118,0,12,4,12,3,1,4,1,0,4,4,0,0,1,1,0,0,0,0,0,1,0,67,0,1,0,1,0,26,8,2,1,1,15,1,1,1,0,1,27,15,12,7,0,0,1,0,0
2015-02-01,0,3,5,1,0,8,0,1,1,2,30,8,8,8,16,16,464,152,108,113,147,95,0,12,5,10,2,1,3,1,0,4,4,0,0,0,1,0,0,0,0,0,1,0,6,0,1,0,1,0,19,8,2,1,1,14,0,1,1,0,1,25,12,5,7,0,0,1,0,0
2015-03-01,0,3,5,1,0,8,0,1,2,2,33,9,10,9,16,15,446,158,111,113,131,98,0,10,5,11,0,1,2,2,0,4,4,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,1,0,19,9,1,0,1,14,1,1,1,0,1,23,12,3,6,0,1,1,0,0
2015-04-01,0,3,5,1,0,8,1,1,2,2,35,9,8,10,15,14,437,156,112,113,134,103,0,9,4,11,1,1,3,1,0,4,6,0,0,1,0,0,0,0,0,0,1,0,5,0,1,0,1,0,20,9,1,1,1,14,0,1,1,0,1,24,11,3,6,0,0,1,0,0
2015-05-01,0,3,5,1,0,8,0,1,1,2,27,8,6,8,17,16,455,154,111,110,131,115,0,9,4,10,1,1,4,1,0,4,12,1,0,1,0,0,1,0,0,0,1,0,4,0,1,0,1,0,19,7,2,1,1,13,0,1,1,0,1,23,12,3,6,0,0,1,0,0
2015-06-01,0,3,5,1,0,8,1,1,2,2,27,10,8,9,17,23,482,162,120,114,147,123,0,9,5,10,1,1,5,2,0,4,8,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,1,1,18,10,1,1,2,13,1,1,1,1,1,23,14,3,6,0,0,1,0,0
2015-07-01,0,3,5,2,0,9,1,1,1,2,38,9,10,12,17,18,510,169,134,124,162,152,0,10,5,13,1,2,3,2,0,5,4,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,1,19,8,1,1,2,12,0,1,1,1,0,27,15,3,6,1,1,1,0,0
2015-08-01,0,3,6,1,0,11,1,1,2,2,39,9,10,12,19,14,491,178,134,128,134,172,0,11,6,13,1,1,2,1,0,3,5,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,1,0,20,9,2,0,1,15,1,1,1,0,1,25,14,3,6,0,0,1,0,1
2015-09-01,0,3,5,1,0,9,1,1,2,2,29,7,8,10,17,15,455,171,115,109,126,169,0,10,5,13,1,2,3,1,1,4,12,0,0,1,0,0,0,0,0,0,1,0,69,0,1,0,1,0,32,9,1,0,1,15,1,1,1,0,1,23,13,3,6,0,0,1,0,0
2015-10-01,0,2,4,1,1,8,1,1,1,2,26,7,7,9,16,17,446,156,104,107,108,149,0,10,5,11,1,1,3,1,1,4,11,0,0,1,1,0,0,0,0,0,1,0,9,0,1,0,1,0,18,8,1,0,1,15,0,1,1,0,1,23,12,3,5,0,1,1,0,0
2015-11-01,0,3,5,1,0,9,1,1,1,2,24,6,7,10,15,18,437,149,107,100,103,140,0,9,4,11,1,1,2,1,0,4,4,0,0,0,1,0,0,0,0,0,1,0,4,0,1,0,1,0,17,8,1,1,1,15,0,1,1,0,1,20,13,2,5,0,0,1,0,1
2015-12-01,0,3,5,1,0,9,1,1,1,3,28,8,8,11,17,16,464,162,111,114,111,155,0,11,5,11,1,1,2,1,0,5,4,1,0,1,1,1,0,0,0,0,1,0,4,0,1,0,1,0,16,8,1,0,1,14,0,1,1,0,1,23,16,3,6,0,0,1,0,0
2016-01-01,0,3,5,1,0,9,1,1,1,2,33,9,9,13,19,16,482,171,118,114,121,180,0,10,5,10,1,2,3,1,0,5,7,0,0,1,1,0,0,0,0,0,1,0,4,0,1,0,1,0,18,8,1,0,1,12,0,1,1,0,1,24,16,2,6,0,0,1,0,0
2016-02-01,0,3,5,1,0,9,1,1,2,3,33,8,8,10,16,12,437,162,103,99,118,212,0,10,4,10,1,1,3,1,0,5,11,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,1,0,16,8,1,1,1,14,0,1,1,0,1,23,15,3,5,0,0,1,0,0
2016-03-01,0,3,6,1,0,9,1,1,1,2,27,8,9,12,16,15,446,158,106,100,131,180,0,8,4,10,2,1,2,1,1,4,10,1,0,1,1,0,1,0,0,0,1,0,5,0,1,0,1,0,15,9,2,0,1,16,0,1,1,0,1,21,16,3,6,0,0,1,0,1
2016-04-01,0,2,6,2,0,9,1,1,1,3,25,7,10,11,16,16,464,158,102,98,147,169,0,9,4,9,2,2,2,1,1,5,4,1,0,1,1,0,0,0,1,0,1,2,5,0,1,0,1,0,16,8,2,0,1,14,0,0,1,0,1,21,16,3,6,0,1,2,0,6
2016-05-01,0,3,5,2,0,7,1,1,1,3,28,8,11,10,15,14,464,158,104,99,149,183,0,8,4,9,2,2,2,1,1,4,4,1,0,1,1,0,0,0,0,0,0,0,4,0,1,0,1,0,15,8,2,0,1,15,1,1,1,0,1,23,16,3,5,0,0,1,0,2
2016-06-01,0,3,4,1,0,7,1,1,1,2,41,9,12,13,16,15,491,169,122,100,170,258,0,11,4,10,3,2,2,2,1,6,8,1,1,1,0,0,0,0,0,0,1,0,29,0,1,0,1,0,20,8,2,0,1,14,0,0,1,0,1,24,19,3,7,0,0,1,0,1
2016-07-01,100,3,5,2,0,7,1,1,1,3,39,10,11,14,20,16,519,182,127,107,188,280,1,10,4,10,2,2,4,2,1,6,12,1,0,1,0,0,0,0,0,0,1,0,29,0,1,3,1,0,18,9,2,0,1,11,1,1,1,0,1,24,20,3,8,0,0,2,1,1
2016-08-01,45,3,5,1,1,9,1,1,1,3,31,8,10,12,20,16,491,180,119,112,162,209,0,10,5,10,2,2,2,1,1,6,6,1,0,1,1,0,0,0,0,0,1,0,6,0,1,1,1,0,15,9,2,0,1,14,1,0,1,0,1,24,19,3,6,0,0,1,0,1
2016-09-01,14,3,5,1,0,7,1,1,1,3,32,6,10,10,18,15,491,176,107,105,139,200,0,10,5,9,1,2,2,1,1,4,4,1,0,0,1,0,0,0,1,0,1,0,5,0,1,0,1,0,17,9,2,0,1,13,0,1,1,0,1,24,17,3,6,1,0,2,0,1
2016-10-01,5,3,6,2,1,6,1,1,2,2,30,7,10,12,17,13,482,171,100,99,147,246,0,9,4,11,2,1,2,1,0,4,4,1,0,1,1,0,0,0,0,0,0,0,36,0,1,0,1,0,18,8,2,1,1,15,1,1,1,0,1,24,17,4,5,0,0,1,0,1
2016-11-01,4,3,5,1,0,7,1,1,1,3,36,6,9,13,18,14,491,173,104,105,144,286,0,10,5,10,2,2,3,2,1,6,15,1,0,1,0,0,0,0,0,0,1,0,5,0,1,0,1,0,15,8,2,0,2,14,0,1,1,0,1,24,18,3,6,0,1,1,0,1
2016-12-01,4,3,5,2,0,8,1,1,1,2,31,8,10,14,19,14,464,182,102,112,167,249,0,10,4,11,1,2,4,1,1,5,6,1,0,1,1,0,0,0,0,0,0,0,4,0,1,0,1,1,14,8,2,0,2,13,0,1,1,1,1,23,17,4,6,0,1,1,0,1
2017-01-01,3,3,6,2,0,8,1,1,1,3,33,7,11,13,19,16,510,184,124,113,167,258,0,12,4,10,1,2,3,2,0,5,6,1,0,1,1,0,0,0,0,0,0,0,7,0,1,0,1,1,16,9,2,0,2,15,1,1,1,1,1,25,21,4,7,0,0,1,0,1
