date,how to delete pokemongo,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete gmail,how to delete twitter,how to delete youtube,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2013-02-01,0,485,593,0,98,929,60,44,120,132,3250,1143,120,558,1220,1500,17,6600,7800,8800,1200,255,767,11,78,109,96,0,273,358,11,11,48,30,0,11,18,21,22,11,22,12,500,33,73,0,107,0,3650,658,12,0,124,12,1460,72,49,126,0,45,3600,800,112,719,0,15,168,44,15
2013-03-01,0,393,465,0,87,915,38,52,107,148,3600,1072,220,429,1120,1080,20,6700,8000,8600,1100,305,667,16,59,196,120,0,284,1100,10,29,53,20,20,10,23,0,20,24,0,10,400,23,73,0,85,0,4200,600,20,0,157,0,1400,59,46,75,0,73,3300,967,145,655,0,44,165,23,10
2013-04-01,0,339,450,0,65,743,43,69,118,164,3700,1029,250,429,1140,1000,13,6900,6900,8800,1175,270,734,20,47,288,152,10,306,500,23,30,59,27,20,20,10,0,17,0,0,0,450,17,64,0,90,0,2650,558,16,0,170,19,1240,59,59,96,0,39,2900,784,223,591,11,20,138,30,10
2013-05-01,0,400,422,0,78,972,31,65,135,116,2950,1086,290,543,1240,1160,19,7300,6900,8500,1150,305,723,18,90,196,142,0,234,443,55,34,53,23,10,36,13,19,10,30,0,10,350,24,46,0,49,0,2700,558,9,0,166,12,1160,47,52,48,0,50,2800,767,334,610,10,29,182,15,10
2013-06-01,0,362,550,0,69,1129,49,60,129,177,3050,1100,380,686,1280,1160,23,7700,7300,9100,1025,330,867,27,100,109,106,0,278,372,56,30,49,67,10,23,17,19,20,60,0,10,350,15,37,0,60,0,2650,572,25,0,218,0,1000,38,52,65,0,56,2500,784,456,546,11,66,214,20,15
2013-07-01,0,424,686,0,98,1329,43,55,85,200,3650,1372,470,543,1500,1140,20,7900,8700,9500,1050,395,934,40,99,146,118,0,378,1129,26,36,32,46,39,26,29,9,20,96,0,0,350,34,55,0,62,0,3300,558,45,0,198,12,980,33,36,75,0,53,2400,1117,367,701,0,29,182,10,15
2013-08-01,0,393,715,0,60,1158,58,58,131,208,3650,1429,380,543,1600,1120,19,8100,8000,10000,1075,390,889,33,114,313,116,0,350,586,16,10,43,42,10,26,26,14,10,69,10,10,300,32,64,0,46,9,2550,1429,52,0,192,12,1020,42,78,64,10,50,2500,1067,289,691,10,29,122,10,20
2013-09-01,0,377,629,0,98,1043,42,70,109,177,2550,1129,380,500,1320,1180,19,7900,7200,8600,1000,355,978,35,106,221,138,19,262,443,10,13,42,42,10,10,19,14,24,87,0,0,400,19,110,0,71,9,2700,643,67,0,164,15,1160,47,33,79,10,78,2300,834,345,573,10,32,136,13,10
2013-10-01,0,408,550,45,58,943,40,54,109,150,2700,858,380,400,1460,1080,12,8000,6600,7900,950,340,834,37,109,96,134,0,250,372,9,12,35,52,14,0,9,18,9,76,0,10,1500,36,82,0,67,0,3700,886,49,0,87,8,1200,40,55,55,0,59,2200,734,334,619,10,21,119,14,15
2013-11-01,0,339,415,43,52,1000,50,64,70,174,2900,829,380,372,1400,1000,24,7700,6300,8000,1125,350,978,40,95,134,104,0,295,815,18,14,59,46,9,21,24,13,24,53,27,10,350,27,55,0,62,9,2250,758,76,0,122,15,1260,55,65,65,10,53,2000,817,323,446,15,24,106,18,15
2013-12-01,0,270,529,55,52,1058,64,43,144,182,3500,1072,540,500,1660,1080,23,8900,7500,8800,1075,420,1078,44,133,192,120,19,389,1072,28,25,25,37,9,37,25,9,31,93,0,10,350,28,128,0,66,9,1950,643,83,0,153,19,1220,20,52,60,0,70,2100,884,456,582,15,34,103,22,24
2014-01-01,0,385,572,65,65,1200,47,72,140,177,3250,1172,750,629,1720,1380,13,9700,8300,9000,1125,460,978,46,83,350,156,9,306,429,14,9,60,40,9,32,35,13,17,72,9,8,300,14,101,0,53,0,2000,800,112,0,207,19,1180,51,59,46,0,84,2100,917,645,664,23,17,92,13,24
2014-02-01,0,270,658,63,60,1043,21,50,164,150,2600,929,430,415,1760,1460,16,9300,8000,8000,1100,430,967,35,92,271,182,9,300,415,19,19,41,35,9,31,19,23,28,82,0,12,350,24,46,0,80,9,1850,758,98,0,157,15,1200,46,59,78,10,84,2000,834,434,591,0,47,165,19,15
2014-03-01,0,262,550,50,67,1429,42,54,124,137,2500,958,630,572,1680,1360,17,9100,7900,8500,950,390,1056,20,125,180,164,0,295,429,11,11,74,51,14,34,17,16,25,80,8,8,350,17,637,0,85,8,1850,729,105,0,177,8,1220,19,42,106,9,39,2100,867,500,555,27,37,106,11,20
2014-04-01,0,324,600,80,60,1386,38,67,181,132,3150,958,610,572,1720,1220,15,9100,7700,8400,1000,430,945,27,94,192,122,13,373,858,13,12,66,32,17,35,9,8,20,80,9,8,350,23,55,0,85,0,1850,672,143,0,159,19,1220,34,62,72,0,45,2100,1050,467,610,47,29,87,26,15
2014-05-01,0,254,436,95,56,1015,72,47,109,137,3250,886,830,658,1520,1180,15,8600,7300,8100,975,380,856,142,88,263,134,27,339,915,26,38,48,32,9,29,18,38,29,103,0,22,350,26,91,0,50,9,1950,658,145,0,159,34,1300,72,68,53,9,53,2000,917,423,619,19,31,117,15,20
2014-06-01,0,324,350,55,56,872,48,36,164,153,2900,872,670,772,1520,1280,15,9000,7300,8100,1000,360,812,64,114,388,170,16,312,400,29,20,48,36,20,29,13,28,20,96,10,10,350,10,64,0,62,0,1900,586,107,0,198,30,1140,63,49,59,42,39,2000,884,445,637,11,26,117,23,20
2014-07-01,0,293,529,85,83,1000,88,41,218,216,3050,1100,640,758,1880,1600,14,9200,8300,9800,1025,370,1100,48,73,417,160,10,384,386,14,34,26,26,32,26,29,28,14,107,0,14,300,25,64,0,55,9,1950,600,145,0,211,12,980,52,36,52,10,48,2200,1217,478,655,0,34,122,13,24
2014-08-01,0,377,500,65,63,1172,42,60,129,179,3150,1058,570,772,1660,1440,14,10000,8400,9900,2500,425,1045,35,121,305,162,19,367,400,10,24,21,38,29,22,14,9,10,83,0,16,500,10,64,0,70,18,2150,615,92,0,198,19,1040,124,46,73,15,59,2200,1067,467,719,10,19,73,24,39
2014-09-01,0,293,408,88,58,1043,55,58,120,164,3000,772,580,572,1620,1180,15,9700,7600,8900,1550,480,1067,37,75,163,122,9,362,372,18,18,50,31,21,31,18,13,14,111,0,14,400,14,101,0,102,0,1850,700,136,0,157,41,1140,99,42,125,50,48,1900,967,378,501,20,52,114,24,39
2014-10-01,0,354,400,78,80,1072,76,61,157,216,2700,715,720,515,1520,1340,12,9200,7200,8600,1250,410,1034,50,82,171,90,9,306,343,23,26,38,31,23,29,26,21,17,99,0,12,350,17,55,0,82,0,1700,686,143,0,127,49,1300,61,49,90,19,50,1800,1034,378,537,14,38,95,26,15
2014-11-01,0,277,436,65,54,915,48,54,131,174,2700,772,650,772,1500,1280,21,9200,7700,8700,1125,430,1056,57,78,255,134,15,378,315,33,18,49,45,27,15,18,30,21,114,0,8,550,18,73,0,117,43,1700,743,136,0,172,371,1280,63,71,136,43,56,1700,967,378,582,29,33,103,9,29
2014-12-01,0,239,543,65,38,986,85,64,153,172,2900,815,820,843,1540,1360,22,8500,8200,9000,1050,355,1100,40,106,375,110,15,400,358,18,18,28,32,20,29,15,17,13,88,9,14,800,9,82,0,59,21,1850,658,125,0,118,123,1240,52,52,72,19,59,1800,1134,645,610,38,29,95,18,24
2015-01-01,0,293,450,70,52,929,49,93,157,208,3050,929,950,986,1580,1720,12,8600,9100,9000,1000,385,1034,183,94,380,128,22,373,300,36,8,41,47,22,36,19,12,29,75,0,0,4950,16,110,0,53,16,1950,586,134,0,103,75,1300,81,59,68,13,81,1900,1100,1112,555,27,14,106,19,20
2015-02-01,0,285,522,73,27,686,58,36,131,195,3000,715,660,829,1500,1380,15,8300,8000,8200,1075,420,934,109,125,221,94,36,350,329,48,12,53,39,30,30,9,22,24,87,0,8,500,13,82,0,69,13,1500,686,156,0,81,78,1200,67,55,68,10,62,1800,1034,412,564,14,18,95,27,20
2015-03-01,0,254,486,105,29,715,48,67,127,172,3000,829,850,800,1440,1200,16,8400,8200,7900,875,385,934,57,97,226,94,30,317,315,27,13,22,32,20,12,20,43,24,100,0,12,350,22,46,0,95,20,1550,715,92,0,79,60,1280,78,49,118,9,64,1300,934,212,537,26,41,114,16,34
2015-04-01,0,239,400,115,49,772,63,58,177,182,3300,743,680,929,1440,1240,11,8200,8500,7900,850,365,867,98,111,267,86,28,350,472,33,14,50,53,14,17,17,20,17,120,8,8,350,8,91,0,70,20,1600,672,116,0,59,112,1380,67,62,86,31,53,1600,984,300,491,13,28,114,11,24
2015-05-01,0,262,458,100,36,700,57,54,109,164,2850,800,570,743,1500,1400,24,8300,8200,7900,750,330,856,46,133,321,124,32,356,1043,46,19,71,43,16,38,11,39,20,122,0,8,250,11,64,0,70,20,1500,586,123,0,79,82,1300,40,59,79,35,67,1500,917,267,555,17,27,84,16,39
2015-06-01,0,308,400,98,23,772,31,63,81,227,2650,743,650,829,1600,2000,8,8800,8300,8200,850,345,900,42,95,413,102,30,339,700,38,25,53,41,33,25,30,20,19,77,8,0,300,8,55,0,69,64,1500,672,98,0,57,186,1200,54,68,76,84,78,1600,1134,300,582,18,25,90,33,20
2015-07-01,0,270,393,250,25,843,57,81,137,216,3350,815,820,1243,1540,1480,14,9100,10000,9000,875,450,1112,94,109,271,132,30,367,358,41,19,53,22,24,30,24,20,24,80,0,0,300,8,55,0,76,39,1600,700,132,0,57,126,1140,49,46,84,48,62,1800,1134,300,537,26,30,106,32,20
2015-08-01,0,239,486,85,25,872,61,88,214,166,3550,815,910,1029,1740,1260,12,9500,9800,8900,1025,500,1100,46,128,200,96,38,350,472,32,24,36,27,16,27,19,8,13,114,0,16,300,12,55,0,68,8,1650,686,125,0,27,63,1400,52,46,100,13,53,1800,1134,278,573,35,40,109,12,48
2015-09-01,0,224,415,80,40,815,64,66,168,216,2800,629,670,929,1640,1280,12,9200,8500,7700,975,410,978,100,121,263,112,40,423,1000,47,18,56,37,13,24,29,34,24,77,8,14,5000,16,91,10,69,31,2550,729,107,0,46,97,1380,65,49,78,38,92,1600,1034,245,528,9,26,65,21,39
2015-10-01,0,224,408,83,29,715,69,67,150,211,2450,600,570,872,1500,1620,10,8500,7600,7400,925,355,989,59,121,230,98,30,328,829,40,10,77,28,38,27,12,22,30,46,0,12,650,19,91,0,85,37,1500,672,74,0,40,82,1380,49,49,102,44,92,1400,934,223,428,12,60,109,23,43
2015-11-01,0,247,415,90,27,829,104,69,120,214,2450,600,560,929,1420,1440,13,8200,7700,7200,800,370,856,46,80,159,112,13,373,358,33,25,50,51,25,23,18,18,23,59,0,16,250,27,110,0,82,22,1400,658,109,0,46,63,1280,21,42,96,25,92,1300,1067,234,491,29,31,73,13,39
2015-12-01,0,277,472,85,29,786,51,83,103,264,2750,772,680,886,1560,1440,12,8900,8300,8300,950,375,878,100,92,192,122,31,373,358,37,26,55,47,34,23,8,23,35,82,8,10,300,23,73,0,89,38,1250,600,107,0,29,63,1220,39,42,107,25,59,1500,1184,256,528,17,35,106,23,39
2016-01-01,0,262,472,88,32,829,59,76,100,193,3300,743,800,1186,1860,1420,12,9200,8700,8100,825,395,856,79,142,209,124,22,439,543,54,20,56,44,22,17,20,21,15,88,0,10,300,22,64,0,56,35,1250,615,116,0,64,86,1280,36,30,68,35,75,1600,1284,234,610,28,39,114,29,34
2016-02-01,0,270,372,73,23,786,59,66,146,211,3050,715,660,972,1520,1020,19,8700,7800,7300,875,395,900,94,125,280,92,46,423,1000,39,24,98,42,15,44,17,35,29,59,7,8,300,12,101,0,96,21,1250,700,78,0,55,82,1280,33,39,128,16,89,1500,1267,223,510,39,27,106,15,20
2016-03-01,0,208,500,105,29,829,59,77,131,229,2500,729,810,1229,1500,1220,9,8500,7600,7000,725,305,823,105,144,221,100,53,395,758,55,25,59,41,34,41,21,17,11,58,7,10,350,11,119,0,64,17,1300,700,118,0,40,67,1440,52,62,82,18,67,1400,1217,267,455,29,25,130,31,43
2016-04-01,0,224,436,138,34,715,61,81,81,203,2650,615,810,972,1500,1340,12,8400,7400,7000,800,300,800,172,142,175,88,76,345,415,45,24,54,62,14,14,21,99,12,77,7,200,350,18,101,0,71,21,1250,686,156,0,31,100,1300,46,39,86,31,92,1400,1267,267,573,31,48,149,17,477
2016-05-01,0,231,443,120,29,658,48,78,74,187,2650,629,940,972,1520,1240,21,8500,7700,7100,875,325,789,150,161,134,80,50,356,329,50,37,45,44,43,9,21,27,14,53,7,36,300,7,73,0,48,30,1250,643,147,0,33,86,1220,41,71,38,48,95,1500,1184,267,473,18,27,111,37,134
2016-06-01,0,277,415,120,25,615,92,76,111,219,3650,758,960,1158,1500,1260,14,9100,8800,7200,925,350,823,218,149,171,130,62,445,686,73,35,47,36,21,19,12,38,11,33,7,26,2050,14,128,0,62,27,1600,615,138,0,22,119,1280,28,62,69,31,75,1600,1434,278,637,19,14,133,17,96
2016-07-01,100,262,458,113,56,686,74,67,146,198,3600,800,1000,1429,2000,1340,10,9600,9300,7700,850,390,900,133,159,305,100,76,556,1058,64,38,58,57,14,21,17,34,7,60,14,28,2150,17,110,313,76,28,1450,758,158,10000,24,60,1020,66,46,102,31,103,1600,1617,334,610,31,14,117,21,96
2016-08-01,30,262,472,135,49,758,57,65,98,240,2950,729,880,1058,1780,1360,0,9800,8600,7800,800,420,912,150,173,234,86,47,456,543,56,26,60,66,40,24,14,27,18,61,7,18,400,11,82,94,98,24,1200,672,163,4600,33,93,1240,41,62,122,22,84,1700,1500,312,546,30,26,109,28,67
2016-09-01,7,247,465,148,14,558,60,76,103,195,2800,572,820,815,1760,1260,7,9300,7700,7400,825,390,856,124,133,184,90,47,362,358,37,42,57,68,21,30,19,81,7,36,0,20,450,17,146,16,112,30,1450,700,163,1400,37,104,1300,30,65,118,22,106,1600,1384,223,455,38,30,144,26,58
2016-10-01,0,216,465,115,27,515,68,59,96,206,2900,600,790,1072,1660,1180,13,9100,7600,7200,825,355,867,161,125,146,84,42,312,429,46,31,57,44,26,28,24,32,24,36,7,26,2600,11,119,22,87,45,1350,729,147,600,42,93,1300,40,55,94,28,81,1500,1384,323,464,14,31,130,26,72
2016-11-01,7,247,429,118,20,529,61,53,116,193,3500,500,800,1229,1620,1180,13,9100,7500,7200,900,370,956,170,164,292,88,36,462,1429,60,29,73,47,38,18,22,35,24,33,10,6,350,18,128,7,88,42,1250,643,165,400,33,134,1080,47,42,73,54,92,1700,1317,312,519,18,38,133,33,62
2016-12-01,0,224,415,143,27,600,61,58,142,227,3050,686,890,1300,1780,1260,18,9800,7800,7900,850,360,956,137,135,305,64,51,412,572,56,22,69,51,33,29,13,26,18,43,7,34,300,10,82,35,64,45,1200,572,223,400,16,178,1120,21,55,87,61,64,1500,1350,334,501,22,24,79,36,67
2017-01-01,9,208,565,170,40,758,78,79,116,243,3350,672,930,1286,1740,1400,12,9900,9300,7900,1050,345,867,96,154,296,158,25,373,443,62,17,48,54,33,17,15,21,12,48,10,16,500,12,137,7,84,33,1300,743,180,300,33,134,1200,71,75,86,33,81,1800,1667,334,582,27,40,90,25,43
