date,account preferences,automatically sign out gmail,change google password android,chrome settings,clear history android,clear history chrome,create new email account,create new google account,delete all history,delete all searches,delete gmail account permanently,delete google account history,delete google account,delete instagram account permanently link,delete my facebook account right now,delete my gmail account now,delete my gmail account,delete my google account,delete your account page,forgot instagram password,gmail account preferences,gmail logout button,gmail remove account from list,gmail sign out android,gmail sign out of all devices mobile,gmail sign out problem,gmail sign out shortcut,gmail stay signed in,google account change password,google account homepage,google account security page,google security manager,google settings app,google sign out everywhere,history google chrome,how do i deactivate my facebook account,how do i remove a device from my google account,how to deactivate gmail account temporarily,how to delete a gmail account 2016,how to delete a google account,how to delete facebook account forever,how to delete facebook account permanently immediately,how to delete facebook account permanently without waiting 14 days,how to delete facebook account without password,how to delete fb account permanently from mobile,how to delete gmail account from iphone,how to delete gmail account in android phone,how to delete gmail account permanently immediately,how to delete gmail account permanently without password,how to delete google account on android,how to delete instagram account on iphone,how to delete instagram account on phone,how to logout my gmail account from all devices,how to reactivate instagram,how to remove a gmail account from samsung galaxy s5,how to remove devices from gmail account,how to remove gmail account from android phone without factory reset,how to remove gmail account from android phone,how to remove gmail account from android,how to remove gmail account from computer,how to remove google account from android phone from computer,how to remove google account from android phone without factory reset,how to remove google account from android phone,how to remove google account from computer,how to remove google account from samsung,how to sign out of gmail app on iphone,how to sign out of gmail mobile,how to sign out of gmail on android,how to sign out of gmail on ipad,how to sign out of gmail on iphone,how to sign out of google account on android,how to sign out of google play on android,instagram delete account page,instagram deleted my account,my activity google,my google history search,remove account from google,remove email account from android,remove google account from android,remove google account from chrome,remove google account from galaxy s4,remove google account from gmail,sign out of all google sessions,sign out of google account,sign out of google on all devices,view google history,Row Total
11/1/11,14,1,17,251,70,112,134,85,69,5,23,40,372,0,1,1,88,65,6,2,1,2,1,11,0,1,1,5,29,20,1,13,16,2,422,35,0,1,0,52,11,8,0,5,0,3,1,1,2,4,0,1,0,1,0,1,1,1,7,1,0,0,2,1,1,1,1,3,2,2,1,0,0,0,12,36,34,3,11,1,0,5,1,4,0,44,2182
12/1/11,22,1,16,259,84,124,120,91,76,6,35,32,372,0,1,1,96,59,7,3,1,2,1,14,0,1,2,4,29,24,1,17,19,1,469,36,0,1,0,51,12,20,0,7,0,3,2,3,1,7,0,1,0,1,0,1,1,2,10,1,0,1,3,1,1,1,1,3,4,2,1,0,0,0,8,37,47,8,21,2,0,5,1,4,0,48,2349
1/1/12,16,1,14,259,82,129,120,85,72,6,50,35,400,0,1,2,89,71,7,3,1,2,1,13,0,1,1,5,27,21,1,11,20,1,464,34,0,1,0,61,20,19,0,5,0,3,1,1,1,3,0,1,0,1,0,0,1,2,10,1,0,1,2,1,1,1,1,3,2,3,1,0,0,1,8,40,44,5,17,2,0,6,1,4,0,47,2367
2/1/12,19,1,14,275,70,110,120,82,67,6,30,52,358,0,1,1,78,63,4,6,1,1,1,13,0,1,1,4,32,20,1,8,18,1,495,28,0,1,0,41,15,17,0,5,0,2,1,2,2,4,1,1,0,1,0,0,1,2,9,1,0,1,3,1,1,1,1,4,1,2,1,0,0,1,8,45,39,6,14,1,0,7,1,5,0,60,2291
3/1/12,15,1,14,267,64,99,120,82,72,7,29,36,315,0,1,1,81,60,5,9,2,3,1,14,0,1,1,2,23,19,1,9,19,1,432,31,1,1,0,41,26,10,0,6,0,2,1,1,1,4,3,1,0,1,0,0,1,3,7,1,0,1,2,1,2,1,1,4,2,2,1,0,0,1,8,51,49,9,18,2,0,7,1,6,1,56,2174
4/1/12,14,1,16,300,69,95,110,79,69,4,31,16,315,0,1,1,82,59,5,14,1,1,1,17,0,3,1,2,32,16,1,10,22,1,432,39,1,1,0,43,20,3,0,4,0,3,1,1,1,5,3,1,0,6,0,0,1,5,13,1,0,1,5,1,1,1,1,4,1,1,2,1,1,2,8,37,49,6,17,3,0,7,2,6,0,49,2179
5/1/12,18,1,16,325,73,100,134,94,76,9,30,17,308,0,1,1,71,60,8,18,1,1,1,11,0,1,1,3,34,17,1,10,23,1,453,29,1,1,0,46,18,3,0,6,0,2,1,2,1,5,4,1,0,3,0,0,1,3,8,1,0,1,4,1,2,1,1,4,2,1,1,2,1,2,8,45,52,7,16,1,0,9,1,8,0,50,2274
6/1/12,18,1,21,342,87,135,143,97,85,8,25,18,308,0,1,1,86,58,6,58,1,1,1,12,0,1,1,3,36,22,1,13,23,1,506,35,1,1,0,50,14,4,0,5,0,2,2,2,1,7,4,1,0,5,0,0,1,2,9,1,1,1,4,1,2,1,1,4,2,2,2,1,1,4,8,50,54,9,19,3,0,6,1,8,0,61,2513
7/1/12,19,1,18,400,102,116,177,113,76,6,23,18,350,0,1,1,85,64,8,43,1,2,1,22,0,1,1,4,38,23,1,10,30,1,453,29,2,1,0,57,16,3,0,6,0,2,3,2,1,4,3,1,0,7,0,0,1,5,13,1,0,1,4,1,4,2,1,6,2,3,2,2,1,2,4,51,67,12,21,4,0,11,1,11,0,61,2640
8/1/12,17,1,20,501,116,124,153,107,87,7,26,17,350,0,1,1,91,66,8,37,1,3,1,26,0,1,1,3,47,26,1,10,30,1,479,16,1,1,0,70,12,5,1,7,0,3,2,2,1,4,3,1,0,5,0,0,1,6,13,2,0,1,4,1,3,1,1,6,4,2,1,2,1,3,8,51,70,4,25,3,0,10,1,11,0,61,2790
9/1/12,20,1,18,459,116,118,143,122,83,9,25,18,336,0,1,1,84,59,8,42,3,1,2,26,0,1,1,4,38,25,1,14,36,2,464,20,1,1,0,58,6,3,1,5,0,3,1,1,2,6,6,2,0,8,0,1,1,3,11,1,0,1,3,1,3,1,1,8,2,4,2,2,1,2,8,47,62,9,22,2,0,11,1,7,0,67,2689
10/1/12,16,1,19,442,100,141,139,82,83,7,18,18,336,0,1,1,77,64,8,29,1,1,1,20,0,1,2,4,40,19,1,13,33,1,479,34,1,1,0,43,13,3,1,6,1,3,1,1,2,10,6,1,0,7,0,1,1,3,10,1,0,1,5,1,3,1,1,6,3,2,3,1,2,2,12,48,59,8,19,2,0,8,2,8,0,65,2610
11/1/12,19,1,15,426,105,137,148,100,74,5,22,18,336,1,1,2,81,58,6,31,1,1,1,20,0,1,1,5,34,20,1,13,32,1,448,25,1,1,0,50,11,5,1,5,0,3,1,1,1,6,8,1,0,5,0,1,1,4,12,1,0,1,5,1,3,1,1,4,1,3,1,1,1,3,8,51,62,5,20,3,0,8,1,8,1,61,2563
12/1/12,18,1,18,442,117,156,181,119,96,9,34,17,400,1,1,1,92,69,6,46,1,2,1,21,0,1,1,3,40,24,1,11,38,1,448,15,1,1,0,58,18,8,1,4,0,3,1,1,2,8,5,2,0,13,0,1,1,7,13,1,1,1,5,1,4,1,1,6,3,2,1,1,1,6,8,51,75,5,25,3,0,12,1,11,1,65,2872
1/1/13,18,1,16,467,116,145,158,110,94,11,43,18,400,1,1,1,91,70,9,42,1,2,1,24,0,1,2,4,38,19,1,11,32,1,448,16,1,1,0,61,6,2,1,5,0,4,1,1,1,5,9,2,0,12,0,1,1,5,11,2,1,1,3,1,4,1,1,5,2,2,1,2,2,6,8,56,75,7,24,3,0,11,1,10,1,67,2840
2/1/13,22,1,14,501,100,154,162,113,87,8,39,17,408,1,1,1,95,68,8,39,1,2,1,20,0,1,1,4,45,21,1,14,78,1,443,36,1,1,0,60,6,4,1,4,0,5,1,2,1,7,12,3,0,7,0,1,1,4,15,1,0,1,4,1,4,1,1,8,2,2,1,2,3,3,8,56,77,6,21,2,0,11,2,10,1,68,2940
3/1/13,23,1,17,467,107,149,162,128,89,8,32,16,400,1,1,1,92,74,9,42,1,2,1,29,0,1,1,10,38,19,1,13,70,1,443,26,2,1,0,53,7,4,1,6,0,4,1,2,1,4,13,2,0,11,0,1,1,4,11,1,0,1,3,1,2,1,1,6,2,2,2,2,3,6,12,57,72,8,20,2,1,13,1,14,1,64,2902
4/1/13,18,1,16,467,96,149,158,125,85,7,23,19,408,1,1,1,105,77,7,43,1,1,1,22,0,1,1,9,38,18,1,13,45,1,427,13,1,1,0,62,11,4,1,5,1,3,2,1,1,6,8,1,0,9,0,1,1,4,12,1,0,1,5,1,4,1,1,7,2,2,2,1,2,6,12,50,77,5,23,3,1,11,2,15,1,65,2835
5/1/13,21,1,15,501,116,149,177,134,80,7,37,19,400,1,1,1,96,71,7,32,1,1,1,32,0,1,1,7,40,20,1,8,46,1,416,15,1,1,0,67,5,8,1,5,0,3,3,1,1,8,10,3,0,17,0,1,1,8,19,1,0,1,3,1,3,1,1,6,2,2,3,1,3,21,12,51,85,8,28,3,1,14,1,16,1,66,2955
6/1/13,18,1,13,534,137,166,186,131,92,9,31,20,450,1,1,1,93,77,8,55,1,1,1,36,0,1,1,5,36,18,1,16,45,1,448,19,1,1,0,68,6,5,1,7,0,2,2,1,1,10,16,3,1,16,0,1,1,6,18,1,0,1,3,1,3,1,2,4,3,3,2,1,2,8,12,54,80,5,26,3,1,11,2,14,1,65,3130
7/1/13,20,1,16,517,116,164,200,185,98,9,30,19,458,1,1,1,105,86,11,58,2,1,1,34,0,1,2,6,43,24,1,13,49,1,453,36,1,1,0,80,5,3,2,6,0,2,2,1,1,9,21,4,1,15,0,1,1,4,17,1,1,1,5,1,2,1,1,6,3,2,2,1,2,12,8,51,93,7,28,3,1,14,2,17,1,66,3272
8/1/13,18,1,14,609,120,145,215,176,100,9,36,27,493,0,1,1,115,91,8,64,1,1,1,37,1,2,1,5,45,20,1,17,62,1,406,19,1,1,0,74,15,10,1,4,0,2,2,1,1,10,8,5,1,13,0,1,1,6,19,1,1,1,10,1,2,1,2,8,2,3,3,2,2,7,12,64,95,7,34,4,1,14,2,16,1,69,3404
9/1/13,21,1,20,592,94,124,220,170,89,7,39,19,458,0,1,1,105,82,8,54,1,1,2,36,1,3,1,5,47,21,1,13,58,2,395,13,1,1,0,70,6,5,2,7,0,3,1,1,1,11,6,3,0,14,0,1,1,5,17,1,0,1,6,1,2,1,1,6,3,3,2,2,2,6,12,56,95,4,28,3,1,13,2,14,1,68,3195
10/1/13,19,1,18,592,94,129,210,176,78,8,33,22,472,0,1,1,102,82,8,48,1,2,1,37,0,0,1,9,45,23,1,17,52,2,390,14,1,0,0,77,10,8,0,5,0,4,1,1,1,10,6,2,0,9,0,1,0,5,22,2,0,0,5,2,3,1,2,6,3,2,2,1,1,6,12,57,90,6,31,5,1,17,1,21,0,68,3197
11/1/13,20,1,19,542,98,125,210,179,83,7,31,21,493,0,1,0,99,92,7,50,1,2,2,38,0,1,1,8,47,24,1,13,68,1,379,23,0,1,0,79,7,4,0,7,1,3,2,1,1,11,5,2,1,12,0,1,0,5,18,1,0,0,4,1,3,1,2,9,2,2,3,2,2,5,16,57,103,6,33,4,1,16,2,19,1,61,3204
12/1/13,20,1,20,567,116,154,229,207,100,9,46,19,550,0,0,1,124,100,7,51,1,2,2,49,0,1,1,9,52,21,0,14,63,2,422,20,1,1,0,84,6,3,0,4,0,4,1,1,1,13,11,3,1,12,0,1,1,5,21,1,0,1,7,2,3,1,2,16,3,4,3,3,2,10,16,71,124,10,45,6,1,22,2,29,2,62,3602
1/1/14,25,2,18,809,120,152,234,197,98,12,57,22,579,0,0,2,140,103,8,51,3,3,1,42,0,1,1,8,56,25,0,15,59,1,422,14,1,1,0,88,5,3,0,5,0,4,2,0,1,14,9,2,1,10,0,0,0,7,21,2,0,0,6,2,4,1,2,15,3,4,3,3,2,9,16,70,116,10,36,7,1,25,2,28,1,65,3887
2/1/14,19,1,17,742,100,143,234,182,100,9,53,21,543,0,1,1,131,97,7,53,1,2,2,48,0,1,1,8,60,22,1,16,68,1,390,12,1,2,0,90,7,5,0,7,0,2,2,1,1,9,7,3,1,13,0,1,1,6,22,2,0,1,10,3,4,1,1,10,3,3,2,2,3,4,16,68,116,9,39,6,2,23,2,27,2,70,3697
3/1/14,25,1,23,700,98,135,229,185,109,10,36,22,550,0,1,2,141,97,9,51,1,2,2,50,0,2,2,7,56,20,1,15,56,1,379,21,1,1,0,86,9,3,1,7,0,4,1,1,1,9,12,3,1,9,0,1,0,7,22,2,0,1,9,2,4,1,2,12,7,5,3,2,2,8,12,62,116,10,34,5,1,21,3,28,2,66,3638
4/1/14,20,2,40,717,106,133,239,194,94,9,31,23,529,0,0,2,124,94,8,62,0,3,2,46,0,2,2,5,96,21,1,17,59,1,379,19,1,1,0,82,6,6,1,7,0,3,2,1,1,10,6,1,1,14,0,1,1,9,20,1,0,1,5,3,4,1,3,8,6,5,3,1,3,6,16,57,106,7,31,6,1,19,3,26,2,71,3649
5/1/14,20,1,20,709,120,137,234,197,100,9,34,22,515,0,1,1,113,87,7,50,1,2,1,52,1,0,1,7,56,19,1,11,62,1,390,14,1,1,0,82,7,4,1,6,0,5,3,1,1,11,8,2,1,11,0,1,1,7,18,3,0,0,6,1,4,1,2,10,2,5,4,2,2,7,12,65,118,8,35,7,1,20,1,31,2,67,3584
6/1/14,18,1,23,659,112,150,224,194,103,13,40,19,522,0,1,1,105,88,7,51,2,1,1,50,1,1,1,4,60,19,1,14,68,2,385,12,1,2,0,82,7,9,1,6,1,3,3,1,1,12,6,3,1,16,0,2,1,9,18,2,1,0,5,2,5,1,2,10,4,5,3,2,2,8,12,65,113,10,35,7,2,23,2,22,1,66,3548
7/1/14,20,1,21,709,98,135,243,185,98,10,55,23,579,0,1,1,126,88,5,59,1,2,2,50,1,1,3,5,67,19,1,13,68,1,358,13,1,1,0,91,15,9,1,7,1,4,3,1,1,11,6,3,1,15,0,1,1,7,23,2,0,1,8,3,4,1,2,11,5,5,4,3,3,7,12,64,124,9,44,6,2,21,2,24,2,70,3704
8/1/14,25,1,26,717,102,137,267,197,103,8,46,21,593,0,1,1,131,105,7,70,1,2,3,53,1,1,1,5,69,22,1,12,68,2,374,25,1,2,0,89,9,7,1,9,1,6,3,1,1,11,6,3,1,13,0,1,1,6,22,3,0,1,8,2,4,2,3,10,5,4,4,3,2,8,12,68,129,8,44,8,1,27,2,26,2,67,3845
9/1/14,23,1,34,834,88,139,253,204,96,7,36,21,543,0,0,1,123,92,6,65,1,1,2,46,1,1,1,6,83,21,1,13,60,1,379,17,0,1,0,79,5,6,1,7,1,4,1,0,1,14,10,3,1,9,0,1,0,6,22,2,0,0,5,1,2,1,4,9,3,4,4,3,3,9,20,64,124,10,37,9,1,20,2,25,2,75,3811
10/1/14,20,1,25,775,91,137,243,194,92,9,42,24,550,0,0,1,117,88,4,68,1,1,2,48,1,1,1,4,69,22,1,10,70,1,353,13,1,2,0,77,4,5,0,7,1,5,4,0,1,16,3,3,1,9,0,0,0,6,20,2,0,1,7,2,3,1,3,10,3,4,3,2,3,8,20,71,116,10,37,8,1,18,2,23,3,82,3687
11/1/14,20,1,22,717,100,135,243,200,105,8,47,22,529,0,1,1,115,91,6,74,1,1,3,50,0,1,2,7,60,20,0,11,63,1,348,10,1,2,0,82,5,2,0,8,1,4,4,0,1,13,5,3,0,11,0,1,0,7,22,1,0,1,9,2,3,1,2,13,3,5,1,2,1,7,16,68,118,12,38,8,1,19,3,21,2,73,3617
12/1/14,19,2,24,709,99,150,258,207,105,9,46,25,543,0,0,2,109,88,6,83,1,2,2,48,0,1,0,6,76,20,1,15,75,1,364,9,1,1,0,76,7,3,1,8,0,3,3,1,0,16,6,4,0,10,0,1,0,6,20,1,0,1,10,2,4,1,2,10,4,5,2,2,3,15,16,70,131,11,44,8,1,22,2,26,2,73,3740
1/1/15,23,1,24,750,103,145,258,194,98,11,48,22,529,0,1,1,115,92,8,84,1,1,2,47,0,1,1,7,85,19,2,14,72,1,348,17,1,1,0,79,5,5,1,11,1,4,2,1,1,12,7,4,0,10,1,1,0,8,24,2,1,1,8,3,3,1,2,12,3,5,1,2,5,11,16,70,134,10,42,9,1,23,2,24,2,72,3769
2/1/15,20,1,20,709,100,149,239,185,100,10,39,23,500,0,1,2,105,85,6,54,1,2,1,39,1,1,1,6,78,15,2,13,65,2,353,17,1,1,0,71,5,5,2,9,1,4,1,0,1,14,7,6,0,11,0,1,1,9,21,1,1,1,6,2,3,1,2,9,1,3,2,2,2,12,20,70,121,10,40,11,1,20,2,23,2,61,3545
3/1/15,19,1,23,650,96,137,262,246,98,9,42,26,500,0,1,1,100,81,7,58,1,1,2,39,1,1,1,5,85,16,1,14,79,2,358,14,1,1,0,70,5,17,1,8,1,5,2,2,1,11,7,5,0,11,0,1,1,8,19,2,1,0,7,4,2,1,4,8,2,5,2,2,2,10,20,71,131,9,41,10,1,24,2,26,2,71,3614
4/1/15,18,1,21,709,91,131,267,225,114,12,36,27,500,0,1,2,96,83,7,55,1,1,3,40,0,1,1,5,92,17,3,16,80,2,332,11,1,1,0,70,7,12,1,8,1,3,3,2,1,14,9,5,0,13,0,1,1,6,19,2,0,0,8,4,4,1,2,9,3,3,2,2,3,7,24,94,129,12,37,9,1,22,2,27,5,79,3670
5/1/15,19,0,24,650,100,139,262,213,112,10,32,29,500,0,1,1,109,83,7,48,1,2,3,40,0,1,1,5,100,15,2,12,78,1,337,11,0,1,0,74,8,8,1,8,1,4,3,0,0,13,6,6,1,10,0,2,0,9,24,3,0,1,10,2,6,2,2,7,2,4,2,2,3,8,16,77,142,11,40,11,1,25,2,27,4,82,3619
6/1/15,26,1,25,625,106,137,277,207,118,12,36,29,529,0,1,2,113,94,7,61,5,1,3,40,1,1,1,4,103,16,1,14,78,2,348,19,1,1,0,79,6,8,0,7,0,5,4,1,2,14,7,10,1,12,0,1,1,9,24,2,1,0,9,4,6,1,3,7,3,4,2,2,4,17,16,84,144,13,41,10,2,23,2,29,3,72,3740
7/1/15,27,1,21,659,107,150,272,194,114,14,49,26,586,0,1,2,117,93,8,85,5,1,3,39,1,1,1,4,112,14,2,15,83,2,327,25,1,1,0,80,8,7,1,10,0,3,1,1,1,14,12,7,1,18,0,2,1,10,24,2,1,2,8,3,5,1,2,8,3,5,3,2,5,17,20,82,152,12,49,11,2,26,1,32,4,73,3895
8/1/15,28,1,20,684,112,135,281,213,120,11,44,34,593,0,0,2,120,99,7,62,5,1,3,41,1,0,1,4,118,14,2,13,98,2,332,10,0,1,0,87,8,7,1,8,0,5,5,1,1,14,9,5,0,30,0,1,1,9,22,2,1,1,10,3,5,2,4,9,3,4,3,2,7,10,20,84,167,10,50,12,3,30,2,30,5,72,3977
9/1/15,23,1,20,659,102,141,300,240,127,14,36,29,550,1,1,1,109,99,10,65,2,1,3,38,0,0,1,5,123,15,2,15,95,3,411,14,1,1,0,79,7,8,1,7,0,4,3,1,0,11,5,6,0,24,1,1,1,8,24,2,0,1,12,3,4,1,2,7,3,5,2,1,11,8,20,80,170,9,48,14,2,30,2,33,4,85,4008
10/1/15,26,1,22,609,107,137,272,182,129,11,33,33,508,0,0,1,109,88,10,55,2,1,2,39,0,1,1,5,123,12,1,14,89,2,332,11,1,1,0,77,7,9,1,6,0,5,2,0,1,12,6,7,1,18,1,3,1,9,25,2,0,1,10,4,5,1,3,7,3,6,3,2,8,10,24,90,167,13,45,12,2,24,3,36,4,84,3730
11/1/15,23,1,20,584,109,133,277,191,112,14,38,30,508,1,0,2,100,83,10,72,3,2,3,40,0,1,1,5,116,14,1,15,92,3,332,22,1,1,0,76,7,7,1,7,1,6,3,1,0,9,5,8,1,25,1,2,1,8,21,2,1,0,8,3,6,1,2,9,2,4,3,2,8,13,20,88,159,10,48,10,4,25,2,34,4,75,3693
12/1/15,24,2,23,600,117,141,343,213,125,16,44,34,536,1,1,1,103,92,9,77,4,2,5,38,1,1,1,3,136,17,1,15,96,1,358,26,1,1,0,78,7,10,0,8,1,4,3,1,1,16,7,18,1,26,1,3,1,10,29,3,1,1,11,4,8,1,3,7,2,4,4,2,9,14,20,105,175,14,55,10,4,29,3,36,4,83,4046
1/1/16,22,2,22,592,117,143,329,204,123,17,43,35,565,2,0,2,119,99,10,72,3,3,3,41,0,1,1,4,147,16,2,18,102,2,348,21,1,1,1,93,7,7,2,8,1,6,2,1,1,9,10,10,1,25,1,2,1,9,26,4,1,1,10,4,7,1,3,10,2,4,4,2,17,12,27,97,183,12,51,13,3,28,2,37,5,80,4075
2/1/16,22,1,19,567,116,141,315,191,136,15,32,37,536,2,1,4,106,88,10,69,2,2,3,41,1,1,1,3,145,15,1,17,95,1,327,10,1,1,1,76,8,6,1,7,1,4,2,1,1,12,9,6,1,26,0,2,1,6,26,3,0,1,12,5,9,1,3,10,4,5,4,2,19,9,24,104,177,11,47,10,3,26,1,38,5,83,3888
3/1/16,21,1,15,567,109,124,277,194,116,14,36,33,529,2,1,2,100,92,12,81,3,2,3,35,1,0,1,4,138,15,1,14,99,2,322,11,1,1,2,73,7,7,1,10,2,5,4,1,1,11,9,6,1,26,1,3,1,8,27,3,0,1,14,3,8,1,2,6,2,4,4,2,19,10,20,108,172,12,49,9,2,27,2,33,5,82,3785
4/1/16,22,2,18,567,123,133,291,194,125,13,36,30,522,1,1,1,100,99,15,90,2,2,3,32,1,2,1,3,132,18,1,15,98,2,337,15,1,1,3,81,7,8,1,9,1,4,3,1,1,11,12,6,1,29,0,3,1,9,28,3,1,1,10,3,8,1,3,8,3,4,3,2,20,13,27,131,180,11,53,8,3,28,3,37,5,100,3937
5/1/16,21,3,23,567,139,156,300,191,127,14,35,33,529,2,1,1,95,88,17,84,3,1,3,42,1,1,1,4,152,15,2,13,100,1,327,23,1,1,3,77,9,7,1,9,2,5,4,1,1,11,7,6,1,27,2,3,1,9,28,2,0,1,10,5,12,1,3,8,2,4,3,2,17,16,24,110,188,12,57,8,4,30,2,34,5,98,3989
6/1/16,20,1,24,575,131,139,300,194,127,14,36,34,550,2,1,2,110,100,15,103,1,2,4,35,1,1,1,3,163,13,2,15,120,2,290,18,1,1,4,78,7,10,1,10,1,3,3,1,1,13,9,10,1,35,1,3,2,9,30,4,1,2,12,5,11,1,4,7,2,6,4,1,23,16,185,154,195,15,55,9,3,30,2,33,5,100,4268
7/1/16,24,2,24,550,132,147,324,246,140,19,44,42,715,2,1,1,120,122,15,116,4,1,3,48,1,1,1,3,176,17,3,13,122,2,327,16,1,2,4,100,7,11,2,11,1,5,4,1,1,17,11,8,1,33,0,3,1,14,32,3,1,1,16,4,12,1,3,13,2,7,5,3,30,17,385,139,249,14,69,11,3,35,3,54,6,95,4975
