date,create new google account,delete google account,delete my gmail account now,delete my gmail account,gmail account preferences,google account change password,google accounts,how to delete a gmail account 2016,how to delete gmail account from iphone,how to delete gmail account from phone,how to delete gmail account in android phone,how to delete gmail email,how to delete gmail,how to delete google account on android,how to remove google account from android phone,how to remove google account from computer,my gmail account,remove google account from chrome,Row Total
5/1/13,15,44,0,11,0,5,108,0,0,1,0,8,71,1,0,0,88,0,352
6/1/13,15,49,0,10,0,4,107,0,0,1,0,10,75,1,0,0,84,0,356
7/1/13,20,50,0,12,0,5,114,0,0,1,0,9,79,1,1,0,91,0,383
8/1/13,21,54,0,13,0,5,122,0,0,1,0,9,79,1,1,0,93,0,399
9/1/13,20,50,0,12,0,6,120,0,0,1,0,9,78,1,1,0,91,0,389
10/1/13,19,52,0,11,0,5,129,0,0,1,0,10,77,1,1,0,94,1,401
11/1/13,21,54,0,11,0,5,134,0,0,1,0,9,76,1,1,0,96,0,409
12/1/13,25,60,0,14,0,5,138,0,1,2,0,11,91,2,1,0,108,1,459
1/1/14,22,63,0,16,0,6,144,0,0,1,0,12,96,1,1,0,114,1,477
2/1/14,20,59,0,15,0,7,140,0,0,1,0,12,88,1,1,0,105,1,450
3/1/14,21,60,0,16,0,6,143,0,0,1,0,10,88,1,1,0,108,1,456
4/1/14,23,58,0,14,0,11,135,0,0,1,0,11,89,1,1,0,113,1,458
5/1/14,23,56,0,13,0,6,135,0,1,1,0,10,86,1,1,0,99,1,433
6/1/14,23,57,0,12,0,7,135,0,0,1,0,10,88,1,1,0,107,1,443
7/1/14,22,63,0,14,0,7,134,0,0,1,0,10,94,2,1,0,111,1,460
8/1/14,23,65,0,15,0,8,141,0,1,1,0,11,100,1,1,0,120,1,488
9/1/14,23,59,0,14,0,9,147,0,0,2,0,12,94,1,1,0,120,1,483
10/1/14,22,60,0,13,0,7,143,0,1,1,0,11,91,2,1,0,107,1,460
11/1/14,23,58,0,13,0,7,143,0,0,1,0,10,90,1,1,0,108,1,456
12/1/14,23,59,0,12,0,8,143,0,0,1,0,10,86,2,1,0,107,1,453
1/1/15,22,58,0,13,0,9,143,0,0,1,0,10,85,2,1,0,114,1,459
2/1/15,22,55,0,12,0,9,140,0,0,1,0,10,80,1,1,0,110,1,442
3/1/15,28,55,0,11,0,9,143,0,1,1,0,11,84,2,1,0,107,1,454
4/1/15,25,55,0,11,0,10,144,0,0,1,0,10,83,1,1,0,104,1,446
5/1/15,24,55,0,12,0,11,147,0,0,1,0,10,82,1,1,0,104,1,449
6/1/15,24,58,0,13,1,11,143,0,1,2,0,11,87,2,1,0,119,1,474
7/1/15,23,64,0,13,1,13,138,0,0,1,0,11,90,2,1,0,119,1,477
8/1/15,24,64,0,13,1,13,143,0,1,2,0,12,95,2,1,0,120,1,492
9/1/15,27,60,0,12,0,13,152,0,0,2,0,11,89,1,1,0,120,2,490
10/1/15,21,55,0,12,0,13,143,0,1,2,0,12,84,1,1,0,117,1,463
11/1/15,22,55,0,11,0,13,129,0,1,1,0,11,80,1,1,0,113,1,439
12/1/15,24,58,0,11,0,15,134,0,0,1,0,14,89,2,1,0,119,1,469
1/1/16,24,62,0,13,0,17,140,0,1,2,0,13,91,1,1,0,125,2,492
2/1/16,22,59,0,12,0,17,137,0,1,2,0,11,87,1,1,1,117,1,469
3/1/16,23,58,0,11,0,16,132,0,1,2,0,10,85,1,2,0,119,1,461
4/1/16,22,57,0,11,0,15,128,0,0,2,0,11,84,1,1,0,128,1,461
5/1/16,22,58,0,11,0,17,138,0,1,2,0,11,83,1,1,1,120,1,467
6/1/16,22,60,0,12,0,18,128,0,0,2,0,11,92,1,1,1,122,1,471
7/1/16,27,78,0,13,0,20,137,0,1,2,0,11,94,2,2,0,142,1,530
8/1/16,26,72,0,15,0,23,143,1,1,2,0,13,97,2,2,0,154,2,553
9/1/16,26,65,0,13,0,21,144,0,0,2,1,13,93,2,1,1,140,2,524
10/1/16,28,65,0,12,0,22,140,0,1,2,1,12,91,2,2,1,137,1,517
11/1/16,31,63,1,13,0,23,135,0,1,2,1,13,91,1,2,1,136,2,516
12/1/16,35,70,1,14,1,25,137,0,1,2,1,13,97,2,3,1,140,1,544
1/1/17,30,69,0,14,1,24,138,0,1,2,1,14,100,2,2,1,151,1,551
