date,crypt12 decrypt,data encryption meaning in hindi,decrypt whatsapp database crypt 12,decrypt whatsapp database crypt12 without key,decrypt whatsapp database crypt12,decrypt whatsapp database crypt8 without key,encrypted meaning in urdu,encryption meaning in gujarati,encryption meaning in marathi,encryption meaning in punjabi,end to end encryption app,end to end encryption meaning in hindi,end to end encryption means,end to end encryption software,get whatsapp password,how end to end encryption works,how to encrypt whatsapp messages,how to encrypt whatsapp,how to find hidden conversations on facebook,how to lock whatsapp chat,how to put a password on whatsapp,how to read whatsapp database on android,is whatsapp safe to use,what is secret conversations messenger,whatsapp encryption backdoor,whatsapp encryption broken,whatsapp encryption iphone,whatsapp encryption key,whatsapp encryption method,whatsapp encryption type,whatsapp lock for iphone,whatsapp password download,whatsapp security app,whatsapp security code,whatsapp security concerns,whatsapp security encryption,whatsapp security issues,whatsapp security settings,whatsapp viewer apk,whatsapp viewer crypt12,whatsapp viewer crypt8 without key,whatsapp viewer crypt8,whatsapp viewer key,Row Total
2/1/15,0,7,0,0,0,10,7,6,7,0,17,0,7,9,133,6,20,25,7,23,58,10,29,0,0,7,12,10,7,7,186,414,79,66,6,15,20,24,43,0,7,88,84,1456
3/1/15,0,6,0,0,0,15,9,6,7,0,9,0,7,12,121,6,7,25,0,17,23,12,32,0,0,6,6,17,6,6,169,414,100,70,6,13,27,29,31,0,19,123,93,1449
4/1/15,0,8,0,0,0,11,13,6,10,0,6,0,0,12,131,6,7,14,0,23,25,9,15,0,0,6,12,17,6,6,162,387,120,77,17,11,22,19,15,0,19,169,86,1447
5/1/15,0,10,0,0,0,14,9,6,7,0,22,0,0,6,114,6,22,28,0,23,19,9,12,0,0,6,12,15,6,6,150,383,102,47,12,13,19,12,27,0,17,161,84,1379
6/1/15,0,13,0,0,0,21,6,6,13,0,14,0,0,12,112,6,7,18,0,17,21,15,24,0,0,6,12,13,6,6,175,387,102,77,6,7,23,19,23,0,10,171,89,1437
7/1/15,0,6,0,0,0,21,8,6,7,0,17,0,0,12,168,6,7,18,0,29,23,19,29,0,0,6,17,10,13,6,128,435,100,97,6,25,31,17,62,0,27,184,109,1649
8/1/15,0,6,0,0,0,23,10,6,13,6,9,6,0,9,174,6,10,32,6,23,25,10,20,0,0,6,12,17,12,6,169,414,110,62,6,7,16,9,31,0,28,188,123,1610
9/1/15,0,6,0,0,0,26,12,8,10,6,11,0,0,6,189,6,19,21,0,40,22,12,23,0,0,6,17,8,14,6,156,427,124,62,6,11,24,27,32,0,44,188,148,1717
10/1/15,0,6,0,0,0,25,8,5,7,6,11,0,0,14,134,9,10,14,0,31,33,17,27,0,0,6,6,15,12,6,145,353,144,62,6,17,31,9,42,0,35,209,126,1581
11/1/15,0,6,0,0,0,30,18,5,7,6,14,0,0,11,153,12,7,35,0,24,12,12,11,0,6,6,17,10,6,6,143,392,109,77,6,11,20,14,35,0,24,169,123,1537
12/1/15,0,6,0,0,0,42,10,5,18,6,14,0,5,11,121,6,7,35,0,28,12,12,34,0,5,9,28,19,9,6,123,409,137,74,6,7,20,16,32,0,22,171,121,1586
1/1/16,0,7,0,0,0,26,14,5,10,6,14,0,62,11,157,6,8,18,0,28,28,11,18,0,5,20,17,15,11,14,182,340,154,77,6,9,24,28,41,0,28,159,118,1677
2/1/16,0,8,0,0,0,22,6,5,8,6,9,0,116,16,136,6,11,21,0,39,19,14,29,0,5,31,17,11,6,21,126,366,104,66,6,21,17,32,32,0,32,153,121,1638
3/1/16,0,5,0,0,0,31,9,5,8,25,19,0,173,19,163,11,11,25,0,37,16,14,29,0,5,42,28,8,5,29,134,366,127,70,11,17,14,14,54,0,28,171,102,1825
4/1/16,5,14,0,0,5,20,71,46,159,45,271,85,228,23,159,56,154,345,5,43,18,9,18,0,5,52,556,182,34,36,113,309,162,385,9,209,49,100,33,0,22,113,84,4232
5/1/16,5,5,0,0,15,24,21,10,34,19,87,19,37,20,127,16,34,132,5,42,18,5,32,0,5,11,39,20,8,11,132,348,167,197,18,48,14,19,32,11,12,73,81,1953
6/1/16,55,5,5,5,24,11,22,13,50,18,57,20,26,15,117,15,25,52,5,33,22,9,26,0,8,11,28,30,5,8,121,357,134,166,5,57,22,33,45,56,14,63,58,1851
7/1/16,81,17,14,11,26,6,11,8,42,11,92,16,32,13,138,26,30,56,6,42,22,14,31,11,10,18,23,24,11,7,125,287,137,181,5,28,20,26,29,64,14,36,52,1853
8/1/16,78,8,21,16,34,13,16,10,24,5,52,22,32,20,165,16,14,59,14,43,27,5,23,63,0,16,28,13,13,13,117,309,159,212,5,28,30,29,32,69,14,46,68,1981
9/1/16,121,8,21,14,39,8,12,10,21,5,38,5,32,20,144,5,11,49,5,39,21,12,25,54,0,5,17,19,5,16,102,322,150,220,11,15,34,52,39,72,14,42,59,1913
10/1/16,90,5,22,5,44,10,13,12,20,5,46,5,21,9,131,18,17,42,5,55,25,10,35,80,0,10,23,22,8,8,117,335,164,239,7,30,47,29,29,57,5,28,42,1925
11/1/16,104,5,8,15,46,7,15,5,35,10,44,7,10,5,146,10,5,35,20,59,22,14,29,74,0,8,23,22,12,7,110,287,139,193,10,28,17,34,27,104,5,15,59,1830
12/1/16,111,5,20,20,51,7,19,5,18,10,46,7,7,5,119,14,17,56,20,49,22,5,34,85,0,22,12,17,15,19,121,318,142,250,5,32,8,24,52,82,7,23,67,1968
1/1/17,117,8,27,18,43,8,22,20,16,7,33,5,14,5,123,10,16,28,24,34,22,10,29,121,18,27,12,19,14,5,93,296,140,227,11,38,24,31,46,90,10,17,92,1970
