date,aes cbc decryption,aes encryption algorithm,aes encryption example,aes encryption java,are text messages private,best private messaging app,cell phone text message records,decrypt encrypted password,decrypt message,decrypt pgp file,encrypt text messages android,encrypt text online,encrypted message app,encrypted message meaning,encrypted messaging app android,encrypted text messages,how to decrypt text,most secure messaging app 2016,online decryption tool without key,signal messaging app,software to decrypt encrypted files,whatsapp encryption algorithm,whatsapp encryption key,Row Total
3/1/12,31,562,300,537,83,31,81,482,476,164,48,170,31,31,31,63,116,0,0,0,62,0,30,3329
4/1/12,32,600,359,619,66,65,107,325,625,194,64,87,33,32,31,87,243,0,0,0,65,0,30,3664
5/1/12,31,562,567,646,60,31,110,475,484,231,30,41,31,31,31,112,254,0,0,0,30,0,48,3805
6/1/12,31,531,375,582,95,31,78,557,550,197,31,124,31,31,31,63,285,0,0,0,62,0,59,3744
7/1/12,31,500,476,537,93,30,91,450,350,237,31,51,31,46,0,184,270,0,0,32,31,0,77,3548
8/1/12,31,600,467,582,47,30,100,544,384,243,30,153,31,61,0,133,247,0,0,32,61,0,30,3806
9/1/12,30,524,384,628,110,30,68,475,350,273,30,60,31,31,0,121,235,0,0,32,46,0,30,3488
10/1/12,28,508,484,691,193,46,117,394,334,164,27,46,28,28,0,119,231,0,0,27,37,28,30,3560
11/1/12,68,631,384,655,110,37,136,382,542,149,28,73,56,28,0,131,262,0,0,27,28,28,30,3785
12/1/12,83,577,367,610,83,55,100,457,325,204,28,129,55,28,0,112,208,0,0,27,28,29,30,3535
1/1/13,26,600,342,537,118,76,91,482,309,170,25,85,26,51,25,94,162,0,0,0,64,26,24,3333
2/1/13,38,570,451,701,129,28,91,475,350,204,37,65,41,28,25,140,293,0,0,0,28,26,30,3750
3/1/13,24,685,484,710,91,41,104,469,417,107,24,58,58,25,25,124,174,0,0,0,25,26,24,3695
4/1/13,51,662,550,791,43,25,49,538,484,237,34,85,38,26,25,103,224,0,0,0,75,26,24,4090
5/1/13,48,500,426,573,58,25,65,400,501,188,24,97,73,26,24,91,247,0,0,0,25,26,24,3441
6/1/13,42,639,400,573,93,25,65,507,517,228,50,84,50,26,38,152,289,0,0,43,75,26,42,3964
7/1/13,24,539,525,701,50,49,107,382,325,264,57,82,50,25,25,173,185,0,0,32,49,25,24,3693
8/1/13,24,508,442,591,74,24,49,500,359,213,73,82,62,25,25,140,231,0,0,27,25,25,24,3523
9/1/13,24,500,501,537,64,24,94,344,451,128,47,80,60,25,23,112,262,0,0,27,48,25,48,3424
10/1/13,79,531,484,746,54,46,39,394,542,191,23,107,34,35,23,145,247,0,0,22,46,22,36,3846
11/1/13,31,624,559,600,47,46,91,338,550,146,23,39,31,31,22,100,189,0,23,27,46,22,36,3621
12/1/13,35,562,584,655,35,22,55,438,484,164,23,165,24,47,22,70,189,0,21,22,24,22,36,3699
1/1/14,28,585,584,600,87,22,65,357,426,131,22,94,45,22,22,138,243,0,21,22,43,22,36,3615
2/1/14,39,770,592,801,72,24,78,413,567,252,47,131,60,22,40,175,224,0,21,22,24,24,36,4434
3/1/14,43,747,400,764,72,43,84,482,625,243,22,94,58,22,21,149,297,0,21,22,65,23,71,4368
4/1/14,66,770,717,810,45,44,65,388,659,125,22,139,23,22,22,110,224,0,0,22,30,23,36,4362
5/1/14,110,608,550,701,60,22,81,457,559,170,33,53,60,22,33,149,297,0,0,22,34,23,24,4068
6/1/14,24,393,550,655,91,62,107,350,492,231,25,99,26,25,24,133,166,0,0,27,49,24,71,3624
7/1/14,48,524,542,746,37,48,110,432,484,219,24,56,50,36,24,98,377,0,0,27,24,25,30,3961
8/1/14,48,470,434,610,81,56,78,388,501,234,48,73,50,23,24,98,220,0,0,48,23,23,48,3578
9/1/14,54,662,550,791,70,77,62,513,700,231,23,116,31,23,23,94,258,0,23,22,23,23,71,4440
10/1/14,36,547,584,801,66,66,36,475,659,300,22,89,67,33,22,147,304,0,22,22,34,23,30,4385
11/1/14,46,631,609,682,60,60,52,550,734,249,45,106,23,23,23,91,350,0,22,32,34,23,36,4481
12/1/14,22,454,501,664,97,59,81,413,575,200,37,126,60,33,22,96,231,0,22,48,45,34,36,3856
1/1/15,62,539,567,710,75,34,49,363,442,167,42,77,63,31,21,77,216,0,24,27,62,22,59,3729
2/1/15,34,654,617,846,91,89,81,438,592,225,20,106,53,23,45,119,312,0,25,32,60,23,30,4515
3/1/15,40,677,667,873,62,41,68,438,692,213,20,109,55,21,41,219,320,0,27,48,28,41,53,4753
4/1/15,22,654,675,828,99,28,26,507,767,173,31,112,31,26,27,168,247,0,29,58,104,21,53,4686
5/1/15,40,570,484,710,68,48,62,338,476,170,31,82,51,31,27,131,358,0,31,64,54,21,48,3895
6/1/15,55,547,584,682,49,41,88,488,559,194,21,73,51,22,21,119,231,0,21,43,21,22,42,3974
7/1/15,34,554,442,646,54,62,107,525,492,170,20,75,48,42,34,159,200,0,21,37,21,21,30,3794
8/1/15,40,454,442,637,91,81,59,513,584,237,20,136,41,31,27,89,262,0,20,37,52,31,53,3937
9/1/15,30,547,584,773,70,20,97,438,700,304,30,99,60,27,40,184,270,0,20,32,60,20,24,4429
10/1/15,38,770,575,610,49,76,36,625,750,164,31,139,38,113,19,126,250,0,19,37,39,20,48,4572
11/1/15,48,600,675,846,77,45,52,363,792,194,19,90,123,30,52,226,277,0,19,285,48,26,30,4917
12/1/15,30,454,717,746,72,72,71,400,617,204,26,117,67,50,29,170,208,0,20,327,49,20,59,4525
1/1/16,50,500,517,555,87,55,46,488,550,155,28,99,31,18,49,149,262,0,18,174,25,19,48,3923
2/1/16,43,677,650,701,93,46,84,544,634,222,28,129,62,50,37,221,281,0,18,369,55,19,36,4999
3/1/16,28,647,834,855,99,63,52,475,725,246,34,133,87,26,34,156,308,17,34,332,27,24,24,5260
4/1/16,30,639,750,910,91,35,65,494,767,228,53,143,138,78,54,180,316,18,18,248,60,102,589,6006
5/1/16,30,585,617,655,93,92,52,450,767,255,58,63,75,122,26,133,216,34,18,195,43,41,65,4685
6/1/16,30,493,584,664,97,30,65,513,575,185,18,72,102,78,27,114,262,27,18,195,18,54,95,4316
7/1/16,30,462,501,664,74,36,42,419,725,261,45,97,116,36,36,140,231,36,18,237,24,37,77,4344
8/1/16,42,608,534,746,72,100,59,513,700,294,23,129,112,47,24,124,312,35,35,300,18,36,42,4905
9/1/16,134,500,484,528,64,82,46,457,834,222,23,117,170,82,23,205,339,61,18,464,59,59,59,5030
10/1/16,24,631,550,528,56,94,33,463,750,204,25,106,89,127,42,233,285,17,30,327,78,45,71,4808
11/1/16,50,624,542,664,62,95,42,500,800,200,17,129,117,59,28,135,385,25,42,422,34,23,71,5066
12/1/16,34,516,550,582,27,61,26,432,742,122,25,67,67,73,59,145,243,33,17,448,28,23,53,4373
1/1/17,63,531,559,664,95,95,68,507,700,170,32,111,80,64,37,159,316,32,37,527,31,17,59,4954
