date,change facebook settings,change in facebook privacy policy 2016,change in facebook privacy policy channel 13,channel 13 news facebook hoax,deadline tomorrow facebook snopes,facebook account settings wrong password,facebook acquaintance list,facebook app download for samsung,facebook app for iphone,facebook app java,facebook deadline tomorrow snopes,facebook edit friends list restricted,facebook friends list on profile,facebook friends list order,facebook friends list privacy mobile,facebook friends list privacy,facebook friends privacy settings,facebook hoax meme,facebook hoaxes snopes,facebook legal disclaimer hoax,facebook logout button missing,facebook new privacy settings 2016,facebook photo privacy settings,facebook policy change 2016,facebook privacy change 2016,facebook privacy change hoax 2016,facebook privacy change october 2016,facebook privacy change snopes,facebook privacy changes 2016 hoax,facebook privacy changes 2016,facebook privacy changes hoax,facebook privacy changes july 2016,facebook privacy changes june 2016,facebook privacy changes october 2016,facebook privacy hoax 2016,facebook privacy hoax october 2016,facebook privacy hoax snopes,facebook privacy notice,facebook privacy policy 2016,facebook privacy policy change 2016,facebook privacy settings 2015,facebook privacy settings change,facebook privacy settings explained,facebook privacy settings friends list,facebook privacy settings guide,facebook privacy settings photos,facebook privacy snopes,facebook privacy statement,facebook profile friends list order meaning,facebook public entity 2016,facebook restricted list edit,facebook restricted list,facebook search by city,facebook search by email,facebook search by phone number,facebook search for people without logging in,facebook search friends by phone number,facebook settings language,facebook settings page,facebook sign up gmail account,facebook sign up new person,facebook tagged photos privacy,facebook view tracker,fb logout button,google account change password,google account settings,how can i hide friends list on facebook,how can i hide my friend list on facebook in mobile,how can i hide my friends list on facebook mobile,how others see my facebook mobile,how to add someone to restricted list on facebook,how to block people from seeing tagged photos on facebook,how to block tagged photos on facebook,how to change facebook privacy settings,how to create friends list on facebook app,how to delete facebook friends fast,how to delete feeds on facebook,how to delete friends list on facebook,how to edit custom list on facebook app,how to edit friends list on facebook mobile,how to hide albums on facebook,how to hide friend list on facebook from mobile,how to hide friend list on facebook from public,how to hide friends list in facebook,how to hide friends list on facebook 2016,how to hide friends list on facebook mobile,how to hide friends list on facebook samsung,how to hide friends on facebook 2016,how to hide friends on facebook android,how to hide friends on facebook from other friends,how to hide friends on facebook iphone,how to hide friends on facebook mobile,how to hide mutual friends on facebook,how to hide one friend on facebook,how to hide photos of you on facebook,how to hide photos on facebook from everyone,how to hide photos on facebook from public,how to hide photos on facebook,how to hide tagged photos on facebook timeline,how to hide tagged photos on facebook,how to make a post public on facebook,how to make friends list private on facebook android,how to make my profile picture private on facebook,how to make profile picture unclickable,how to make tagged photos private on facebook,how to privacy on facebook,how to see what your facebook profile looks like to others on mobile,how to see who viewed your facebook profile wikianswers,instagram login with facebook,internet memes 2016,internet privacy definition,internet privacy essay,internet privacy issues,internet privacy protection,internet privacy software,is it true about facebook privacy,is the facebook privacy post real 2015,limited profile facebook,old facebook sign in,online privacy issues,personal privacy definition,personal privacy on the internet,personal privacy,privacy definition law,privacy meaning,privacy options,privacy settings facebook,privacy settings google,reset facebook settings,search facebook without account,snopes facebook 2016,snopes facebook charging 2016,snopes facebook privacy 2016,snopes facebook see who viewed your profile,specific friends on facebook,top 9 friends on facebook,verisign class 3 secure server ca  g3,verisign india,verisign reston,verisign symantec,verisign wiki,view my whatsapp profile,visit the new facebook hoax,wants to share with you on facebook,what does my facebook look like to non friends mobile,what is online privacy,what is privacy,where is verisign located,who can see my friends on facebook mobile,who can see my profile on facebook,who has viewed my facebook profile,who viewed my facebook profile app for android,who viewed my facebook profile the most,Row Total
11/1/11,271,0,0,0,0,0,6,39,411,108,0,2,75,76,2,20,37,2,2,0,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,81,0,6,3,56,0,5,2,0,4,119,71,197,45,7,7,8,76,73,7,34,5,3,62,146,16,0,2,2,4,7,27,48,2,42,2,20,0,2,12,0,2,32,0,2,0,0,2,4,12,5,14,4,4,2,8,213,2,110,0,0,4,6,12,220,0,0,2,0,9,3,31,47,12,0,0,131,31,14,8,6,250,13,43,34,419,26,42,12,0,0,0,2,14,2,9,10,2,22,16,0,2,0,0,17,456,0,2,24,14,0,3,4679
12/1/11,309,0,0,0,0,0,8,37,527,108,0,3,85,79,2,28,31,2,2,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,76,0,10,2,48,5,2,2,0,7,133,54,282,52,20,8,15,74,82,13,30,8,3,72,141,23,0,2,1,6,4,26,42,2,30,3,21,0,1,14,0,3,43,0,2,0,0,5,13,8,4,10,8,7,2,6,209,8,99,0,0,5,3,21,226,0,0,2,0,8,2,21,30,15,0,0,146,37,10,4,3,180,6,41,31,400,30,36,14,0,0,0,1,13,2,3,13,3,19,10,0,2,0,0,8,345,0,2,32,14,0,2,4739
1/1/12,288,0,0,0,0,0,4,36,469,112,0,5,61,81,1,19,34,2,2,0,1,0,25,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,68,2,8,3,42,5,3,2,0,6,139,55,304,59,44,6,9,71,96,10,28,6,2,62,141,13,0,1,1,6,6,27,39,2,23,2,22,0,1,8,0,3,44,0,2,0,0,4,10,11,5,8,10,5,3,7,175,12,87,4,0,8,3,21,194,0,0,2,0,5,3,14,19,10,0,0,143,28,8,7,5,193,8,48,34,388,55,37,17,0,0,0,1,10,2,6,17,4,18,10,2,3,0,0,15,367,0,2,31,20,0,2,4616
2/1/12,280,0,0,0,0,0,8,33,443,104,0,3,44,57,2,17,27,2,2,0,1,0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,76,2,7,3,36,5,4,2,0,8,154,44,255,48,20,3,13,68,96,18,25,11,2,62,187,10,0,1,2,4,10,18,51,2,29,4,17,0,1,6,0,3,29,0,3,0,0,5,10,11,4,12,5,7,2,5,158,12,92,2,0,5,3,8,184,0,0,2,0,7,5,36,26,11,0,0,116,23,13,8,7,233,12,53,35,357,178,45,18,0,0,0,1,14,1,5,10,3,24,18,1,2,0,0,17,489,0,2,38,20,0,5,4760
3/1/12,267,0,0,0,0,0,8,42,400,97,0,2,47,44,2,20,24,2,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,68,1,4,2,27,5,4,2,0,5,131,47,234,39,11,5,13,80,78,20,23,8,4,58,137,10,0,1,1,8,4,25,41,2,34,2,23,0,1,3,0,1,41,0,2,1,0,3,10,10,4,10,6,8,2,4,130,20,80,3,0,1,2,19,165,0,0,2,0,8,2,27,17,15,0,0,116,42,14,7,3,230,13,48,38,313,323,43,14,0,0,0,1,11,1,1,10,5,20,9,1,1,0,0,14,467,1,1,19,23,0,3,4518
4/1/12,238,0,0,0,0,0,8,47,385,104,0,2,43,69,2,16,28,2,2,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,65,2,5,2,28,5,2,2,0,15,149,48,240,58,11,4,15,78,69,15,27,5,3,62,137,10,0,1,1,8,5,21,51,2,41,2,24,0,2,6,0,2,27,0,3,1,0,5,12,5,7,21,6,9,2,7,147,25,73,3,0,2,2,20,191,0,0,6,0,6,4,27,17,16,0,0,122,46,15,6,3,225,13,46,33,363,55,32,22,0,0,0,1,11,1,3,11,5,25,11,1,6,0,0,15,462,1,1,29,17,2,3,4429
5/1/12,255,0,0,0,0,0,7,48,358,119,0,2,39,64,1,22,29,1,2,0,2,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,74,1,6,3,33,5,6,3,0,10,158,58,216,60,11,5,13,60,73,6,31,7,2,67,141,9,0,1,1,8,6,14,48,1,41,2,25,0,1,7,1,3,32,0,1,1,0,2,4,8,6,19,9,8,2,6,130,18,60,2,0,3,4,22,191,0,0,4,0,6,2,26,11,11,0,0,113,45,9,8,5,238,11,47,30,350,36,43,17,0,0,0,1,8,1,2,12,2,33,6,1,2,0,0,12,445,1,1,24,27,1,3,4329
6/1/12,263,0,0,0,0,1,8,60,364,130,0,2,50,66,1,20,33,1,3,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,500,0,0,0,72,1,4,4,35,138,37,3,0,8,156,48,225,56,14,7,13,68,78,8,25,3,3,86,187,12,0,0,1,6,4,16,44,1,54,2,28,0,1,6,1,1,32,0,2,1,0,2,8,6,4,16,8,4,1,4,128,18,64,3,0,3,4,22,168,0,0,8,0,4,3,19,14,9,2,0,128,30,9,8,4,228,7,44,33,344,39,39,16,0,0,0,1,7,1,1,10,6,28,11,1,1,0,0,6,356,1,1,26,27,1,1,4953
7/1/12,280,0,0,0,0,1,11,59,390,126,0,1,40,49,1,13,25,1,2,0,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,61,1,3,2,40,0,7,1,0,6,162,51,222,48,14,6,17,60,91,29,24,10,2,86,255,17,0,0,1,10,2,28,41,1,55,6,31,0,1,8,1,1,25,0,1,1,0,1,12,4,3,19,9,5,1,4,162,17,75,1,0,2,4,18,184,0,0,14,0,1,1,12,7,13,0,0,122,25,8,8,3,175,5,40,26,325,36,39,10,0,0,0,1,19,1,2,11,3,26,9,1,1,0,0,10,400,1,1,28,29,1,2,4408
8/1/12,325,0,0,0,0,1,10,74,453,141,0,1,43,40,1,22,41,1,2,0,4,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,116,1,6,3,58,5,5,1,0,6,178,62,194,47,7,4,17,54,101,22,22,8,2,91,291,21,0,0,1,4,9,31,75,1,33,3,32,0,1,15,1,1,44,0,1,1,1,3,12,4,2,20,6,11,2,11,188,22,77,2,0,8,6,21,259,0,0,12,0,7,1,20,12,11,0,0,125,31,5,7,3,178,10,54,30,425,39,40,13,1,0,0,1,13,1,2,9,7,34,8,2,1,0,0,10,373,1,1,38,18,0,2,4987
9/1/12,363,0,0,0,0,0,12,73,516,130,0,1,41,42,1,22,40,1,2,0,1,0,59,0,0,0,0,0,0,0,2,0,0,0,0,0,7,30,1,0,0,137,2,5,4,109,38,12,1,0,5,152,44,194,47,3,6,18,59,91,5,25,8,1,86,219,21,0,0,3,7,5,21,100,1,35,2,33,0,0,13,1,1,39,0,2,1,0,1,11,6,6,22,6,9,1,8,166,11,64,4,0,7,6,22,323,0,0,12,0,7,2,24,7,10,0,0,125,34,10,6,6,213,9,64,32,588,42,40,10,2,0,0,1,14,0,3,7,4,29,6,3,1,0,0,15,489,1,1,26,29,0,1,5446
10/1/12,375,0,0,0,0,0,7,65,511,138,0,3,36,32,1,20,34,2,1,1,4,0,67,0,0,0,0,0,0,0,1,0,0,0,0,0,7,65,0,0,0,128,1,7,5,120,63,23,1,0,5,152,42,164,52,9,6,13,48,110,4,15,5,2,77,146,22,0,0,1,7,3,10,90,1,36,1,20,0,0,14,1,1,26,0,3,1,0,1,8,11,6,14,7,6,2,7,147,14,37,1,0,11,4,17,307,0,0,12,0,5,1,21,8,7,0,0,110,42,10,6,6,230,8,50,31,563,49,37,17,1,0,0,1,11,0,4,5,3,25,9,2,1,0,0,16,445,1,1,33,25,0,3,5204
11/1/12,300,0,0,0,0,0,11,66,501,130,0,1,29,40,1,17,39,3,2,1,1,0,46,0,0,0,0,0,0,0,1,0,0,0,0,0,11,130,0,0,0,100,1,8,3,71,159,26,1,0,5,156,46,152,46,16,3,8,60,91,3,10,7,3,86,160,10,0,3,1,3,1,8,66,1,27,3,17,0,0,14,1,3,27,0,4,1,0,3,5,4,6,18,5,10,2,9,141,10,41,3,1,7,4,11,239,0,0,14,0,4,5,29,11,12,0,0,122,41,13,6,4,225,9,44,29,482,33,44,9,0,0,0,1,12,0,1,6,4,23,6,3,3,0,0,14,439,1,1,27,23,0,2,4962
12/1/12,325,0,0,0,0,0,8,76,490,160,0,2,37,244,1,23,45,1,2,1,2,0,48,0,0,0,0,1,0,0,1,0,0,0,0,0,3,20,0,0,0,96,1,10,3,74,25,8,1,0,5,135,56,167,67,16,3,17,75,82,59,18,10,2,91,187,17,1,1,1,6,2,12,64,1,19,3,11,0,0,13,1,1,39,0,3,1,0,1,7,9,7,13,7,5,1,20,145,5,37,6,1,6,3,13,242,0,0,14,1,5,3,16,10,7,0,0,104,35,10,7,2,163,9,41,29,507,39,55,7,0,0,0,1,10,0,1,5,3,20,7,2,1,0,0,14,389,0,1,33,33,0,4,5010
1/1/13,321,0,0,0,0,0,8,69,458,156,0,2,30,44,1,16,63,1,4,0,4,0,48,0,0,0,0,1,0,0,1,0,0,0,0,0,3,10,0,0,0,91,1,6,2,62,46,4,1,0,8,156,66,164,57,7,6,13,86,64,21,15,5,2,86,187,18,1,1,1,5,3,11,54,1,25,2,15,0,0,16,1,2,32,0,4,1,0,2,6,10,9,18,7,8,2,12,147,6,39,2,1,3,3,12,204,0,0,16,0,4,2,13,10,8,0,0,100,34,10,7,4,180,6,55,29,444,42,43,12,0,0,0,1,10,0,1,7,2,20,8,2,1,0,0,13,400,0,1,31,21,0,3,4620
2/1/13,271,0,0,0,0,0,8,70,374,178,0,4,23,35,1,20,52,1,3,0,2,0,39,0,0,0,0,1,0,0,3,0,0,0,0,0,4,10,0,0,0,90,1,5,5,49,50,4,1,0,8,158,62,152,44,5,6,11,81,82,8,11,109,2,91,201,15,1,1,3,5,4,14,50,1,8,2,18,0,1,13,3,2,32,0,5,1,0,3,7,4,9,21,7,12,2,15,147,4,33,3,1,6,3,10,188,0,0,14,0,6,4,33,12,13,1,0,73,45,14,5,5,205,15,50,27,463,42,45,14,0,0,0,1,8,0,2,8,4,25,6,1,1,1,0,19,450,0,1,27,24,0,5,4658
3/1/13,267,0,0,0,0,1,11,79,327,189,0,1,29,35,1,48,63,1,2,0,2,0,42,0,0,0,0,1,0,0,2,0,0,0,0,0,11,5,0,0,0,84,1,34,3,42,88,5,1,0,6,160,76,125,43,11,2,17,63,101,5,6,55,3,81,187,11,1,1,2,2,1,10,49,0,8,1,18,0,1,16,1,2,33,0,4,1,1,1,7,7,7,18,7,5,2,15,124,3,33,1,0,6,3,9,194,0,0,18,0,7,5,27,11,9,0,0,82,45,16,9,4,213,9,48,33,538,42,38,9,0,0,0,1,14,2,2,6,2,27,7,2,2,1,0,20,478,0,1,26,22,1,3,4701
4/1/13,271,0,0,0,0,1,15,65,379,219,0,2,33,42,1,17,44,1,2,0,2,0,32,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5,0,0,0,74,1,9,3,46,5,3,1,0,12,174,58,134,61,27,7,15,82,128,42,13,39,2,77,191,13,1,2,1,3,2,8,42,0,8,2,15,1,1,10,1,1,29,0,5,1,0,2,8,10,10,17,7,9,2,14,132,4,38,3,0,4,4,10,175,0,0,18,0,10,3,23,18,16,0,0,79,41,14,7,4,243,12,48,38,350,39,45,13,0,0,0,1,11,14,2,6,4,22,8,3,6,1,0,14,478,0,1,26,16,1,1,4569
5/1/13,246,0,0,0,0,1,12,74,337,215,0,2,24,52,1,24,49,1,1,0,2,0,27,0,0,0,0,1,0,0,1,0,0,0,0,0,6,5,0,0,0,68,1,14,2,49,13,2,1,0,8,162,44,146,52,14,7,18,88,110,30,9,52,3,91,232,9,1,1,1,5,3,13,44,0,11,3,13,0,1,11,1,2,30,0,3,1,0,2,5,5,5,13,3,5,2,16,130,3,42,4,0,5,3,8,181,1,0,20,0,6,2,21,10,14,0,0,91,32,14,10,5,225,15,47,32,369,39,40,9,0,0,0,1,10,13,1,12,3,24,9,2,1,1,0,17,445,0,1,27,20,1,4,4476
6/1/13,259,0,0,0,0,1,12,81,353,219,0,2,30,54,1,20,45,1,2,0,2,0,28,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5,0,0,0,72,1,8,2,37,21,3,2,0,7,176,47,140,66,7,8,15,82,137,13,8,39,3,86,182,20,1,1,2,4,2,7,50,0,11,2,9,0,1,13,1,1,28,0,3,1,0,3,6,10,12,18,5,12,2,19,139,2,33,2,0,4,5,10,184,0,0,20,0,4,1,15,6,9,0,0,91,38,10,6,5,195,9,48,32,338,39,42,11,1,0,0,1,10,13,2,4,4,23,8,1,1,1,0,12,417,0,2,32,21,1,4,4380
7/1/13,275,0,0,0,0,1,12,91,300,249,0,2,31,61,1,28,51,2,2,1,1,0,32,0,0,0,0,2,0,0,3,0,0,0,0,0,7,15,0,0,0,95,1,15,2,42,71,3,2,0,15,186,64,146,59,11,6,15,87,137,20,12,18,4,91,191,14,1,2,1,5,4,6,51,0,11,1,13,0,1,10,1,1,26,0,4,1,0,2,9,7,12,15,7,9,1,21,166,2,40,5,0,9,5,10,188,0,0,24,0,5,2,11,7,7,0,0,82,38,9,7,2,175,6,51,26,432,36,51,13,1,0,0,1,9,12,1,2,6,22,6,2,1,2,0,11,384,0,2,25,18,1,5,4616
8/1/13,267,0,0,0,0,1,8,66,285,256,0,3,29,54,1,18,40,2,2,0,1,0,35,0,0,0,0,2,0,0,1,0,0,0,0,0,1,5,0,0,0,80,1,5,2,50,9,8,1,0,10,166,52,137,63,29,6,15,83,196,45,12,15,4,96,205,14,1,2,1,4,1,7,45,1,9,2,10,0,1,12,1,3,31,0,8,2,0,3,7,6,16,13,5,10,1,23,143,4,36,2,1,4,2,12,197,0,0,24,0,4,4,12,8,7,0,0,91,44,6,8,2,190,7,60,37,325,42,43,17,1,0,0,1,9,11,1,7,2,21,7,2,1,1,0,14,395,1,1,27,21,0,2,4463
9/1/13,246,0,0,0,0,1,8,78,290,256,0,4,30,44,1,15,38,2,2,0,1,0,35,0,0,0,0,2,0,0,2,0,0,0,0,0,3,10,0,0,0,81,2,7,2,48,46,4,2,0,8,164,48,146,56,20,4,18,93,128,43,12,16,2,110,196,16,1,1,2,6,1,5,47,1,5,2,9,0,2,9,2,2,32,0,7,2,0,3,5,11,10,10,5,8,2,23,154,4,37,7,1,6,3,12,191,0,0,18,0,10,3,22,9,8,0,0,79,42,10,5,5,205,13,62,29,363,36,46,12,1,0,0,1,11,10,2,4,2,23,7,1,1,2,0,11,489,1,1,25,19,0,3,4559
