Date,anonymous web proxy,charles web proxy,cloud free web proxy,daily web proxies,free proxy browser,free proxy lists,free proxy online,free proxy software,free proxy web,free proxy website,free proxy websites,free proxy youtube,free web proxy list,internet proxy,online web proxy,proxy web browser,proxy web,uk web proxy,unblock web proxy,us web proxy,web proxies,web proxy free,web proxy list,web proxy server,web proxy sites,webproxy.com,www.kproxy.com,youtube free proxy,zalmos web proxy
2011-12-01,84.0,39.0,0.0,58.0,55.0,12.0,74.0,51.0,56.0,38.0,23.0,37.0,32.0,70.0,74.0,52.0,81.0,17.0,1.0,40.0,57.0,56.0,54.0,63.0,54.0,0.0,21.0,37.0,0.0
2012-01-01,29.0,100.0,0.0,76.0,60.0,33.0,79.0,75.0,70.0,46.0,22.0,32.0,75.0,69.0,52.0,38.0,74.0,80.0,2.0,19.0,70.0,70.0,51.0,52.0,33.0,0.0,27.0,32.0,0.0
2012-02-01,37.0,56.0,0.0,63.0,53.0,57.0,65.0,42.0,84.0,47.0,31.0,45.0,62.0,61.0,62.0,39.0,90.0,83.0,3.0,58.0,98.0,84.0,93.0,46.0,86.0,0.0,33.0,45.0,0.0
2012-03-01,100.0,91.0,0.0,87.0,43.0,22.0,64.0,48.0,56.0,51.0,43.0,32.0,45.0,62.0,43.0,81.0,84.0,48.0,1.0,38.0,92.0,56.0,68.0,69.0,100.0,0.0,39.0,32.0,0.0
2012-04-01,80.0,19.0,0.0,100.0,35.0,11.0,44.0,77.0,65.0,73.0,35.0,39.0,61.0,59.0,35.0,78.0,76.0,66.0,3.0,19.0,94.0,65.0,69.0,52.0,51.0,0.0,38.0,39.0,0.0
2012-05-01,98.0,27.0,0.0,85.0,34.0,22.0,81.0,54.0,85.0,50.0,55.0,57.0,74.0,59.0,42.0,69.0,88.0,63.0,3.0,37.0,100.0,85.0,44.0,51.0,76.0,0.0,38.0,57.0,0.0
2012-06-01,22.0,47.0,0.0,67.0,80.0,11.0,42.0,56.0,46.0,42.0,36.0,21.0,62.0,48.0,36.0,56.0,63.0,17.0,3.0,19.0,54.0,46.0,47.0,54.0,34.0,0.0,20.0,21.0,0.0
2012-07-01,49.0,36.0,0.0,14.0,42.0,33.0,88.0,67.0,67.0,50.0,17.0,40.0,44.0,60.0,60.0,43.0,66.0,79.0,3.0,18.0,27.0,67.0,44.0,55.0,16.0,0.0,19.0,40.0,0.0
2012-08-01,61.0,17.0,0.0,24.0,82.0,11.0,59.0,78.0,53.0,29.0,25.0,30.0,72.0,56.0,66.0,72.0,67.0,61.0,3.0,18.0,36.0,53.0,43.0,53.0,26.0,0.0,19.0,30.0,0.0
2012-09-01,28.0,71.0,0.0,46.0,42.0,32.0,53.0,87.0,70.0,40.0,38.0,51.0,29.0,51.0,42.0,53.0,66.0,63.0,2.0,18.0,30.0,70.0,17.0,61.0,60.0,56.0,19.0,51.0,0.0
2012-10-01,81.0,40.0,0.0,35.0,90.0,10.0,54.0,90.0,76.0,40.0,57.0,46.0,40.0,57.0,76.0,100.0,84.0,42.0,4.0,49.0,57.0,76.0,84.0,49.0,58.0,0.0,17.0,46.0,0.0
2012-11-01,26.0,16.0,0.0,62.0,38.0,30.0,49.0,74.0,45.0,32.0,58.0,42.0,40.0,55.0,54.0,44.0,64.0,28.0,3.0,34.0,34.0,45.0,40.0,48.0,20.0,0.0,35.0,42.0,0.0
2012-12-01,70.0,24.0,0.0,26.0,15.0,10.0,46.0,55.0,67.0,50.0,31.0,62.0,13.0,54.0,54.0,67.0,64.0,28.0,7.0,33.0,29.0,67.0,55.0,36.0,29.0,0.0,32.0,62.0,0.0
2013-01-01,53.0,45.0,0.0,33.0,43.0,36.0,60.0,51.0,56.0,25.0,61.0,41.0,12.0,59.0,43.0,45.0,66.0,53.0,4.0,16.0,42.0,56.0,28.0,47.0,32.0,0.0,32.0,41.0,0.0
2013-02-01,63.0,48.0,0.0,35.0,61.0,19.0,36.0,73.0,61.0,49.0,57.0,44.0,40.0,63.0,69.0,29.0,80.0,43.0,7.0,33.0,36.0,61.0,25.0,68.0,64.0,0.0,17.0,44.0,20.0
2013-03-01,58.0,52.0,0.0,38.0,42.0,9.0,76.0,100.0,39.0,54.0,63.0,49.0,37.0,53.0,49.0,62.0,67.0,39.0,4.0,15.0,36.0,39.0,18.0,43.0,27.0,0.0,38.0,49.0,0.0
2013-04-01,41.0,23.0,0.0,45.0,28.0,27.0,54.0,17.0,46.0,46.0,46.0,67.0,25.0,61.0,57.0,72.0,67.0,67.0,3.0,78.0,45.0,46.0,51.0,54.0,55.0,0.0,59.0,67.0,0.0
2013-05-01,36.0,23.0,0.0,58.0,79.0,9.0,56.0,69.0,55.0,38.0,32.0,65.0,13.0,57.0,36.0,36.0,76.0,27.0,4.0,47.0,34.0,55.0,24.0,56.0,42.0,0.0,80.0,65.0,0.0
2013-06-01,19.0,47.0,39.0,9.0,67.0,19.0,49.0,36.0,40.0,31.0,7.0,33.0,13.0,46.0,15.0,38.0,60.0,28.0,4.0,16.0,19.0,40.0,44.0,51.0,19.0,0.0,17.0,33.0,0.0
2013-07-01,24.0,69.0,0.0,6.0,36.0,28.0,31.0,46.0,40.0,26.0,18.0,36.0,25.0,56.0,29.0,23.0,53.0,40.0,1.0,16.0,10.0,40.0,38.0,45.0,33.0,0.0,16.0,36.0,0.0
2013-08-01,12.0,22.0,0.0,6.0,56.0,9.0,50.0,67.0,40.0,37.0,21.0,26.0,37.0,56.0,43.0,89.0,46.0,39.0,1.0,61.0,18.0,40.0,28.0,44.0,32.0,0.0,16.0,26.0,0.0
2013-09-01,29.0,23.0,0.0,24.0,43.0,27.0,48.0,62.0,48.0,50.0,14.0,36.0,37.0,60.0,50.0,58.0,56.0,27.0,2.0,46.0,27.0,48.0,33.0,35.0,37.0,0.0,16.0,36.0,0.0
2013-10-01,39.0,50.0,0.0,71.0,54.0,9.0,50.0,54.0,50.0,40.0,51.0,43.0,35.0,64.0,54.0,43.0,65.0,40.0,6.0,29.0,36.0,50.0,40.0,54.0,35.0,0.0,19.0,43.0,18.0
2013-11-01,47.0,22.0,0.0,45.0,35.0,9.0,46.0,39.0,66.0,46.0,50.0,55.0,37.0,54.0,50.0,31.0,62.0,53.0,4.0,31.0,49.0,66.0,42.0,39.0,27.0,0.0,23.0,55.0,0.0
2013-12-01,35.0,22.0,0.0,79.0,63.0,13.0,55.0,39.0,50.0,41.0,52.0,82.0,37.0,69.0,21.0,57.0,59.0,13.0,3.0,46.0,50.0,50.0,37.0,41.0,36.0,0.0,26.0,82.0,0.0
2014-01-01,11.0,35.0,0.0,88.0,39.0,17.0,51.0,63.0,57.0,23.0,26.0,35.0,34.0,68.0,26.0,33.0,63.0,37.0,3.0,54.0,54.0,57.0,34.0,37.0,34.0,0.0,29.0,35.0,0.0
2014-02-01,36.0,61.0,0.0,67.0,50.0,9.0,57.0,69.0,71.0,38.0,18.0,100.0,25.0,74.0,51.0,50.0,83.0,37.0,8.0,63.0,52.0,71.0,33.0,45.0,42.0,0.0,16.0,100.0,0.0
2014-03-01,43.0,34.0,0.0,66.0,58.0,9.0,37.0,52.0,54.0,15.0,26.0,72.0,23.0,78.0,72.0,49.0,84.0,37.0,3.0,14.0,45.0,54.0,34.0,61.0,67.0,0.0,29.0,72.0,0.0
2014-04-01,28.0,35.0,0.0,68.0,80.0,9.0,81.0,74.0,45.0,16.0,37.0,86.0,23.0,67.0,7.0,67.0,80.0,12.0,7.0,15.0,42.0,45.0,35.0,46.0,60.0,0.0,15.0,86.0,36.0
2014-05-01,12.0,15.0,0.0,93.0,42.0,9.0,45.0,45.0,76.0,46.0,21.0,89.0,25.0,76.0,57.0,40.0,66.0,29.0,4.0,93.0,72.0,76.0,42.0,38.0,41.0,0.0,16.0,89.0,19.0
2014-06-01,27.0,68.0,0.0,37.0,48.0,10.0,60.0,45.0,67.0,33.0,24.0,60.0,28.0,87.0,65.0,25.0,80.0,45.0,4.0,88.0,34.0,67.0,26.0,54.0,16.0,0.0,25.0,60.0,20.0
2014-07-01,39.0,33.0,0.0,3.0,70.0,20.0,39.0,43.0,79.0,37.0,20.0,37.0,55.0,79.0,39.0,59.0,70.0,29.0,4.0,51.0,17.0,79.0,36.0,49.0,40.0,0.0,35.0,37.0,21.0
2014-08-01,26.0,8.0,0.0,13.0,39.0,9.0,50.0,68.0,75.0,50.0,16.0,36.0,95.0,79.0,47.0,34.0,71.0,14.0,5.0,49.0,11.0,75.0,71.0,34.0,35.0,0.0,17.0,36.0,21.0
2014-09-01,12.0,8.0,0.0,22.0,89.0,9.0,60.0,71.0,55.0,18.0,49.0,55.0,78.0,98.0,45.0,80.0,79.0,14.0,7.0,49.0,19.0,55.0,73.0,50.0,72.0,0.0,17.0,55.0,20.0
2014-10-01,12.0,68.0,0.0,18.0,79.0,9.0,73.0,57.0,88.0,34.0,40.0,63.0,13.0,91.0,79.0,41.0,81.0,27.0,8.0,16.0,25.0,88.0,94.0,49.0,32.0,0.0,16.0,63.0,0.0
2014-11-01,63.0,16.0,0.0,32.0,30.0,19.0,67.0,60.0,73.0,53.0,30.0,61.0,53.0,78.0,91.0,57.0,70.0,14.0,3.0,16.0,21.0,73.0,69.0,52.0,29.0,100.0,16.0,61.0,0.0
2014-12-01,37.0,23.0,0.0,28.0,37.0,57.0,51.0,47.0,75.0,39.0,52.0,60.0,37.0,82.0,52.0,51.0,69.0,28.0,6.0,48.0,23.0,75.0,44.0,54.0,52.0,0.0,16.0,60.0,0.0
2015-01-01,18.0,30.0,0.0,3.0,78.0,29.0,62.0,34.0,73.0,21.0,43.0,60.0,37.0,81.0,100.0,36.0,57.0,27.0,4.0,15.0,17.0,73.0,47.0,43.0,23.0,0.0,16.0,60.0,0.0
2015-02-01,6.0,16.0,0.0,6.0,53.0,29.0,49.0,24.0,68.0,36.0,45.0,69.0,26.0,87.0,61.0,43.0,70.0,26.0,2.0,66.0,21.0,68.0,59.0,53.0,63.0,0.0,24.0,69.0,0.0
2015-03-01,6.0,45.0,0.0,30.0,42.0,18.0,42.0,90.0,65.0,38.0,60.0,72.0,12.0,79.0,64.0,18.0,68.0,26.0,6.0,15.0,21.0,65.0,32.0,34.0,55.0,0.0,32.0,72.0,0.0
2015-04-01,12.0,40.0,0.0,28.0,45.0,10.0,55.0,48.0,55.0,35.0,30.0,93.0,79.0,70.0,53.0,28.0,65.0,28.0,4.0,33.0,21.0,55.0,59.0,36.0,19.0,0.0,17.0,93.0,0.0
2015-05-01,13.0,24.0,0.0,22.0,45.0,10.0,48.0,48.0,56.0,36.0,34.0,79.0,40.0,57.0,76.0,57.0,68.0,28.0,5.0,16.0,24.0,56.0,25.0,35.0,54.0,0.0,17.0,79.0,20.0
2015-06-01,26.0,8.0,0.0,10.0,39.0,10.0,48.0,37.0,30.0,37.0,20.0,34.0,14.0,65.0,24.0,35.0,58.0,15.0,4.0,17.0,11.0,30.0,15.0,43.0,10.0,0.0,0.0,34.0,19.0
2015-07-01,13.0,16.0,0.0,3.0,8.0,10.0,25.0,37.0,36.0,50.0,23.0,13.0,13.0,58.0,31.0,39.0,64.0,14.0,4.0,100.0,12.0,36.0,25.0,35.0,20.0,0.0,0.0,13.0,19.0
2015-08-01,51.0,40.0,0.0,3.0,38.0,20.0,43.0,24.0,40.0,23.0,27.0,36.0,27.0,59.0,23.0,48.0,66.0,14.0,3.0,32.0,14.0,40.0,35.0,51.0,5.0,0.0,0.0,36.0,19.0
2015-09-01,18.0,47.0,0.0,6.0,44.0,9.0,38.0,41.0,88.0,22.0,26.0,57.0,39.0,59.0,30.0,46.0,75.0,55.0,11.0,32.0,10.0,88.0,68.0,34.0,19.0,0.0,0.0,57.0,19.0
2015-10-01,35.0,44.0,0.0,3.0,63.0,9.0,43.0,50.0,60.0,33.0,28.0,83.0,25.0,52.0,42.0,40.0,73.0,39.0,31.0,61.0,15.0,60.0,28.0,33.0,18.0,0.0,0.0,83.0,19.0
2015-11-01,18.0,15.0,0.0,33.0,100.0,9.0,44.0,23.0,55.0,30.0,47.0,72.0,25.0,56.0,58.0,59.0,94.0,13.0,100.0,16.0,23.0,55.0,38.0,41.0,32.0,95.0,0.0,72.0,19.0
2015-12-01,23.0,30.0,0.0,21.0,42.0,13.0,32.0,17.0,51.0,29.0,25.0,55.0,12.0,51.0,29.0,40.0,65.0,26.0,20.0,62.0,27.0,51.0,28.0,23.0,14.0,43.0,32.0,55.0,19.0
2016-01-01,23.0,29.0,35.0,9.0,61.0,17.0,36.0,16.0,47.0,52.0,17.0,30.0,36.0,63.0,27.0,34.0,67.0,13.0,19.0,15.0,13.0,47.0,45.0,49.0,35.0,43.0,15.0,30.0,37.0
2016-02-01,34.0,58.0,71.0,20.0,48.0,9.0,34.0,27.0,35.0,32.0,48.0,37.0,12.0,59.0,41.0,43.0,57.0,12.0,6.0,60.0,11.0,35.0,22.0,43.0,40.0,43.0,15.0,37.0,55.0
2016-03-01,21.0,81.0,100.0,8.0,45.0,8.0,32.0,56.0,56.0,42.0,35.0,58.0,56.0,51.0,13.0,65.0,67.0,12.0,6.0,42.0,22.0,56.0,21.0,59.0,29.0,43.0,0.0,58.0,17.0
2016-04-01,28.0,57.0,35.0,14.0,60.0,8.0,48.0,21.0,87.0,24.0,27.0,61.0,23.0,50.0,68.0,51.0,70.0,25.0,3.0,44.0,21.0,87.0,18.0,56.0,17.0,0.0,0.0,61.0,18.0
2016-05-01,39.0,57.0,70.0,6.0,74.0,9.0,50.0,48.0,61.0,48.0,31.0,75.0,71.0,48.0,54.0,26.0,70.0,13.0,10.0,29.0,15.0,61.0,27.0,49.0,48.0,0.0,0.0,75.0,18.0
2016-06-01,18.0,63.0,0.0,9.0,22.0,9.0,34.0,30.0,30.0,22.0,19.0,33.0,13.0,41.0,15.0,33.0,62.0,14.0,1.0,0.0,7.0,30.0,15.0,45.0,5.0,0.0,0.0,33.0,100.0
