date,can someone read my text messages from their phone,can whatsapp be hacked on android,can whatsapp be hacked remotely,cell phone spyware detection and removal,get whatsapp password,hack someones whatsapp and read their chat messages,hack whatsapp account using phone number,hack whatsapp android,hack whatsapp messages online without survey,how can i tell if someone is spying on my phone,how do i know if my whatsapp has been hacked,how do i know if someone is tracking my iphone,how do you know if your phone is being tapped,how to block my phone from being tracked,how to catch someone spying on you,how to change whatsapp password,how to check whatsapp messages on pc,how to detect spyware on android phone,how to encrypt whatsapp messages,how to hack into someones whatsapp without access to their phone,how to hack someones whatsapp chat history,how to hack someones whatsapp messenger,how to hack someones whatsapp without access to their phone,how to hack someones whatsapp without their phone free,how to hack someones whatsapp without their phone,how to hack whatsapp account using pc,how to hack whatsapp account without verification code,how to hack whatsapp chat history free,how to hack whatsapp chat history,how to hack whatsapp conversation,how to hack whatsapp without access to target phone,how to know if my whatsapp is hacked,how to know if my whatsapp is monitored,how to know if your phone is being tracked by police,how to know who is chatting with whom on whatsapp,how to read encrypted whatsapp messages,how to read others whatsapp messages on pc,how to read someones whatsapp messages online free,how to read someones whatsapp messages without their phone,how to read someones whatsapp messages without them knowing,how to read whatsapp messages of other number,how to remove spyware from android,how to secure whatsapp from hackers,how to secure whatsapp,how to see someones whatsapp messages without them knowing,how to stop someone from spying on my cell phone,how to tell if someone is tracking your iphone,how to track whatsapp messages without target phone,how to view whatsapp chat history online,is it possible to hack whatsapp messages,log into whatsapp online,number to call to see if cell phone is tapped,spy whatsapp messages without installing on target phone,what to do if my whatsapp account is hacked,whatsapp and privacy,whatsapp encryption broken,whatsapp encryption key,whatsapp hack download software,whatsapp password download,whatsapp password generator,whatsapp password hack,whatsapp password iphone,whatsapp privacy concern,whatsapp privacy issues,whatsapp privacy settings,whatsapp security code,whatsapp security encryption,whatsapp security issues,whatsapp security lock,whatsapp security risk,whatsapp security settings,whatsapp setting download,whatsapp settings not visible,whatsapp settings on android,whatsapp sniffer  spy tool 2016,Row Total
3/1/13,0,4,4,0,14,0,4,263,0,4,0,8,8,9,4,11,12,6,0,0,8,8,0,4,0,8,0,4,14,13,0,4,0,0,0,4,0,0,0,0,0,4,0,12,0,4,8,0,8,6,4,4,0,0,4,4,4,25,94,5,59,73,4,4,15,32,6,11,12,5,6,60,4,19,0,914
4/1/13,0,4,4,0,21,0,4,257,0,4,0,6,4,9,4,18,4,5,0,0,8,7,0,0,4,10,0,4,9,18,0,4,0,0,0,4,0,0,4,0,0,11,0,12,0,4,6,0,4,4,12,4,0,0,9,6,6,22,103,5,38,90,4,10,7,36,6,10,8,5,4,42,4,17,0,905
5/1/13,0,4,4,0,28,0,4,263,0,4,0,6,4,4,4,14,13,8,0,0,4,8,0,0,0,4,0,4,13,10,4,4,0,0,0,4,0,0,0,0,0,7,0,10,0,4,8,0,4,4,6,5,0,0,8,4,8,28,103,13,67,88,4,8,15,36,7,4,14,4,5,57,0,34,0,970
6/1/13,0,4,4,0,40,0,4,294,0,4,0,4,6,4,4,11,7,10,4,0,4,8,0,0,0,8,4,4,16,11,4,4,0,4,0,4,0,0,0,0,0,6,0,19,0,4,14,0,4,4,4,6,0,0,9,4,4,29,91,4,96,109,4,4,31,44,4,9,10,4,4,66,0,26,0,1084
7/1/13,0,4,4,0,29,0,4,363,0,4,4,8,8,4,5,11,12,12,4,0,4,9,0,0,0,9,0,4,6,16,4,4,0,4,0,4,4,4,0,0,4,11,4,18,0,4,10,0,8,4,12,12,0,0,8,4,4,36,135,9,117,113,0,6,31,38,4,9,26,4,4,45,0,25,0,1253
8/1/13,4,4,4,0,24,13,4,319,0,4,4,6,10,4,6,17,8,10,4,0,4,12,0,0,0,12,0,4,20,108,4,8,0,4,0,6,4,4,0,0,4,16,4,17,0,4,9,0,4,6,6,4,0,0,6,4,4,63,117,6,142,136,0,5,25,34,12,7,10,4,5,70,0,14,0,1373
9/1/13,4,4,4,0,40,6,4,375,0,4,4,4,8,4,4,18,12,5,4,0,8,10,0,0,0,12,0,6,14,19,4,4,0,0,0,8,4,4,0,0,0,8,4,19,0,4,4,0,4,8,16,4,0,0,8,4,4,53,170,9,146,126,0,6,29,28,10,14,8,4,7,53,0,23,0,1370
10/1/13,4,4,3,0,64,6,4,369,0,4,0,4,4,4,4,23,11,4,4,0,4,5,0,0,0,9,0,7,7,13,4,4,0,0,0,4,4,4,0,0,0,11,4,17,0,4,11,0,4,4,10,4,0,0,12,4,4,58,166,6,138,138,0,5,23,25,6,9,9,4,6,63,0,33,0,1359
11/1/13,4,0,3,0,40,6,4,394,0,4,0,6,12,4,4,20,4,7,4,0,4,5,0,0,0,11,0,5,8,15,4,4,0,0,0,4,4,4,0,0,0,10,0,16,0,4,8,0,8,6,9,4,0,0,8,4,4,59,156,4,175,126,0,4,15,19,4,16,13,4,8,66,0,29,0,1363
12/1/13,4,0,3,0,53,4,4,369,0,4,0,6,4,4,4,23,7,10,4,0,4,10,0,0,4,6,0,5,19,15,3,6,0,0,4,3,4,4,0,0,0,6,0,27,0,4,8,0,4,8,8,4,0,0,8,0,4,60,182,14,175,142,0,10,21,32,4,17,21,8,8,54,4,27,0,1450
1/1/14,4,0,3,4,41,4,3,413,0,7,0,7,14,4,4,23,5,7,4,0,5,12,0,0,6,13,3,5,18,22,3,7,0,0,4,3,3,4,0,0,0,9,0,12,0,4,5,0,11,4,3,4,0,0,13,0,4,53,170,6,184,132,0,16,19,40,3,17,18,5,10,79,4,31,0,1511
2/1/14,4,0,4,0,43,4,8,425,0,6,0,8,14,4,4,34,6,6,4,0,4,10,0,4,8,18,3,3,7,111,6,6,0,0,4,3,3,4,0,0,4,11,0,26,0,4,12,0,4,4,10,4,0,0,26,0,4,68,189,11,184,165,0,22,78,48,6,19,12,11,13,69,4,32,0,1808
3/1/14,3,0,4,0,57,5,3,438,0,7,0,7,4,4,4,48,7,12,4,0,7,10,0,4,3,21,3,3,16,49,3,3,0,0,4,3,3,3,0,0,3,9,0,19,0,3,7,0,7,5,7,4,3,0,13,0,7,68,189,9,163,130,3,13,205,36,3,13,16,3,7,56,5,37,0,1785
4/1/14,4,4,4,0,53,4,4,438,4,7,4,9,7,4,4,30,8,4,4,0,5,9,4,4,4,9,4,4,24,61,5,4,0,0,4,4,4,4,4,0,6,9,0,23,4,4,4,0,4,9,7,4,4,0,19,0,7,75,170,7,171,138,4,12,103,38,7,18,24,4,13,64,6,31,0,1742
5/1/14,4,4,4,0,35,11,5,407,6,4,7,5,9,4,4,28,14,4,7,0,4,7,4,4,6,11,4,4,20,38,4,5,0,4,4,4,5,4,4,4,6,8,0,23,4,4,7,0,8,5,12,5,4,0,21,0,8,70,198,7,175,153,4,7,80,25,7,23,18,4,9,69,7,25,0,1698
6/1/14,4,4,4,0,49,4,6,475,8,8,4,4,4,4,4,25,4,4,4,0,4,10,4,4,4,7,4,8,23,91,4,5,0,6,4,4,12,4,4,4,8,4,0,20,4,4,6,0,6,8,6,4,4,0,11,0,11,78,187,8,192,128,4,8,78,40,4,10,27,5,14,60,4,40,0,1808
7/1/14,4,4,4,4,42,7,8,482,10,8,4,6,4,4,4,40,6,6,4,0,8,12,4,4,4,15,4,8,19,96,4,8,0,8,4,4,6,4,4,4,4,6,4,35,4,4,5,0,6,4,8,4,4,4,14,0,12,86,159,8,226,128,4,5,60,34,5,8,20,8,13,42,4,39,0,1838
8/1/14,4,4,4,4,46,9,12,432,12,4,4,4,6,4,4,45,6,10,8,0,8,18,4,5,4,15,4,8,19,50,5,4,0,0,4,4,6,4,5,4,4,6,4,28,4,4,5,0,12,10,5,4,4,0,16,0,8,76,191,5,221,169,4,14,70,32,8,4,18,9,8,61,4,43,0,1844
9/1/14,4,4,4,4,80,12,9,513,4,4,4,11,4,4,4,41,9,5,6,0,5,17,4,6,6,16,4,4,46,36,4,4,0,0,4,4,11,6,6,4,4,9,5,31,5,4,4,0,8,4,6,7,4,0,14,0,8,56,200,10,192,169,4,10,39,30,8,9,23,5,6,60,4,25,0,1876
10/1/14,4,4,4,4,44,4,11,463,4,7,4,5,4,4,4,33,11,6,5,0,14,16,4,7,9,31,5,11,59,54,5,4,0,0,4,5,4,4,4,4,4,11,7,32,5,4,7,0,19,4,8,7,4,0,23,0,6,83,180,11,200,150,4,7,35,40,9,16,33,6,7,59,4,27,0,1881
11/1/14,4,4,4,0,59,4,5,482,4,4,4,4,11,8,4,37,11,4,4,0,5,12,5,6,10,26,5,4,26,157,7,4,0,0,4,5,4,4,4,4,11,12,3,39,4,4,5,4,13,4,6,4,4,0,19,4,4,84,212,11,205,157,4,14,49,36,5,9,17,4,11,77,7,18,0,2009
12/1/14,4,4,4,0,71,4,11,519,4,15,4,4,5,4,4,33,22,18,5,0,5,14,7,6,9,20,5,5,33,65,9,6,0,0,4,4,7,4,5,4,5,7,3,23,4,4,5,4,8,9,5,4,3,0,24,4,11,77,177,18,200,198,5,13,33,38,5,13,22,4,5,74,7,26,0,1985
1/1/15,3,3,3,0,79,4,7,500,4,4,10,7,3,4,4,55,13,8,3,0,7,9,5,4,9,22,3,14,63,68,3,7,0,0,5,3,8,4,6,11,3,7,3,38,4,4,7,3,7,4,9,7,3,0,25,4,11,102,214,27,213,171,7,8,43,38,7,7,33,7,7,86,7,23,0,2104
2/1/15,3,5,5,0,52,4,7,569,6,4,4,7,4,4,4,50,12,4,7,7,7,14,7,8,12,13,11,11,103,65,7,4,0,4,7,3,9,4,7,5,4,10,3,46,4,4,15,3,8,5,6,5,3,0,15,4,8,68,214,7,251,173,4,5,45,36,6,18,30,5,10,64,7,29,0,2174
3/1/15,3,6,13,0,83,4,12,619,16,9,3,7,7,5,5,57,19,8,5,3,4,14,8,7,22,46,3,9,57,60,3,4,0,3,3,3,13,4,5,5,5,9,3,36,3,3,10,3,4,10,7,4,3,0,28,5,9,115,231,19,255,186,3,12,33,44,5,14,25,5,15,95,5,25,0,2386
4/1/15,3,6,3,0,67,11,12,550,4,7,3,5,5,4,7,49,13,7,3,3,3,30,9,5,16,38,8,5,44,111,8,7,0,3,3,7,7,5,10,5,7,6,3,38,6,3,10,3,11,4,11,4,3,0,11,5,12,112,214,19,242,209,3,6,39,48,8,8,17,3,13,68,3,22,0,2257
5/1/15,3,7,3,0,54,5,10,525,7,10,3,4,5,4,7,57,15,5,6,3,4,25,5,3,16,50,8,13,47,65,13,3,0,3,3,3,3,5,5,5,10,7,3,22,3,3,9,3,10,5,8,4,3,3,16,3,7,118,221,15,230,153,3,10,25,25,7,10,24,3,8,70,3,45,0,2101
6/1/15,3,3,3,0,53,4,13,625,4,14,4,3,3,4,0,51,11,7,5,5,8,21,7,4,13,41,10,17,49,72,10,6,0,7,3,7,7,11,6,5,10,7,3,39,3,3,6,4,4,12,12,5,3,3,16,3,7,79,205,14,221,155,3,18,29,44,3,12,43,3,10,63,10,28,0,2199
7/1/15,3,3,3,0,76,5,14,588,5,8,3,13,8,5,0,57,7,5,3,3,5,27,7,9,19,36,5,15,53,60,13,5,0,3,3,5,12,7,8,9,5,15,3,36,3,3,8,5,3,7,12,3,3,3,23,3,3,82,228,20,330,188,3,9,27,48,10,15,27,5,7,81,3,38,0,2369
8/1/15,3,3,3,0,97,3,20,563,7,5,6,6,5,7,0,63,13,7,3,3,5,23,7,5,26,37,8,11,65,46,9,3,0,3,3,5,7,13,17,3,9,16,3,40,3,3,8,5,14,9,10,4,3,3,21,3,10,83,221,10,417,200,3,9,23,36,5,7,25,3,10,71,10,27,0,2437
9/1/15,3,10,3,0,98,7,23,575,14,5,10,5,10,3,0,39,10,4,3,5,13,8,3,5,16,29,11,10,36,38,8,8,0,3,3,3,3,8,4,10,3,10,6,36,10,5,3,7,5,11,11,5,3,3,17,3,3,77,233,5,367,167,3,3,35,25,6,19,21,8,10,90,6,37,0,2299
10/1/15,3,5,3,0,74,10,9,544,8,9,3,7,8,3,0,57,9,5,5,7,3,21,9,3,16,25,14,6,55,58,11,7,3,3,3,6,3,3,5,3,7,10,3,28,9,3,7,3,10,8,11,5,3,3,19,3,11,76,200,9,321,173,3,11,19,40,5,13,26,5,6,69,3,29,0,2177
11/1/15,3,3,4,0,94,8,12,513,3,3,3,3,8,3,3,49,14,5,5,10,3,22,11,7,23,29,13,4,38,61,8,6,3,5,12,3,5,4,9,7,3,21,3,37,5,3,7,3,7,3,12,6,3,3,21,3,3,71,200,11,288,175,5,8,39,36,8,10,33,5,12,77,3,31,0,2174
12/1/15,3,3,3,0,74,7,5,600,3,3,3,9,3,3,3,51,6,5,5,6,9,19,16,12,28,16,8,6,32,72,18,3,3,6,3,3,4,9,14,7,5,8,3,52,5,3,3,5,8,3,20,6,4,3,17,3,10,49,217,11,284,159,6,13,43,38,6,13,29,6,15,103,4,36,0,2273
1/1/16,3,7,3,0,90,3,9,607,5,6,6,6,3,3,5,63,8,7,3,6,6,23,12,9,33,19,16,10,54,46,15,6,3,6,5,4,4,6,14,8,9,9,3,42,3,6,9,14,8,5,10,4,6,3,28,3,9,84,203,6,280,157,3,9,39,40,6,9,21,5,16,63,4,26,0,2284
2/1/16,3,6,3,0,66,3,18,538,5,8,3,3,5,3,15,60,6,6,3,3,6,13,12,5,18,21,19,5,41,66,16,8,3,6,6,4,7,4,12,11,4,10,4,34,4,4,10,3,13,5,9,9,4,3,19,3,6,68,200,11,296,165,3,9,29,36,9,11,23,12,14,83,3,24,0,2180
3/1/16,4,3,6,3,58,3,25,544,15,3,4,4,11,7,6,50,6,11,6,3,5,20,7,3,17,30,23,8,38,40,9,6,3,3,3,3,4,6,18,4,3,15,3,40,6,3,6,6,7,6,18,5,4,3,10,3,6,49,198,9,271,165,3,10,29,38,7,7,38,3,11,77,7,27,2,2117
4/1/16,4,3,3,3,95,6,33,507,5,4,6,10,4,5,3,63,11,9,100,4,4,17,4,8,13,18,21,13,50,38,18,9,3,3,3,11,4,5,10,6,8,12,3,106,3,7,12,4,11,7,6,9,3,3,31,21,76,48,170,9,251,138,3,9,39,209,98,19,31,3,52,69,5,34,2,2647
5/1/16,4,3,10,3,66,9,4,482,7,9,6,8,3,6,3,61,4,5,15,6,6,19,9,4,36,18,15,8,45,36,13,5,3,3,3,8,3,6,14,6,8,15,3,66,6,6,23,6,6,4,8,7,3,3,38,5,21,50,182,7,213,171,3,7,35,90,27,13,44,3,16,75,3,30,2,2173
6/1/16,5,3,3,3,67,6,13,457,11,10,6,6,6,5,3,70,4,5,17,3,10,14,15,9,29,16,13,7,37,32,12,7,3,3,3,8,9,5,15,3,7,9,5,49,3,4,12,4,5,6,15,5,3,3,31,12,24,57,182,11,238,167,3,3,56,84,33,12,38,4,15,74,3,30,4,2164
7/1/16,6,3,3,3,79,12,10,463,9,7,6,3,4,8,3,66,7,9,12,3,6,16,9,9,17,38,19,4,41,38,13,4,3,3,4,3,3,3,12,6,4,9,4,60,3,7,12,3,9,3,12,6,3,3,17,8,11,59,191,13,251,182,3,6,37,113,14,10,31,6,14,73,3,33,37,2217
8/1/16,3,3,3,3,79,3,25,507,9,3,6,5,6,12,3,71,6,6,8,4,4,13,16,6,22,20,20,9,34,44,11,14,3,4,3,7,3,4,17,5,10,9,4,69,7,6,10,3,9,6,19,4,3,3,44,6,8,59,177,17,255,198,3,18,90,128,12,15,26,7,13,66,4,40,95,2467
9/1/16,3,6,3,4,80,7,17,488,3,12,3,6,12,6,3,72,13,6,8,4,6,16,12,3,26,21,15,5,41,46,13,8,3,4,4,8,6,6,12,3,5,10,5,63,14,5,9,3,6,5,11,6,3,3,82,4,21,78,182,16,246,171,6,16,154,117,9,19,30,8,32,64,6,42,193,2658
10/1/16,4,3,4,4,71,23,12,469,10,3,3,9,4,4,5,69,3,9,7,8,12,11,20,10,40,29,20,7,50,29,24,7,3,5,4,7,5,9,26,10,12,9,4,67,8,9,16,8,4,6,14,9,4,3,30,5,16,44,173,11,226,180,3,7,64,105,15,20,15,3,18,77,3,32,33,2305
11/1/16,5,3,3,4,87,9,20,457,20,10,7,4,4,3,4,70,4,11,6,10,13,8,26,10,53,29,26,9,56,27,17,22,3,7,6,5,3,9,27,10,11,9,3,58,7,7,12,3,6,4,16,15,5,3,36,6,19,35,175,13,221,192,0,6,33,111,12,7,28,11,18,69,4,34,12,2308
12/1/16,3,3,4,13,71,9,30,482,17,6,3,12,7,3,4,65,8,12,12,6,15,12,34,7,67,24,26,13,60,18,25,18,8,8,4,7,4,16,36,12,10,13,4,60,11,5,11,14,6,5,13,9,8,3,32,11,17,46,161,12,209,192,0,12,37,128,10,5,21,4,18,70,4,45,10,2400
1/1/17,3,10,5,11,77,16,20,444,9,9,5,3,9,7,9,64,10,8,12,6,19,19,33,24,74,16,35,16,69,19,14,15,7,10,8,7,3,16,40,9,14,14,7,83,7,10,10,7,8,11,8,9,6,5,26,18,8,51,152,15,242,165,0,11,33,128,17,11,34,8,14,77,4,32,14,2449
