date,account preferences,account recovery,automatically sign out gmail,change email password,change google password android,chrome settings,clear history android,clear history chrome,create facebook account,create new email account,create new google account,create yahoo account,delete account facebook,delete account instagram,delete all history,delete all searches,delete gmail account permanently,delete google account history,delete google account,delete instagram account permanently link,delete my facebook account right now,delete my gmail account now,delete my gmail account,delete my google account,delete your account page,email account login,email account,email sign up,forgot instagram password,gmail account preferences,gmail account sign up,gmail login new account,gmail login password,gmail logout button,gmail new account,gmail remove account from list,gmail sign out android,gmail sign out of all devices mobile,gmail sign out problem,gmail sign out shortcut,gmail sign out,gmail sign up account,gmail stay signed in,google account change password,google account homepage,google account recovery,google account security page,google account sign in,google accounts,google my account,google security manager,google settings app,google sign out everywhere,history google chrome,how do i deactivate my facebook account,how do i remove a device from my google account,how to deactivate gmail account temporarily,how to delete a gmail account 2016,how to delete a google account,how to delete facebook account forever,how to delete facebook account permanently immediately,how to delete facebook account permanently without waiting 14 days,how to delete facebook account without password,how to delete fb account permanently from mobile,how to delete gmail account from iphone,how to delete gmail account in android phone,how to delete gmail account permanently immediately,how to delete gmail account permanently without password,how to delete google account on android,how to delete instagram account on iphone,how to delete instagram account on phone,how to logout my gmail account from all devices,how to reactivate instagram,how to remove a gmail account from samsung galaxy s5,how to remove devices from gmail account,how to remove gmail account from android phone without factory reset,how to remove gmail account from android phone,how to remove gmail account from android,how to remove gmail account from computer,how to remove google account from android phone from computer,how to remove google account from android phone without factory reset,how to remove google account from android phone,how to remove google account from computer,how to remove google account from samsung,how to sign out of gmail app on iphone,how to sign out of gmail mobile,how to sign out of gmail on android,how to sign out of gmail on ipad,how to sign out of gmail on iphone,how to sign out of google account on android,how to sign out of google play on android,instagram delete account page,instagram deleted my account,my activity google,my gmail account,my google history search,phone settings,remove account from google,remove email account from android,remove google account from android,remove google account from chrome,remove google account from galaxy s4,remove google account from gmail,sign out of all google sessions,sign out of google account,sign out of google on all devices,view google history
2011-11-01,14,229,1,286,17,251,70,112,951,134,85,642,2000,25,69,5,23,40,372,0,1,1,88,65,6,167,6100,458,2,1,172,50,50,2,1400,1,11,0,1,1,100,172,5,29,20,31,1,267,1015,517,13,16,2,422,35,0,1,0,52,11,8,0,5,0,3,1,1,2,4,0,1,0,1,0,1,1,1,7,1,0,0,2,1,1,1,1,3,2,2,1,0,0,0,12,643,36,528,34,3,11,1,0,5,1,4,0,44
2011-12-01,22,286,1,300,16,259,84,124,1001,120,91,717,1980,25,76,6,35,32,372,0,1,1,96,59,7,217,6500,472,3,1,158,50,100,2,1400,1,14,0,1,2,134,158,4,29,24,54,1,200,986,584,17,19,1,469,36,0,1,0,51,12,20,0,7,0,3,2,3,1,7,0,1,0,1,0,1,1,2,10,1,0,1,3,1,1,1,1,3,4,2,1,0,0,0,8,686,37,555,47,8,21,2,0,5,1,4,0,48
2012-01-01,16,286,1,308,14,259,82,129,967,120,85,717,1980,38,72,6,50,35,400,0,1,2,89,71,7,234,6500,472,3,1,200,75,150,2,1200,1,13,0,1,1,134,200,5,27,21,54,1,178,1015,550,11,20,1,464,34,0,1,0,61,20,19,0,5,0,3,1,1,1,3,0,1,0,1,0,0,1,2,10,1,0,1,2,1,1,1,1,3,2,3,1,0,0,1,8,715,40,519,44,5,17,2,0,6,1,4,0,47
2012-02-01,19,258,1,293,14,275,70,110,917,120,82,684,2000,38,67,6,30,52,358,0,1,1,78,63,4,234,6200,486,6,1,186,100,150,1,1200,1,13,0,1,1,100,186,4,32,20,39,1,167,929,550,8,18,1,495,28,0,1,0,41,15,17,0,5,0,2,1,2,2,4,1,1,0,1,0,0,1,2,9,1,0,1,3,1,1,1,1,4,1,2,1,0,0,1,8,615,45,473,39,6,14,1,0,7,1,5,0,60
2012-03-01,15,258,1,286,14,267,64,99,951,120,82,667,1940,50,72,7,29,36,315,0,1,1,81,60,5,217,6000,458,9,2,172,125,150,3,1500,1,14,0,1,1,100,172,2,23,19,47,1,223,943,534,9,19,1,432,31,1,1,0,41,26,10,0,6,0,2,1,1,1,4,3,1,0,1,0,0,1,3,7,1,0,1,2,1,2,1,1,4,2,2,1,0,0,1,8,600,51,501,49,9,18,2,0,7,1,6,1,56
2012-04-01,14,286,1,322,16,300,69,95,951,110,79,667,1600,163,69,4,31,16,315,0,1,1,82,59,5,217,6400,472,14,1,215,63,100,1,1400,1,17,0,3,1,100,215,2,32,16,62,1,234,929,534,10,22,1,432,39,1,1,0,43,20,3,0,4,0,3,1,1,1,5,3,1,0,6,0,0,1,5,13,1,0,1,5,1,1,1,1,4,1,1,2,1,1,2,8,600,37,510,49,6,17,3,0,7,2,6,0,49
2012-05-01,18,286,1,286,16,325,73,100,967,134,94,692,1620,138,76,9,30,17,308,0,1,1,71,60,8,184,6100,458,18,1,215,63,100,1,1300,1,11,0,1,1,100,215,3,34,17,70,1,156,900,517,10,23,1,453,29,1,1,0,46,18,3,0,6,0,2,1,2,1,5,4,1,0,3,0,0,1,3,8,1,0,1,4,1,2,1,1,4,2,1,1,2,1,2,8,586,45,510,52,7,16,1,0,9,1,8,0,50
2012-06-01,18,329,1,379,21,342,87,135,1017,143,97,675,1540,175,85,8,25,18,308,0,1,1,86,58,6,234,6800,472,58,1,186,88,100,1,1500,1,12,0,1,1,134,186,3,36,22,85,1,212,915,550,13,23,1,506,35,1,1,0,50,14,4,0,5,0,2,2,2,1,7,4,1,0,5,0,0,1,2,9,1,1,1,4,1,2,1,1,4,2,2,2,1,1,4,8,643,50,555,54,9,19,3,0,6,1,8,0,61
2012-07-01,19,386,1,358,18,400,102,116,1067,177,113,742,1500,188,76,6,23,18,350,0,1,1,85,64,8,267,7300,529,43,1,215,113,100,2,1800,1,22,0,1,1,167,215,4,38,23,100,1,278,972,584,10,30,1,453,29,2,1,0,57,16,3,0,6,0,2,3,2,1,4,3,1,0,7,0,0,1,5,13,1,0,1,4,1,4,2,1,6,2,3,2,2,1,2,4,700,51,573,67,12,21,4,0,11,1,11,0,61
2012-08-01,17,400,1,322,20,501,116,124,1034,153,107,725,1440,175,87,7,26,17,350,0,1,1,91,66,8,300,7300,600,37,1,286,138,50,3,1600,1,26,0,1,1,134,286,3,47,26,116,1,312,1000,634,10,30,1,479,16,1,1,0,70,12,5,1,7,0,3,2,2,1,4,3,1,0,5,0,0,1,6,13,2,0,1,4,1,3,1,1,6,4,2,1,2,1,3,8,786,51,600,70,4,25,3,0,10,1,11,0,61
2012-09-01,20,443,1,315,18,459,116,118,984,143,122,692,1400,188,83,9,25,18,336,0,1,1,84,59,8,267,6900,543,42,3,300,88,100,1,1400,2,26,0,1,1,134,300,4,38,25,147,1,212,986,634,14,36,2,464,20,1,1,0,58,6,3,1,5,0,3,1,1,2,6,6,2,0,8,0,1,1,3,11,1,0,1,3,1,3,1,1,8,2,4,2,2,1,2,8,715,47,619,62,9,22,2,0,11,1,7,0,67
2012-10-01,16,400,1,293,19,442,100,141,951,139,82,609,1360,200,83,7,18,18,336,0,1,1,77,64,8,267,6600,500,29,1,315,63,100,1,1200,1,20,0,1,2,134,315,4,40,19,147,1,223,958,567,13,33,1,479,34,1,1,0,43,13,3,1,6,1,3,1,1,2,10,6,1,0,7,0,1,1,3,10,1,0,1,5,1,3,1,1,6,3,2,3,1,2,2,12,700,48,564,59,8,19,2,0,8,2,8,0,65
2012-11-01,19,443,1,286,15,426,105,137,917,148,100,609,1340,200,74,5,22,18,336,1,1,2,81,58,6,251,6600,515,31,1,215,100,100,1,1500,1,20,0,1,1,134,215,5,34,20,185,1,267,900,617,13,32,1,448,25,1,1,0,50,11,5,1,5,0,3,1,1,1,6,8,1,0,5,0,1,1,4,12,1,0,1,5,1,3,1,1,4,1,3,1,1,1,3,8,686,51,555,62,5,20,3,0,8,1,8,1,61
2012-12-01,18,529,1,322,18,442,117,156,951,181,119,717,1440,375,96,9,34,17,400,1,1,1,92,69,6,234,7000,643,46,1,215,75,100,2,1900,1,21,0,1,1,167,215,3,40,24,247,1,400,986,667,11,38,1,448,15,1,1,0,58,18,8,1,4,0,3,1,1,2,8,5,2,0,13,0,1,1,7,13,1,1,1,5,1,4,1,1,6,3,2,1,1,1,6,8,700,51,610,75,5,25,3,0,12,1,11,1,65
2013-01-01,18,472,1,365,16,467,116,145,917,158,110,617,1340,438,94,11,43,18,400,1,1,1,91,70,9,251,7300,615,42,1,215,63,100,2,1300,1,24,0,1,2,167,215,4,38,19,200,1,300,1000,667,11,32,1,448,16,1,1,0,61,6,2,1,5,0,4,1,1,1,5,9,2,0,12,0,1,1,5,11,2,1,1,3,1,4,1,1,5,2,2,1,2,2,6,8,715,56,619,75,7,24,3,0,11,1,10,1,67
2013-02-01,22,529,1,393,14,501,100,154,984,162,113,675,1380,450,87,8,39,17,408,1,1,1,95,68,8,300,7000,615,39,1,272,100,250,2,1300,1,20,0,1,1,134,272,4,45,21,224,1,267,1029,684,14,78,1,443,36,1,1,0,60,6,4,1,4,0,5,1,2,1,7,12,3,0,7,0,1,1,4,15,1,0,1,4,1,4,1,1,8,2,2,1,2,3,3,8,772,56,637,77,6,21,2,0,11,2,10,1,68
2013-03-01,23,543,1,365,17,467,107,149,1017,162,128,742,1380,288,89,8,32,16,400,1,1,1,92,74,9,317,7100,572,42,1,272,138,950,2,1700,1,29,0,1,1,167,272,10,38,19,239,1,312,1000,684,13,70,1,443,26,2,1,0,53,7,4,1,6,0,4,1,2,1,4,13,2,0,11,0,1,1,4,11,1,0,1,3,1,2,1,1,6,2,2,2,2,3,6,12,772,57,610,72,8,20,2,1,13,1,14,1,64
2013-04-01,18,529,1,350,16,467,96,149,1034,158,125,684,1260,263,85,7,23,19,408,1,1,1,105,77,7,300,7000,658,43,1,286,150,150,1,2400,1,22,0,1,1,167,286,9,38,18,239,1,423,1043,684,13,45,1,427,13,1,1,0,62,11,4,1,5,1,3,2,1,1,6,8,1,0,9,0,1,1,4,12,1,0,1,5,1,4,1,1,7,2,2,2,1,2,6,12,758,50,610,77,5,23,3,1,11,2,15,1,65
2013-05-01,21,572,1,315,15,501,116,149,1117,177,134,742,1180,300,80,7,37,19,400,1,1,1,96,71,7,334,6800,643,32,1,286,100,100,1,1700,1,32,0,1,1,167,286,7,40,20,270,1,356,1015,700,8,46,1,416,15,1,1,0,67,5,8,1,5,0,3,3,1,1,8,10,3,0,17,0,1,1,8,19,1,0,1,3,1,3,1,1,6,2,2,3,1,3,21,12,815,51,628,85,8,28,3,1,14,1,16,1,66
2013-06-01,18,586,1,365,13,534,137,166,1284,186,131,725,1200,488,92,9,31,20,450,1,1,1,93,77,8,317,7100,686,55,1,358,88,100,1,1700,1,36,0,1,1,200,358,5,36,18,270,1,278,1015,717,16,45,1,448,19,1,1,0,68,6,5,1,7,0,2,2,1,1,10,16,3,1,16,0,1,1,6,18,1,0,1,3,1,3,1,2,4,3,3,2,1,2,8,12,786,54,646,80,5,26,3,1,11,2,14,1,65
2013-07-01,20,600,1,343,16,517,116,164,1334,200,185,817,1380,313,98,9,30,19,458,1,1,1,105,86,11,317,7300,729,58,2,358,150,900,1,2400,1,34,0,1,2,200,358,6,43,24,270,1,323,1072,767,13,49,1,453,36,1,1,0,80,5,3,2,6,0,2,2,1,1,9,21,4,1,15,0,1,1,4,17,1,1,1,5,1,2,1,1,6,3,2,2,1,2,12,8,843,51,673,93,7,28,3,1,14,2,17,1,66
2013-08-01,18,643,1,336,14,609,120,145,1300,215,176,817,1340,313,100,9,36,27,493,0,1,1,115,91,8,400,7800,715,64,1,458,250,800,1,3700,1,37,1,2,1,234,458,5,45,20,277,1,489,1129,800,17,62,1,406,19,1,1,0,74,15,10,1,4,0,2,2,1,1,10,8,5,1,13,0,1,1,6,19,1,1,1,10,1,2,1,2,8,2,3,3,2,2,7,12,872,64,701,95,7,34,4,1,14,2,16,1,69
2013-09-01,21,643,1,329,20,592,94,124,1234,220,170,834,1120,288,89,7,39,19,458,0,1,1,105,82,8,334,7500,700,54,1,300,113,150,1,2300,2,36,1,3,1,234,300,5,47,21,316,1,434,1129,784,13,58,2,395,13,1,1,0,70,6,5,2,7,0,3,1,1,1,11,6,3,0,14,0,1,1,5,17,1,0,1,6,1,2,1,1,6,3,3,2,2,2,6,12,858,56,710,95,4,28,3,1,13,2,14,1,68
2013-10-01,19,643,1,322,18,592,94,129,1250,210,176,750,1120,300,78,8,33,22,472,0,1,1,102,82,8,384,7500,786,48,1,500,163,200,2,2200,1,37,0,0,1,367,500,9,45,23,316,1,334,1200,800,17,52,2,390,14,1,0,0,77,10,8,0,5,0,4,1,1,1,10,6,2,0,9,0,1,0,5,22,2,0,0,5,2,3,1,2,6,3,2,2,1,1,6,12,872,57,673,90,6,31,5,1,17,1,21,0,68
2013-11-01,20,715,1,329,19,542,98,125,1317,210,179,734,1200,263,83,7,31,21,493,0,1,0,99,92,7,400,7400,858,50,1,586,275,1200,2,2900,2,38,0,1,1,367,586,8,47,24,362,1,367,1258,834,13,68,1,379,23,0,1,0,79,7,4,0,7,1,3,2,1,1,11,5,2,1,12,0,1,0,5,18,1,0,0,4,1,3,1,2,9,2,2,3,2,2,5,16,886,57,637,103,6,33,4,1,16,2,19,1,61
2013-12-01,20,915,1,343,20,567,116,154,1284,229,207,767,1340,263,100,9,46,19,550,0,0,1,124,100,7,384,8000,729,51,1,758,675,4100,2,7400,2,49,0,1,1,434,758,9,52,21,462,0,612,1300,917,14,63,2,422,20,1,1,0,84,6,3,0,4,0,4,1,1,1,13,11,3,1,12,0,1,1,5,21,1,0,1,7,2,3,1,2,16,3,4,3,3,2,10,16,1015,71,691,124,10,45,6,1,22,2,29,2,62
2014-01-01,25,829,2,379,18,809,120,152,1317,234,197,750,1240,350,98,12,57,22,579,0,0,2,140,103,8,400,8600,758,51,3,543,263,700,3,3900,1,42,0,1,1,567,543,8,56,25,400,0,567,1358,917,15,59,1,422,14,1,1,0,88,5,3,0,5,0,4,2,0,1,14,9,2,1,10,0,0,0,7,21,2,0,0,6,2,4,1,2,15,3,4,3,3,2,9,16,1043,70,682,116,10,36,7,1,25,2,28,1,65
2014-02-01,19,843,1,393,17,742,100,143,1300,234,182,759,1120,425,100,9,53,21,543,0,1,1,131,97,7,534,8100,700,53,1,458,288,300,2,3200,2,48,0,1,1,567,458,8,60,22,408,1,423,1315,901,16,68,1,390,12,1,2,0,90,7,5,0,7,0,2,2,1,1,9,7,3,1,13,0,1,1,6,22,2,0,1,10,3,4,1,1,10,3,3,2,2,3,4,16,986,68,655,116,9,39,6,2,23,2,27,2,70
2014-03-01,25,772,1,365,23,700,98,135,1484,229,185,725,1140,363,109,10,36,22,550,0,1,2,141,97,9,384,8000,772,51,1,700,238,200,2,3200,2,50,0,2,2,467,700,7,56,20,385,1,412,1329,901,15,56,1,379,21,1,1,0,86,9,3,1,7,0,4,1,1,1,9,12,3,1,9,0,1,0,7,22,2,0,1,9,2,4,1,2,12,7,5,3,2,2,8,12,1029,62,682,116,10,34,5,1,21,3,28,2,66
2014-04-01,20,758,2,458,40,717,106,133,1384,239,194,684,1280,325,94,9,31,23,529,0,0,2,124,94,8,434,8000,672,62,0,1086,500,950,3,6200,2,46,0,2,2,634,1086,5,96,21,377,1,500,1258,884,17,59,1,379,19,1,1,0,82,6,6,1,7,0,3,2,1,1,10,6,1,1,14,0,1,1,9,20,1,0,1,5,3,4,1,3,8,6,5,3,1,3,6,16,1043,57,655,106,7,31,6,1,19,3,26,2,71
2014-05-01,20,815,1,393,20,709,120,137,1334,234,197,684,1260,325,100,9,34,22,515,0,1,1,113,87,7,350,7400,686,50,1,872,363,2050,2,6000,1,52,1,0,1,467,872,7,56,19,408,1,523,1243,834,11,62,1,390,14,1,1,0,82,7,4,1,6,0,5,3,1,1,11,8,2,1,11,0,1,1,7,18,3,0,0,6,1,4,1,2,10,2,5,4,2,2,7,12,929,65,673,118,8,35,7,1,20,1,31,2,67
2014-06-01,18,886,1,386,23,659,112,150,1384,224,194,750,1240,513,103,13,40,19,522,0,1,1,105,88,7,367,8000,658,51,2,529,150,250,1,3300,1,50,1,1,1,734,529,4,60,19,447,1,434,1272,851,14,68,2,385,12,1,2,0,82,7,9,1,6,1,3,3,1,1,12,6,3,1,16,0,2,1,9,18,2,1,0,5,2,5,1,2,10,4,5,3,2,2,8,12,972,65,655,113,10,35,7,2,23,2,22,1,66
2014-07-01,20,943,1,400,21,709,98,135,1600,243,185,775,1240,525,98,10,55,23,579,0,1,1,126,88,5,367,8200,715,59,1,572,175,200,2,3100,2,50,1,1,3,467,572,5,67,19,462,1,456,1258,884,13,68,1,358,13,1,1,0,91,15,9,1,7,1,4,3,1,1,11,6,3,1,15,0,1,1,7,23,2,0,1,8,3,4,1,2,11,5,5,4,3,3,7,12,1000,64,719,124,9,44,6,2,21,2,24,2,70
2014-08-01,25,1015,1,386,26,717,102,137,1667,267,197,817,1320,413,103,8,46,21,593,0,1,1,131,105,7,451,8800,1300,70,1,1429,375,650,2,4700,3,53,1,1,1,534,1429,5,69,22,539,1,534,1315,934,12,68,2,374,25,1,2,0,89,9,7,1,9,1,6,3,1,1,11,6,3,1,13,0,1,1,6,22,3,0,1,8,2,4,2,3,10,5,4,4,3,2,8,12,1100,68,728,129,8,44,8,1,27,2,26,2,67
2014-09-01,23,1015,1,400,34,834,88,139,1450,253,204,775,1240,313,96,7,36,21,543,0,0,1,123,92,6,417,8700,929,65,1,1343,513,5000,1,7900,2,46,1,1,1,501,1343,6,83,21,524,1,600,1386,967,13,60,1,379,17,0,1,0,79,5,6,1,7,1,4,1,0,1,14,10,3,1,9,0,1,0,6,22,2,0,0,5,1,2,1,4,9,3,4,4,3,3,9,20,1115,64,764,124,10,37,9,1,20,2,25,2,75
2014-10-01,20,1015,1,336,25,775,91,137,1467,243,194,667,1200,313,92,9,42,24,550,0,0,1,117,88,4,367,7900,772,68,1,515,138,500,1,3700,2,48,1,1,1,734,515,4,69,22,562,1,578,1343,934,10,70,1,353,13,1,2,0,77,4,5,0,7,1,5,4,0,1,16,3,3,1,9,0,0,0,6,20,2,0,1,7,2,3,1,3,10,3,4,3,2,3,8,20,986,71,755,116,10,37,8,1,18,2,23,3,82
2014-11-01,20,1129,1,343,22,717,100,135,1384,243,200,659,1160,425,105,8,47,22,529,0,1,1,115,91,6,567,8200,943,74,1,743,138,250,1,3100,3,50,0,1,2,467,743,7,60,20,608,0,467,1329,934,11,63,1,348,10,1,2,0,82,5,2,0,8,1,4,4,0,1,13,5,3,0,11,0,1,0,7,22,1,0,1,9,2,3,1,2,13,3,5,1,2,1,7,16,1000,68,710,118,12,38,8,1,19,3,21,2,73
2014-12-01,19,1272,2,379,24,709,99,150,1450,258,207,659,1240,513,105,9,46,25,543,0,0,2,109,88,6,400,8000,786,83,1,515,163,200,2,3300,2,48,0,1,0,501,515,6,76,20,700,1,478,1343,984,15,75,1,364,9,1,1,0,76,7,3,1,8,0,3,3,1,0,16,6,4,0,10,0,1,0,6,20,1,0,1,10,2,4,1,2,10,4,5,2,2,3,15,16,972,70,773,131,11,44,8,1,22,2,26,2,73
2015-01-01,23,1143,1,358,24,750,103,145,1450,258,194,675,1260,513,98,11,48,22,529,0,1,1,115,92,8,451,8600,758,84,1,1186,238,200,1,3700,2,47,0,1,1,467,1186,7,85,19,616,2,645,1343,984,14,72,1,348,17,1,1,0,79,5,5,1,11,1,4,2,1,1,12,7,4,0,10,1,1,0,8,24,2,1,1,8,3,3,1,2,12,3,5,1,2,5,11,16,1072,70,746,134,10,42,9,1,23,2,24,2,72
2015-02-01,20,1186,1,358,20,709,100,149,1317,239,185,600,1200,425,100,10,39,23,500,0,1,2,105,85,6,484,8100,815,54,1,1086,363,2600,2,5500,1,39,1,1,1,501,1086,6,78,15,647,2,634,1300,984,13,65,2,353,17,1,1,0,71,5,5,2,9,1,4,1,0,1,14,7,6,0,11,0,1,1,9,21,1,1,1,6,2,3,1,2,9,1,3,2,2,2,12,20,1029,70,719,121,10,40,11,1,20,2,23,2,61
2015-03-01,19,1158,1,358,23,650,96,137,1450,262,246,634,1180,438,98,9,42,26,500,0,1,1,100,81,7,451,8000,843,58,1,686,388,950,1,5800,2,39,1,1,1,534,686,5,85,16,631,1,600,1372,951,14,79,2,358,14,1,1,0,70,5,17,1,8,1,5,2,2,1,11,7,5,0,11,0,1,1,8,19,2,1,0,7,4,2,1,4,8,2,5,2,2,2,10,20,986,71,710,131,9,41,10,1,24,2,26,2,71
2015-04-01,18,1200,1,336,21,709,91,131,1567,267,225,592,1200,463,114,12,36,27,500,0,1,2,96,83,7,417,7800,958,55,1,843,213,350,1,3500,3,40,0,1,1,400,843,5,92,17,654,3,478,1343,951,16,80,2,332,11,1,1,0,70,7,12,1,8,1,3,3,2,1,14,9,5,0,13,0,1,1,6,19,2,0,0,8,4,4,1,2,9,3,3,2,2,3,7,24,972,94,737,129,12,37,9,1,22,2,27,5,79
2015-05-01,19,1243,0,350,24,650,100,139,1600,262,213,567,1180,500,112,10,32,29,500,0,1,1,109,83,7,417,7600,686,48,1,600,225,300,2,3100,3,40,0,1,1,434,600,5,100,15,677,2,567,1386,984,12,78,1,337,11,0,1,0,74,8,8,1,8,1,4,3,0,0,13,6,6,1,10,0,2,0,9,24,3,0,1,10,2,6,2,2,7,2,4,2,2,3,8,16,958,77,701,142,11,40,11,1,25,2,27,4,82
