date,deactivate facebook account temporarily,deactivate facebook what happens,deactivate my facebook account,delete fb,delete my account,delete my facebook account now,delete my facebook account right now,delete my fb account from mobile,delete my fb account right now,delete your account page,facebook account deactivated or deleted,facebook account delete option,facebook deactivated my account,how do i deactivate my facebook account,how do i delete my facebook account 2015,how do i reactivate my facebook account,how do you delete a facebook account permanently,how to close facebook account permanently,how to deactivate facebook account in mobile,how to deactivate facebook account permanently,how to deactivate facebook account temporarily,how to deactivate fb account temporarily,how to deactivate messenger account without facebook,how to delete a facebook account,how to delete a facebook profile,how to delete facebook account forever,how to delete facebook account on android,how to delete facebook account permanently immediately video,how to delete facebook account permanently immediately,how to delete facebook account permanently without password and email,how to delete facebook account permanently without waiting 14 days,how to delete facebook account permanently,how to delete facebook account without password and email,how to delete facebook account without password,how to delete facebook page on mobile,how to delete facebook page permanently,how to delete fb account immediately,how to delete fb account permanently and immediately,how to delete fb account permanently from mobile,how to delete old facebook account without password or email,how to open my old facebook account,how to permanently delete facebook account forever,how to permanently delete facebook account immediately,how to permanently delete facebook account in one day,how to reactivate a deleted facebook account,how to reactivate facebook,i want to delete my facebook account now,if i deactivate facebook can i still use messenger,what happens when you deactivate facebook
2012-08-01,6,11,32,109,389,2,0,0,0,3,0,1,7,6,0,1,1,3,1,9,4,1,0,87,16,5,2,0,2,0,0,41,0,3,1,3,0,0,0,0,0,1,1,0,0,20,0,0,5
2012-09-01,8,9,33,123,367,1,0,0,0,3,0,1,6,8,0,2,1,3,0,6,4,1,0,74,13,3,1,0,1,0,0,38,0,2,1,2,0,0,0,0,0,0,1,0,1,18,0,0,5
2012-10-01,6,8,37,123,356,2,0,0,0,3,0,0,5,13,0,1,1,2,0,6,4,1,0,60,8,5,1,0,1,0,0,36,0,2,1,2,0,0,0,0,0,1,1,0,0,17,1,0,5
2012-11-01,6,8,32,112,345,1,0,0,0,2,0,0,5,10,0,1,1,2,1,5,3,0,0,74,8,4,1,0,2,0,0,35,0,2,0,2,0,0,0,0,0,1,2,0,0,14,0,0,5
2012-12-01,8,10,29,128,389,1,0,0,0,2,0,0,5,6,0,2,1,4,0,6,5,1,0,79,7,7,1,0,3,0,0,39,0,2,1,3,0,0,0,0,0,1,3,0,0,14,0,0,5
2013-01-01,5,12,29,123,400,2,0,0,0,3,0,0,6,6,0,2,1,2,1,6,3,0,0,71,7,2,1,0,1,0,0,35,0,2,0,2,0,0,0,0,0,1,1,0,0,14,0,0,6
2013-02-01,7,11,38,120,406,2,0,0,0,3,0,0,5,14,0,1,0,2,0,4,4,0,0,65,6,2,1,0,2,0,0,35,0,2,1,2,0,0,0,0,0,0,2,0,0,13,1,0,5
2013-03-01,7,9,32,120,395,1,0,0,0,4,0,0,6,10,0,1,1,2,1,6,4,1,0,70,7,3,1,0,2,0,0,33,0,2,0,3,0,0,0,0,0,1,2,0,0,13,0,0,4
2013-04-01,7,9,27,123,373,2,0,0,0,3,0,1,6,5,0,1,1,2,0,6,5,1,0,73,6,4,1,0,2,0,0,35,0,2,1,3,0,0,0,0,0,1,2,0,0,12,0,0,5
2013-05-01,8,10,30,112,373,1,0,0,0,3,0,0,4,6,0,1,0,3,0,9,4,0,0,56,5,2,1,0,3,0,0,38,0,2,1,2,0,0,0,0,0,1,4,0,0,12,1,0,4
2013-06-01,7,11,31,112,406,2,0,0,0,3,0,1,4,8,0,2,0,2,1,6,4,1,0,60,5,2,1,0,2,0,0,37,1,3,1,2,0,0,0,0,1,0,2,1,0,14,0,0,5
2013-07-01,6,12,34,117,439,1,0,0,0,4,0,1,5,14,0,1,1,2,1,6,3,1,0,72,5,2,1,1,1,0,1,39,0,2,1,3,0,0,0,0,0,0,1,0,0,16,0,0,5
2013-08-01,7,10,32,117,445,1,0,0,0,3,0,0,5,8,0,1,1,2,0,7,5,1,0,71,6,6,1,0,4,0,0,40,0,2,1,2,0,0,0,0,0,1,4,0,0,16,0,0,5
2013-09-01,5,10,29,117,412,2,0,0,0,3,0,1,5,5,0,2,0,3,0,7,4,0,0,50,5,2,1,0,2,0,1,47,0,3,1,3,0,0,0,0,0,1,2,0,0,12,0,0,5
2013-10-01,7,11,24,123,389,1,0,0,0,3,0,0,6,5,0,1,0,4,0,6,5,1,0,52,5,4,1,0,3,0,0,39,0,2,0,1,0,0,0,0,0,1,2,0,0,13,1,0,4
2013-11-01,6,10,28,112,400,0,0,0,0,3,0,1,5,9,0,1,1,2,0,5,4,0,0,60,4,3,1,0,2,0,0,29,0,3,1,2,0,0,0,0,0,0,1,0,0,14,0,0,5
2013-12-01,6,12,28,128,434,1,0,0,0,3,1,1,6,8,0,1,1,2,0,6,4,0,0,71,6,2,1,0,1,0,0,33,0,1,1,2,0,0,0,0,0,1,1,0,0,12,0,0,5
2014-01-01,7,14,29,131,462,1,0,0,0,3,0,0,6,6,0,1,1,2,0,7,5,0,0,62,6,2,1,1,1,0,0,38,0,2,1,2,0,0,0,0,0,0,1,0,0,14,1,0,5
2014-02-01,5,13,28,134,434,2,0,0,0,3,0,1,5,5,0,1,1,2,0,7,3,0,0,51,4,3,1,0,2,0,0,48,1,3,1,2,0,0,0,0,0,0,2,0,0,13,0,0,5
2014-03-01,6,11,31,123,439,2,0,0,0,3,0,1,6,8,0,1,1,2,0,6,3,0,0,50,5,4,1,0,1,0,0,33,0,3,1,2,0,0,0,0,0,0,2,0,0,12,0,0,5
2014-04-01,5,11,30,131,428,1,0,0,0,3,0,0,4,7,0,1,0,1,0,5,3,1,0,60,5,2,1,0,2,0,0,33,0,3,1,1,0,0,0,0,0,0,2,0,0,11,0,0,5
2014-05-01,5,12,27,148,423,1,0,0,0,3,0,1,5,5,0,1,0,2,0,6,3,0,0,62,5,3,1,0,1,0,1,34,0,2,1,2,0,0,0,0,0,0,2,0,0,14,0,0,5
2014-06-01,5,10,28,153,445,3,0,0,0,3,0,1,5,5,0,1,0,1,1,8,3,0,0,56,5,3,1,0,3,0,0,47,0,2,2,2,0,0,0,0,0,0,3,0,0,13,1,0,5
2014-07-01,6,11,26,153,456,2,0,0,0,2,0,1,6,5,0,2,1,2,0,6,3,1,0,57,5,6,0,0,3,0,0,42,0,3,1,3,0,0,0,0,1,0,3,0,0,15,1,0,5
2014-08-01,6,14,31,167,478,2,0,0,0,3,1,1,6,10,0,1,1,3,0,7,4,0,0,62,5,4,1,0,3,0,0,41,0,3,2,2,0,0,0,0,0,1,3,1,0,18,0,0,6
2014-09-01,4,10,27,148,450,2,0,0,0,3,0,0,5,7,0,1,0,2,0,5,2,0,0,60,5,2,2,0,2,0,0,34,1,3,2,1,0,0,0,0,1,0,2,0,0,13,1,1,5
2014-10-01,5,11,26,139,417,3,0,0,0,1,0,0,5,5,0,1,1,2,0,7,3,0,0,54,4,2,1,0,2,0,0,33,0,3,1,1,0,0,0,0,0,0,2,0,0,12,1,1,5
2014-11-01,4,11,23,139,412,2,0,0,0,2,0,1,4,4,0,1,1,2,0,6,2,1,0,54,5,2,1,0,1,0,0,31,1,3,1,1,0,0,0,0,0,0,1,0,0,14,1,1,4
2014-12-01,4,11,25,148,439,2,0,0,0,2,0,0,5,4,0,1,1,2,0,5,2,0,0,58,5,3,2,0,1,0,0,32,0,3,0,2,0,0,0,0,0,0,1,0,0,13,0,0,5
2015-01-01,4,12,27,148,456,3,0,0,0,3,0,0,6,7,0,1,0,2,0,5,3,0,0,60,5,2,1,0,2,0,0,35,1,4,0,2,0,0,0,0,1,0,2,0,0,14,1,1,6
2015-02-01,4,10,26,153,428,2,0,0,0,2,0,1,4,7,0,1,1,2,1,5,2,0,0,60,5,2,1,0,2,0,1,31,1,3,1,1,1,0,0,0,0,0,2,0,0,12,0,1,5
2015-03-01,6,10,24,145,406,2,0,0,0,3,0,0,5,5,0,1,0,2,0,7,3,0,0,58,5,2,1,0,7,0,0,35,1,3,1,2,1,0,0,0,0,0,6,0,0,12,1,1,4
2015-04-01,4,10,22,156,412,2,0,0,0,3,0,0,5,4,0,1,0,2,1,6,2,0,0,66,5,3,1,0,5,0,0,37,0,3,0,3,1,0,0,0,1,0,5,0,0,13,0,1,5
2015-05-01,4,11,24,164,400,2,0,0,0,3,0,1,5,4,1,1,0,3,1,6,2,1,0,51,5,3,1,0,3,1,0,45,1,3,1,3,1,0,0,0,0,0,3,0,0,12,0,1,4
2015-06-01,3,9,26,181,445,2,0,0,0,3,0,1,6,8,0,1,1,2,1,5,2,1,0,51,5,2,1,0,3,0,0,39,0,3,1,2,1,0,0,0,0,1,3,0,0,14,1,1,5
2015-07-01,4,12,30,178,473,2,0,0,0,3,0,1,6,10,0,1,1,2,1,5,3,0,0,64,6,3,2,0,3,0,0,33,0,4,1,2,1,0,0,0,1,1,3,0,0,13,1,1,4
2015-08-01,4,11,26,178,500,2,0,0,0,3,1,1,6,4,1,1,1,2,1,5,3,1,0,72,5,3,2,0,3,0,0,39,1,3,1,2,1,0,0,0,1,1,3,0,0,14,0,1,4
2015-09-01,4,10,24,181,456,2,0,0,0,4,1,1,6,5,1,1,0,2,2,5,2,0,0,56,5,3,2,0,3,1,0,48,1,3,1,2,0,0,0,0,1,0,3,0,0,13,0,1,5
2015-10-01,4,10,19,167,428,2,0,0,0,4,0,0,6,4,1,1,0,2,1,4,2,1,0,46,5,3,1,0,4,0,0,36,0,2,1,2,0,0,0,0,1,1,3,0,0,13,0,1,4
2015-11-01,4,10,27,167,406,2,0,0,0,4,0,1,6,9,0,2,1,1,0,4,2,0,0,44,5,3,1,0,3,0,0,29,0,3,1,2,0,0,0,0,1,1,3,0,0,13,0,1,4
2015-12-01,4,8,31,170,439,2,0,0,0,3,0,1,6,10,0,1,1,1,1,4,2,1,0,49,5,3,2,0,4,0,0,33,0,3,0,2,0,0,0,0,0,0,4,0,0,13,0,1,4
2016-01-01,5,12,28,178,467,2,0,0,0,4,1,1,6,8,0,1,1,2,1,3,3,1,0,65,6,3,1,0,3,0,1,36,0,3,1,2,1,0,0,0,1,0,3,0,0,13,1,1,5
2016-02-01,5,13,25,178,434,2,0,0,0,4,0,1,6,4,0,1,0,1,0,5,3,1,0,59,5,3,0,0,2,0,0,44,0,3,1,2,1,1,0,0,1,0,2,0,0,12,0,1,5
2016-03-01,4,8,21,195,423,2,0,0,0,5,0,1,6,4,0,1,0,1,0,4,3,1,0,48,6,3,1,0,3,0,0,41,0,4,1,3,1,1,1,1,1,1,3,0,0,14,1,1,4
2016-04-01,4,11,28,203,428,3,1,0,0,6,1,1,6,6,0,1,1,1,1,3,2,1,0,52,6,3,1,0,3,0,0,36,1,3,1,2,1,0,0,0,0,1,3,0,0,14,1,2,6
2016-05-01,4,10,31,198,439,3,0,0,0,7,0,1,7,9,0,1,1,2,0,3,2,1,0,51,6,3,2,0,3,0,0,32,1,3,1,2,1,0,1,0,1,0,2,0,0,14,1,2,4
2016-06-01,6,15,28,214,506,2,0,0,0,6,0,1,6,7,0,2,0,2,0,4,4,1,0,70,6,3,2,0,4,0,0,34,1,4,1,2,0,0,0,0,1,1,3,0,0,14,0,1,6
2016-07-01,6,15,28,239,539,3,0,0,0,6,0,1,7,6,0,1,1,2,1,6,4,1,0,70,6,3,2,0,4,1,1,48,1,4,1,3,1,0,1,0,1,0,4,0,0,13,0,2,5
2016-08-01,4,15,24,250,500,2,1,0,0,7,0,1,8,5,0,1,1,2,1,6,2,1,0,56,7,3,3,0,3,0,1,62,0,4,1,3,0,0,0,0,1,0,3,0,0,14,0,1,7
2016-09-01,5,14,26,228,495,3,1,0,0,4,0,2,7,8,0,1,0,2,1,4,3,1,0,56,5,3,3,0,4,0,0,42,1,4,1,2,1,0,0,0,0,1,4,0,0,13,0,2,5
2016-10-01,5,14,33,212,489,6,3,0,0,6,0,1,7,10,0,1,2,2,1,4,3,1,0,56,5,2,2,0,3,0,2,39,1,4,1,2,0,0,0,0,1,0,3,0,0,14,0,2,5
2016-11-01,10,14,32,220,506,6,5,0,2,9,0,1,7,7,0,1,1,2,1,7,7,0,1,68,6,2,3,0,2,0,3,45,1,4,1,2,0,0,0,0,2,0,2,0,0,14,0,2,7
2016-12-01,5,14,28,273,528,8,5,1,1,10,0,1,7,4,0,2,1,2,1,6,3,1,1,59,7,2,3,0,2,0,3,84,1,4,1,3,1,0,2,0,1,0,1,0,0,14,0,2,5
2017-01-01,6,14,32,278,556,8,5,1,1,9,1,1,8,7,0,2,1,3,2,6,3,1,1,64,7,3,2,0,2,0,4,79,1,6,1,4,1,0,4,0,2,1,2,0,1,15,1,2,6
