date,add on anonymox for chrome,anonymous browsing chrome,anonymous for chrome,anonymox apk,anonymox for android uc browser,anonymox for android,anonymox for chrome android,anonymox opera,anonymox pengaya untuk firefox,best anonymous browser,best privacy browser,browsec for firefox,browsec for safari,browsec vpn android,does my internet provider know what websites i visit,download tor browser for android,epic privacy browser,how to go incognito on chromebook,how to go incognito on iphone,how to go incognito on mac chrome,how to go incognito on mac,incognito login,incognito mode android history,incognito safari ipad,online proxy browser,orwall android,orweb android,private browsing safari iphone,safari incognito iphone,Row Total
2/1/15,23,59,144,33,8,172,26,103,15,41,105,225,13,8,23,49,193,8,26,8,55,121,8,119,430,8,145,195,70,2433
3/1/15,19,45,102,47,7,212,23,94,7,61,94,307,23,7,7,47,224,9,16,14,59,121,14,81,430,7,118,165,73,2433
4/1/15,17,41,98,38,7,212,38,123,14,53,128,314,19,21,7,77,258,10,12,11,46,136,18,84,353,7,130,160,58,2490
5/1/15,12,40,82,35,14,184,26,87,9,40,97,276,26,11,7,64,235,7,14,7,69,90,24,110,336,7,118,185,61,2273
6/1/15,12,48,74,38,7,212,38,84,7,50,109,163,18,9,11,74,262,7,33,10,85,121,12,100,412,7,112,200,64,2379
7/1/15,25,52,104,45,7,272,35,116,7,68,91,276,11,16,7,78,250,14,19,7,79,111,19,89,395,11,98,170,73,2545
8/1/15,23,54,100,33,9,272,54,126,14,100,122,325,26,16,7,86,358,10,44,14,80,111,16,110,412,21,127,170,82,2922
9/1/15,11,43,108,32,10,400,59,87,10,63,128,314,23,7,7,82,247,10,27,10,80,167,18,137,365,11,136,180,79,2851
10/1/15,17,61,124,46,22,316,46,115,12,69,127,280,46,17,13,85,293,17,50,7,73,188,16,109,359,9,103,180,98,2898
11/1/15,27,42,130,36,10,284,67,114,13,71,156,249,33,22,7,91,262,18,31,7,55,167,13,82,483,7,114,195,56,2842
12/1/15,20,36,138,38,7,352,79,99,7,49,115,256,25,27,9,86,266,16,63,10,78,185,23,97,395,20,150,205,86,2937
1/1/16,23,47,100,51,13,372,64,128,10,68,114,242,21,40,13,58,297,15,45,13,90,167,13,68,459,13,135,185,74,2938
2/1/16,8,59,126,46,13,368,47,134,13,51,123,307,21,36,9,97,312,32,27,6,56,198,13,50,306,19,72,185,89,2823
3/1/16,12,49,120,63,10,316,51,98,6,55,135,345,12,33,12,64,281,49,49,9,96,175,24,51,348,10,126,140,53,2792
4/1/16,12,39,112,57,23,312,33,60,6,68,130,183,29,39,9,72,350,53,43,15,98,177,14,68,353,12,108,200,72,2747
5/1/16,6,34,132,48,15,252,36,98,12,38,100,180,16,32,16,48,289,38,40,12,119,195,20,81,342,9,93,175,88,2564
6/1/16,14,27,128,47,8,236,45,107,6,66,114,197,21,43,14,36,235,31,43,6,103,198,18,60,324,6,99,155,58,2445
7/1/16,19,50,136,35,19,256,37,94,9,58,133,256,6,43,12,71,277,12,35,6,88,206,19,61,377,21,115,170,85,2706
8/1/16,16,34,154,53,26,336,51,102,26,57,137,290,18,34,9,87,316,18,55,6,125,211,28,58,412,20,98,180,61,3018
9/1/16,15,34,200,60,24,248,30,111,14,46,123,187,26,34,6,81,331,40,58,12,120,206,28,71,348,24,81,185,99,2842
10/1/16,17,34,160,55,6,188,23,98,9,44,117,232,25,42,23,102,335,59,59,20,126,254,23,63,383,21,84,200,74,2876
11/1/16,19,27,142,48,12,192,29,100,29,50,158,232,25,50,8,77,385,69,36,13,143,177,21,41,330,21,66,185,88,2773
12/1/16,12,42,148,42,11,196,23,114,19,44,148,235,12,48,14,79,274,88,61,31,90,216,33,46,383,15,80,180,90,2774
1/1/17,22,35,170,42,11,200,44,134,16,65,164,183,9,31,8,78,308,45,71,16,109,257,22,64,318,16,89,215,69,2811
