date,deactivate facebook account temporarily,deactivate my facebook account,delete fb,delete my account,delete my facebook account now,delete my facebook account right now,delete my fb account from mobile,delete my fb account right now,delete your account page,facebook account deactivated or deleted,facebook account delete option,facebook deactivated my account,how do i deactivate my facebook account,how do i delete my facebook account 2015,how do i reactivate my facebook account,how to close facebook account permanently,how to deactivate facebook account in mobile,how to deactivate facebook account permanently,how to deactivate facebook account temporarily,how to deactivate fb account temporarily,how to deactivate messenger account without facebook,how to delete a facebook account,how to delete a facebook profile,how to delete facebook account forever,how to delete facebook account on android,how to delete facebook account permanently immediately video,how to delete facebook account permanently immediately,how to delete facebook account permanently without password and email,how to delete facebook account permanently without waiting 14 days,how to delete facebook account permanently,how to delete facebook account without password and email,how to delete facebook account without password,how to delete facebook page on mobile,how to delete facebook page permanently,how to delete fb account immediately,how to delete fb account permanently and immediately,how to delete fb account permanently from mobile,how to permanently delete facebook account forever,how to permanently delete facebook account immediately,how to permanently delete facebook account in one day,how to reactivate a deleted facebook account,how to reactivate facebook,i want to delete my facebook account now,if i deactivate facebook can i still use messenger,what happens when you deactivate facebook,Row Total
5/1/13,8,30,112,373,1,0,0,0,3,0,0,4,6,0,1,3,0,9,4,0,0,56,5,2,1,0,3,0,0,38,0,2,1,2,0,0,0,1,4,0,0,12,1,0,4,686
6/1/13,7,31,112,406,2,0,0,0,3,0,1,4,8,0,2,2,1,6,4,1,0,60,5,2,1,0,2,0,0,37,1,3,1,2,0,0,0,0,2,1,0,14,0,0,5,726
7/1/13,6,34,117,439,1,0,0,0,4,0,1,5,14,0,1,2,1,6,3,1,0,72,5,2,1,1,1,0,1,39,0,2,1,3,0,0,0,0,1,0,0,16,0,0,5,785
8/1/13,7,32,117,445,1,0,0,0,3,0,0,5,8,0,1,2,0,7,5,1,0,71,6,6,1,0,4,0,0,40,0,2,1,2,0,0,0,1,4,0,0,16,0,0,5,793
9/1/13,5,29,117,412,2,0,0,0,3,0,1,5,5,0,2,3,0,7,4,0,0,50,5,2,1,0,2,0,1,47,0,3,1,3,0,0,0,1,2,0,0,12,0,0,5,730
10/1/13,7,24,123,389,1,0,0,0,3,0,0,6,5,0,1,4,0,6,5,1,0,52,5,4,1,0,3,0,0,39,0,2,0,1,0,0,0,1,2,0,0,13,1,0,4,703
11/1/13,6,28,112,400,0,0,0,0,3,0,1,5,9,0,1,2,0,5,4,0,0,60,4,3,1,0,2,0,0,29,0,3,1,2,0,0,0,0,1,0,0,14,0,0,5,701
12/1/13,6,28,128,434,1,0,0,0,3,1,1,6,8,0,1,2,0,6,4,0,0,71,6,2,1,0,1,0,0,33,0,1,1,2,0,0,0,1,1,0,0,12,0,0,5,766
1/1/14,7,29,131,462,1,0,0,0,3,0,0,6,6,0,1,2,0,7,5,0,0,62,6,2,1,1,1,0,0,38,0,2,1,2,0,0,0,0,1,0,0,14,1,0,5,797
2/1/14,5,28,134,434,2,0,0,0,3,0,1,5,5,0,1,2,0,7,3,0,0,51,4,3,1,0,2,0,0,48,1,3,1,2,0,0,0,0,2,0,0,13,0,0,5,766
3/1/14,6,31,123,439,2,0,0,0,3,0,1,6,8,0,1,2,0,6,3,0,0,50,5,4,1,0,1,0,0,33,0,3,1,2,0,0,0,0,2,0,0,12,0,0,5,750
4/1/14,5,30,131,428,1,0,0,0,3,0,0,4,7,0,1,1,0,5,3,1,0,60,5,2,1,0,2,0,0,33,0,3,1,1,0,0,0,0,2,0,0,11,0,0,5,746
5/1/14,5,27,148,423,1,0,0,0,3,0,1,5,5,0,1,2,0,6,3,0,0,62,5,3,1,0,1,0,1,34,0,2,1,2,0,0,0,0,2,0,0,14,0,0,5,763
6/1/14,5,28,153,445,3,0,0,0,3,0,1,5,5,0,1,1,1,8,3,0,0,56,5,3,1,0,3,0,0,47,0,2,2,2,0,0,0,0,3,0,0,13,1,0,5,805
7/1/14,6,26,153,456,2,0,0,0,2,0,1,6,5,0,2,2,0,6,3,1,0,57,5,6,0,0,3,0,0,42,0,3,1,3,0,0,0,0,3,0,0,15,1,0,5,815
8/1/14,6,31,167,478,2,0,0,0,3,1,1,6,10,0,1,3,0,7,4,0,0,62,5,4,1,0,3,0,0,41,0,3,2,2,0,0,0,1,3,1,0,18,0,0,6,872
9/1/14,4,27,148,450,2,0,0,0,3,0,0,5,7,0,1,2,0,5,2,0,0,60,5,2,2,0,2,0,0,34,1,3,2,1,0,0,0,0,2,0,0,13,1,1,5,790
10/1/14,5,26,139,417,3,0,0,0,1,0,0,5,5,0,1,2,0,7,3,0,0,54,4,2,1,0,2,0,0,33,0,3,1,1,0,0,0,0,2,0,0,12,1,1,5,736
11/1/14,4,23,139,412,2,0,0,0,2,0,1,4,4,0,1,2,0,6,2,1,0,54,5,2,1,0,1,0,0,31,1,3,1,1,0,0,0,0,1,0,0,14,1,1,4,724
12/1/14,4,25,148,439,2,0,0,0,2,0,0,5,4,0,1,2,0,5,2,0,0,58,5,3,2,0,1,0,0,32,0,3,0,2,0,0,0,0,1,0,0,13,0,0,5,764
1/1/15,4,27,148,456,3,0,0,0,3,0,0,6,7,0,1,2,0,5,3,0,0,60,5,2,1,0,2,0,0,35,1,4,0,2,0,0,0,0,2,0,0,14,1,1,6,801
2/1/15,4,26,153,428,2,0,0,0,2,0,1,4,7,0,1,2,1,5,2,0,0,60,5,2,1,0,2,0,1,31,1,3,1,1,1,0,0,0,2,0,0,12,0,1,5,767
3/1/15,6,24,145,406,2,0,0,0,3,0,0,5,5,0,1,2,0,7,3,0,0,58,5,2,1,0,7,0,0,35,1,3,1,2,1,0,0,0,6,0,0,12,1,1,4,749
4/1/15,4,22,156,412,2,0,0,0,3,0,0,5,4,0,1,2,1,6,2,0,0,66,5,3,1,0,5,0,0,37,0,3,0,3,1,0,0,0,5,0,0,13,0,1,5,768
5/1/15,4,24,164,400,2,0,0,0,3,0,1,5,4,1,1,3,1,6,2,1,0,51,5,3,1,0,3,1,0,45,1,3,1,3,1,0,0,0,3,0,0,12,0,1,4,760
6/1/15,3,26,181,445,2,0,0,0,3,0,1,6,8,0,1,2,1,5,2,1,0,51,5,2,1,0,3,0,0,39,0,3,1,2,1,0,0,1,3,0,0,14,1,1,5,820
7/1/15,4,30,178,473,2,0,0,0,3,0,1,6,10,0,1,2,1,5,3,0,0,64,6,3,2,0,3,0,0,33,0,4,1,2,1,0,0,1,3,0,0,13,1,1,4,861
8/1/15,4,26,178,500,2,0,0,0,3,1,1,6,4,1,1,2,1,5,3,1,0,72,5,3,2,0,3,0,0,39,1,3,1,2,1,0,0,1,3,0,0,14,0,1,4,894
9/1/15,4,24,181,456,2,0,0,0,4,1,1,6,5,1,1,2,2,5,2,0,0,56,5,3,2,0,3,1,0,48,1,3,1,2,0,0,0,0,3,0,0,13,0,1,5,844
10/1/15,4,19,167,428,2,0,0,0,4,0,0,6,4,1,1,2,1,4,2,1,0,46,5,3,1,0,4,0,0,36,0,2,1,2,0,0,0,1,3,0,0,13,0,1,4,768
11/1/15,4,27,167,406,2,0,0,0,4,0,1,6,9,0,2,1,0,4,2,0,0,44,5,3,1,0,3,0,0,29,0,3,1,2,0,0,0,1,3,0,0,13,0,1,4,748
12/1/15,4,31,170,439,2,0,0,0,3,0,1,6,10,0,1,1,1,4,2,1,0,49,5,3,2,0,4,0,0,33,0,3,0,2,0,0,0,0,4,0,0,13,0,1,4,799
1/1/16,5,28,178,467,2,0,0,0,4,1,1,6,8,0,1,2,1,3,3,1,0,65,6,3,1,0,3,0,1,36,0,3,1,2,1,0,0,0,3,0,0,13,1,1,5,856
2/1/16,5,25,178,434,2,0,0,0,4,0,1,6,4,0,1,1,0,5,3,1,0,59,5,3,0,0,2,0,0,44,0,3,1,2,1,1,0,0,2,0,0,12,0,1,5,811
3/1/16,4,21,195,423,2,0,0,0,5,0,1,6,4,0,1,1,0,4,3,1,0,48,6,3,1,0,3,0,0,41,0,4,1,3,1,1,1,1,3,0,0,14,1,1,4,808
4/1/16,4,28,203,428,3,1,0,0,6,1,1,6,6,0,1,1,1,3,2,1,0,52,6,3,1,0,3,0,0,36,1,3,1,2,1,0,0,1,3,0,0,14,1,2,6,832
5/1/16,4,31,198,439,3,0,0,0,7,0,1,7,9,0,1,2,0,3,2,1,0,51,6,3,2,0,3,0,0,32,1,3,1,2,1,0,1,0,2,0,0,14,1,2,4,837
6/1/16,6,28,214,506,2,0,0,0,6,0,1,6,7,0,2,2,0,4,4,1,0,70,6,3,2,0,4,0,0,34,1,4,1,2,0,0,0,1,3,0,0,14,0,1,6,941
7/1/16,6,28,239,539,3,0,0,0,6,0,1,7,6,0,1,2,1,6,4,1,0,70,6,3,2,0,4,1,1,48,1,4,1,3,1,0,1,0,4,0,0,13,0,2,5,1020
8/1/16,4,24,250,500,2,1,0,0,7,0,1,8,5,0,1,2,1,6,2,1,0,56,7,3,3,0,3,0,1,62,0,4,1,3,0,0,0,0,3,0,0,14,0,1,7,983
9/1/16,5,26,228,495,3,1,0,0,4,0,2,7,8,0,1,2,1,4,3,1,0,56,5,3,3,0,4,0,0,42,1,4,1,2,1,0,0,1,4,0,0,13,0,2,5,938
10/1/16,5,33,212,489,6,3,0,0,6,0,1,7,10,0,1,2,1,4,3,1,0,56,5,2,2,0,3,0,2,39,1,4,1,2,0,0,0,0,3,0,0,14,0,2,5,925
11/1/16,10,32,220,506,6,5,0,2,9,0,1,7,7,0,1,2,1,7,7,0,1,68,6,2,3,0,2,0,3,45,1,4,1,2,0,0,0,0,2,0,0,14,0,2,7,986
12/1/16,5,28,273,528,8,5,1,1,10,0,1,7,4,0,2,2,1,6,3,1,1,59,7,2,3,0,2,0,3,84,1,4,1,3,1,0,2,0,1,0,0,14,0,2,5,1081
1/1/17,6,32,278,556,8,5,1,1,9,1,1,8,7,0,2,3,2,6,3,1,1,64,7,3,2,0,2,0,4,79,1,6,1,4,1,0,4,1,2,0,1,15,1,2,6,1137
