date,account settings twitter,add twitter feed to website,create twitter account mobile,create twitter account with same email,create twitter account without phone number,deactivate twitter account,deactivate twitter link,deactivate twitter on mobile,deactivate twitter,delete all tweets free,delete all tweets permanently,delete instagram account permanently link,delete retweets,delete tweets free,delete twitter likes,delete your account page,desktop twitter,download twitter for mobile nokia,download twitter for samsung,download twitter messenger,facebook follow button,facebook widget for blogger,facebook widget,forgot instagram password,how to change real name on twitter,how to change twitch username,how to change twitter name not username,how to change twitter name,how to change twitter username on android,how to change your username on snapchat,how to deactivate instagram on iphone,how to deactivate instagram,how to deactivate snapchat,how to deactivate twitter on mobile,how to delete a twitter account,how to delete tweets,how to delete twitter account 2016,how to reactivate instagram,how to reactivate twitter,i reactivated my twitter where are my followers,instagram delete account page,instagram deleted my account,instagram widget for blogger,instagram widget,trending on twitter india,tweet eraser,tweet wipe,twitter account create,twitter account creator,twitter account login,twitter account settings,twitter advanced search mobile,twitter app for android free download apk,twitter archive eraser,twitter create account facebook,twitter create account mobile,twitter desktop,twitter download for blackberry,twitter download for pc,twitter download for windows 7,twitter download video,twitter followers and following disappeared,twitter full site login,twitter handle generator,twitter history timeline,twitter home page,twitter inc vijaya gadde,twitter registration,twitter search engine,twitter search friends,twitter search history,twitter search people finder,twitter search people,twitter search video,twitter sign up with facebook,twitter sign up,twitter timeline not showing all tweets,twitter timeline not updating,twitter timeline settings,twitter timeline widget,twitter trending hashtags,twitter trending philippines,twitter trending topics list,twitter trending uk,twitter trending us,twitter trending,twitter username generator,twitter web,twitter widget for blogger,twtr earnings,twtr news,web twitter,what is a twitter feed,what is a twitter handle,whats trending on twitter right now,where is account settings on twitter,Row Total
11/1/11,34,11,2,1,0,25,1,1,60,1,1,0,2,1,1,5,284,10,14,28,52,9,415,2,1,0,1,72,1,0,0,0,0,1,34,45,0,1,8,1,0,0,1,6,1,3,3,90,6,39,38,1,1,0,16,2,284,65,36,22,103,0,6,1,6,45,0,51,26,11,15,1,75,14,2,284,1,1,1,3,4,3,2,7,2,375,14,717,5,0,0,717,2,3,1,1,4238
12/1/11,31,9,1,1,0,19,1,1,79,1,1,0,3,1,1,6,280,7,15,31,48,6,385,3,1,0,1,58,1,0,0,0,0,1,35,45,0,1,9,1,0,0,1,6,1,4,2,88,5,35,34,1,1,0,17,1,275,81,40,24,109,0,8,1,3,46,0,45,31,8,19,3,96,16,4,400,1,1,1,2,2,4,2,6,2,375,13,684,5,0,1,684,1,3,2,1,4278
1/1/12,24,11,1,1,0,28,1,1,90,1,1,0,4,2,1,6,270,9,16,36,58,10,425,3,1,0,1,62,1,0,0,4,0,1,40,53,0,1,9,1,0,1,1,9,1,4,2,99,6,42,25,1,1,0,16,1,259,81,38,22,95,0,10,1,4,40,0,55,28,11,18,2,101,14,3,509,1,1,1,2,4,11,2,5,1,409,10,767,5,0,1,767,3,1,1,1,4666
2/1/12,23,10,2,1,0,29,1,1,87,1,1,0,5,2,1,4,240,9,13,30,51,10,410,4,1,0,1,56,1,0,0,4,0,1,36,51,0,1,7,1,0,1,2,12,1,5,3,109,6,60,26,1,1,0,19,2,233,65,34,22,92,0,16,1,4,38,0,53,32,11,17,2,110,14,4,559,1,1,1,2,8,11,2,6,1,417,16,767,5,0,1,767,2,4,1,1,4664
3/1/12,26,11,2,1,0,25,1,1,90,1,1,0,9,1,1,4,227,10,14,30,51,10,400,7,1,1,1,51,1,0,0,7,0,1,39,58,0,1,12,1,0,1,1,9,1,6,2,113,7,68,26,1,1,0,17,2,226,61,44,21,98,0,15,2,6,32,0,56,32,10,19,1,96,15,5,525,1,1,1,2,5,8,2,5,2,384,16,725,5,0,1,725,2,5,1,1,4508
4/1/12,22,10,3,1,0,27,1,3,114,1,1,0,10,2,1,4,244,7,17,28,55,9,390,17,1,1,1,63,1,0,1,10,0,2,43,53,0,5,12,1,1,2,2,26,1,6,2,138,9,47,24,1,1,0,19,3,246,76,40,22,89,0,16,3,5,34,0,54,25,12,27,1,99,18,6,584,1,1,1,2,5,8,1,5,1,417,19,734,5,0,1,734,2,5,1,1,4744
5/1/12,25,10,2,1,1,28,1,3,130,1,1,0,11,2,1,7,274,6,17,29,51,8,385,15,1,1,1,61,1,1,1,13,0,2,39,57,0,2,13,1,1,2,3,22,1,10,5,159,7,47,27,1,1,0,20,2,268,79,43,22,95,0,8,2,5,35,0,61,29,11,38,1,92,15,7,734,1,1,1,3,5,5,2,7,3,426,15,750,3,0,0,750,2,5,1,1,5037
6/1/12,26,12,1,1,0,42,2,5,136,1,1,0,11,1,1,5,327,9,21,34,44,10,380,55,1,1,0,66,1,1,1,16,0,3,48,60,0,5,12,1,1,3,3,33,1,9,5,137,9,55,24,1,1,0,20,1,313,68,51,22,86,0,5,2,6,29,0,56,24,10,37,1,109,18,4,725,0,1,1,2,4,4,1,5,3,384,17,775,7,0,0,775,3,6,1,1,5200
7/1/12,27,14,2,1,0,39,3,5,155,1,1,0,19,2,1,7,317,9,19,32,50,9,395,37,1,1,0,75,1,1,1,22,0,2,46,72,0,6,13,1,1,1,2,30,1,9,4,140,11,48,31,1,1,0,23,2,323,92,47,22,89,0,5,2,2,34,0,59,25,11,40,1,104,13,6,675,0,2,1,3,4,3,1,5,1,350,15,759,5,0,0,759,3,6,1,1,5161
8/1/12,26,11,2,2,0,48,2,3,168,1,1,0,23,2,1,8,334,9,22,28,53,9,360,34,1,1,0,83,1,1,1,25,0,2,65,78,0,6,16,1,1,3,2,34,1,8,4,147,8,64,25,1,1,1,19,2,323,106,48,24,92,0,7,1,3,40,0,63,25,13,46,1,98,16,4,617,0,1,1,2,6,4,1,6,2,325,16,759,7,0,0,759,2,5,1,1,5174
9/1/12,20,10,1,1,0,47,1,4,160,1,1,0,16,2,1,7,270,8,20,24,41,8,370,37,1,1,0,67,1,1,1,29,1,2,58,67,0,7,13,1,1,2,2,33,1,9,3,130,8,48,18,1,1,0,15,1,265,77,43,25,100,0,11,1,7,32,0,69,28,11,51,1,93,15,3,492,0,1,1,9,5,3,2,7,1,317,11,809,4,0,0,809,4,4,1,1,4886
10/1/12,17,10,2,1,0,55,3,5,149,2,1,0,14,1,1,7,257,6,20,29,39,9,370,25,1,1,0,68,1,2,1,32,1,3,54,66,0,7,13,1,1,2,2,39,1,8,5,125,8,48,20,1,1,0,18,2,262,66,53,25,89,1,13,2,4,35,0,68,26,9,58,2,91,16,2,550,0,1,1,9,7,3,1,4,2,317,13,809,7,0,0,809,4,7,1,1,4923
11/1/12,19,11,1,1,0,47,4,6,171,1,1,1,19,2,1,5,260,6,20,26,41,8,340,27,1,1,1,74,2,6,2,38,3,2,52,70,0,6,14,2,1,2,2,40,1,9,4,123,5,45,19,1,1,0,19,1,249,66,47,23,86,0,11,2,4,35,0,59,23,12,62,1,83,12,3,559,0,1,1,7,5,4,1,6,2,309,12,750,7,0,0,750,3,4,1,1,4766
12/1/12,18,8,1,1,0,63,4,7,217,2,1,1,18,2,1,5,244,5,24,28,34,8,330,42,2,1,0,72,1,6,1,54,2,5,54,83,0,10,19,1,1,5,2,39,1,10,4,130,7,47,18,1,1,0,17,1,242,88,52,22,100,0,9,3,4,61,0,48,28,8,64,2,68,10,3,517,0,1,1,5,5,4,1,4,2,309,9,775,5,0,0,775,3,4,1,1,4893
1/1/13,17,15,1,1,0,69,3,9,246,1,0,1,24,2,1,8,264,7,20,24,67,8,360,38,0,1,0,88,0,4,1,57,2,3,68,87,0,12,21,1,2,5,3,52,1,9,3,130,8,43,18,1,1,0,17,1,255,74,41,19,89,0,6,1,5,76,0,54,30,10,65,1,65,16,3,459,0,1,1,7,6,4,1,4,2,284,9,759,9,0,0,759,2,6,0,1,4949
2/1/13,19,12,2,1,0,65,4,4,236,1,1,1,23,1,1,7,244,6,21,19,83,8,370,33,0,1,0,81,1,2,2,60,1,3,74,77,0,8,19,2,3,3,4,45,1,10,3,119,8,52,18,0,1,1,18,2,236,83,47,23,83,0,4,2,4,45,0,51,26,9,42,1,80,13,4,517,0,1,1,9,10,3,1,4,1,267,11,784,5,0,0,784,3,5,1,1,4942
3/1/13,14,12,2,2,0,63,4,5,206,1,1,0,23,1,1,8,274,5,19,23,81,7,345,37,0,0,0,72,1,5,2,54,2,3,54,79,0,10,17,0,2,6,3,48,0,6,3,125,5,45,16,0,1,1,18,2,265,65,47,22,100,0,5,2,3,32,0,54,29,9,31,3,99,15,4,559,0,0,1,7,6,3,0,3,1,234,10,767,8,0,0,767,2,7,0,1,4875
4/1/13,17,9,1,1,0,65,4,6,203,2,1,0,19,3,1,6,247,5,20,23,81,6,340,42,0,1,0,84,1,10,2,63,5,3,50,78,0,9,18,1,2,5,3,56,1,8,2,147,7,55,18,0,1,1,21,1,242,57,43,21,98,0,4,2,4,33,0,51,32,13,35,2,93,14,3,542,0,0,1,8,6,2,1,4,0,300,12,759,3,0,0,759,3,6,0,0,4908
5/1/13,12,8,2,1,0,58,5,5,192,1,0,0,11,2,1,6,224,5,19,20,82,6,325,32,0,1,0,75,1,9,1,60,6,3,57,79,0,14,19,1,2,18,4,49,1,9,1,145,6,56,10,1,1,1,21,2,213,74,56,23,103,0,7,2,3,61,0,53,24,10,30,2,85,16,3,426,0,2,1,8,8,3,1,4,1,242,11,742,6,0,0,742,3,5,0,0,4640
6/1/13,15,14,2,2,0,59,5,6,217,2,1,0,10,3,1,7,227,6,22,20,70,8,330,47,0,1,0,90,1,9,3,66,7,4,60,83,0,13,19,1,2,7,4,57,0,8,2,150,8,61,14,0,0,2,22,2,223,68,50,19,100,0,5,2,3,34,0,62,21,10,29,2,88,15,5,534,0,1,0,23,8,4,1,5,2,259,12,725,6,0,0,725,3,8,0,1,4823
7/1/13,16,10,2,2,0,75,4,9,228,3,0,0,8,3,1,10,220,6,19,18,73,9,320,52,0,1,0,102,2,11,2,75,4,5,59,91,0,15,22,1,2,11,3,59,1,7,4,154,8,50,17,1,1,2,21,2,217,62,57,21,103,0,2,2,3,33,0,60,18,12,26,4,69,13,3,700,0,1,1,11,10,5,0,4,1,251,12,692,5,0,0,692,3,7,0,1,4922
8/1/13,16,6,3,1,0,82,4,6,217,2,1,0,9,3,1,7,194,6,22,17,75,7,300,54,0,3,0,94,1,9,2,79,8,4,54,89,0,12,22,0,2,6,3,56,0,8,2,173,6,62,16,1,0,2,18,3,197,49,53,21,115,0,3,4,2,31,0,65,22,9,25,2,74,20,3,634,0,1,1,11,10,4,1,2,1,251,10,659,4,0,0,659,4,7,0,1,4723
9/1/13,16,8,3,1,0,64,3,5,198,1,0,0,7,1,1,8,197,4,18,17,62,7,290,45,1,1,0,68,1,9,2,75,9,2,54,77,0,12,21,1,2,5,5,51,1,9,2,152,7,55,15,1,1,2,19,3,194,45,51,20,112,0,5,3,4,48,0,50,24,10,23,3,61,17,4,484,0,0,0,9,8,3,1,3,1,242,8,675,5,0,0,675,2,6,0,1,4416
10/1/13,11,7,2,2,0,59,3,4,187,1,1,0,6,3,2,7,194,4,15,15,61,6,295,48,1,1,0,67,0,9,3,57,10,2,51,68,0,10,13,1,1,5,4,56,1,6,1,135,5,52,12,1,1,1,20,2,191,59,52,22,112,0,5,2,4,40,0,51,25,10,24,2,62,14,4,459,0,0,1,11,7,3,1,5,2,209,8,667,4,0,2,667,2,5,0,1,4262
11/1/13,12,5,2,1,1,58,3,6,198,0,0,0,6,2,0,6,177,4,18,16,72,7,295,47,0,2,0,79,1,11,3,66,7,2,51,70,0,10,17,0,1,4,4,57,2,7,2,145,8,58,12,0,1,2,21,2,181,51,54,25,115,0,3,2,4,23,0,51,21,10,21,5,60,16,3,509,0,0,0,7,4,4,1,3,0,217,8,642,5,3,19,642,2,6,0,1,4299
12/1/13,11,6,2,1,1,65,2,6,206,1,0,0,7,2,1,6,184,5,17,13,74,8,260,48,1,3,0,83,1,10,2,72,11,3,51,81,0,11,15,1,2,9,3,49,2,6,2,140,5,51,12,0,1,1,18,2,181,52,51,20,112,0,3,1,3,21,0,47,18,13,26,1,49,15,3,559,0,1,0,9,10,2,1,4,2,226,11,592,4,4,13,592,2,5,0,1,4228
1/1/14,14,7,2,1,1,75,3,9,233,1,0,0,7,3,1,7,190,5,14,13,72,8,275,43,0,3,1,83,1,14,2,79,18,5,67,78,0,11,15,1,2,8,3,59,1,8,2,144,4,55,14,0,0,2,19,2,191,79,42,20,103,0,1,2,2,27,0,50,21,8,27,1,48,15,3,476,0,0,1,7,8,6,0,4,2,251,9,642,5,15,12,642,2,7,0,1,4415
2/1/14,11,9,2,1,1,68,3,6,225,1,1,0,6,2,0,7,180,3,12,12,77,7,280,44,0,2,1,63,1,10,3,72,15,4,74,90,0,11,19,1,3,4,3,71,1,8,3,138,6,61,10,1,0,2,19,2,178,43,41,23,100,0,2,3,3,26,0,53,17,7,25,2,46,13,3,426,0,1,0,9,11,3,1,6,2,284,12,600,2,18,11,600,2,6,0,1,4236
3/1/14,11,8,2,1,1,68,3,4,219,2,0,0,7,3,1,8,170,3,13,12,62,8,275,44,0,3,0,84,1,13,2,75,18,3,66,93,0,9,16,0,2,7,4,63,1,8,2,145,5,52,10,1,1,2,16,2,168,38,40,19,109,0,2,3,4,29,0,52,19,7,26,2,46,14,3,492,0,1,0,7,13,4,1,4,1,275,12,617,3,2,7,617,2,6,0,1,4275
4/1/14,13,5,2,1,1,80,3,6,228,1,0,0,7,2,1,7,177,3,12,10,49,6,250,53,1,2,0,95,0,12,2,91,19,4,61,79,0,12,15,1,3,6,2,66,1,7,2,159,5,75,13,1,1,2,17,2,178,36,46,18,118,0,3,2,5,21,0,47,18,8,22,3,47,12,3,501,0,1,0,8,13,3,0,4,1,259,11,609,4,16,9,609,3,8,0,1,4320
5/1/14,14,7,2,1,1,78,3,9,219,1,0,0,8,2,1,6,164,3,13,11,50,5,235,44,1,4,0,91,1,12,2,79,22,6,55,75,0,10,20,1,2,6,3,67,1,6,1,168,5,73,14,1,1,2,21,2,165,33,45,17,103,0,1,2,3,21,0,45,19,8,20,3,46,14,3,476,0,2,0,7,12,4,1,6,2,275,10,584,3,5,10,584,3,6,0,1,4168
6/1/14,12,6,2,1,1,73,3,8,230,1,0,0,7,2,1,6,174,2,13,10,49,6,220,47,0,3,0,89,1,11,2,91,18,4,66,73,0,14,19,0,2,7,3,64,1,6,2,152,5,66,13,0,1,1,16,2,171,31,42,19,115,0,1,2,2,26,0,51,19,9,23,4,50,16,5,417,0,2,1,9,11,3,0,6,1,267,12,575,3,3,8,575,2,5,0,1,4093
7/1/14,11,6,2,2,0,73,3,7,236,1,1,0,7,1,1,5,180,4,11,10,52,5,210,58,0,3,0,80,0,14,1,97,19,4,74,79,0,13,18,0,3,6,4,64,1,8,2,163,6,49,11,1,1,2,18,2,175,29,42,19,106,0,1,3,2,20,0,49,17,10,21,4,54,18,3,476,0,2,0,8,15,7,0,4,2,309,15,550,1,29,9,550,2,6,0,1,4188
8/1/14,13,6,2,0,0,85,4,6,255,1,0,0,6,2,2,6,167,2,9,13,44,6,215,60,0,5,0,81,1,12,3,107,21,4,68,73,0,12,16,0,2,7,4,69,1,6,2,156,6,72,13,1,1,3,19,2,168,21,46,18,115,0,1,4,2,19,0,56,16,8,22,3,70,17,3,609,1,2,1,8,13,5,0,4,2,300,12,525,2,2,6,525,2,8,1,1,4289
9/1/14,11,6,2,1,0,85,2,8,211,1,1,0,8,2,1,6,177,4,11,12,44,4,210,58,0,3,0,75,1,9,1,85,18,5,63,76,0,8,15,0,2,8,3,64,1,5,1,149,7,55,11,1,0,2,16,2,175,21,34,18,115,0,0,3,3,20,0,55,20,11,22,2,60,20,3,517,0,1,1,9,13,4,1,5,2,309,9,834,3,4,5,834,2,7,0,1,4694
10/1/14,14,5,3,1,0,78,4,5,198,1,1,0,5,1,1,3,154,2,7,11,40,5,220,59,0,2,0,78,1,8,2,88,21,5,69,64,0,8,16,0,2,7,2,64,2,5,1,149,6,59,13,1,1,1,18,3,149,18,38,17,112,0,1,2,3,16,0,59,16,9,18,3,59,16,4,359,0,1,1,5,11,5,2,4,2,275,10,525,2,18,9,525,2,8,1,1,3820
11/1/14,16,6,3,1,0,62,2,8,211,1,1,0,7,2,1,5,150,3,6,11,35,5,205,69,1,2,0,78,1,12,1,97,23,6,63,68,0,9,16,0,1,7,3,64,3,4,2,137,3,48,16,1,0,1,17,3,149,20,33,15,115,0,2,3,4,18,0,45,18,7,22,2,57,16,3,334,0,0,0,6,17,3,1,8,1,309,11,509,3,2,5,509,3,5,0,1,3753
12/1/14,19,5,2,1,1,77,4,7,238,1,1,0,6,2,0,5,150,1,7,11,33,4,180,75,0,2,1,74,2,14,2,104,25,6,70,71,0,10,16,1,2,13,2,57,2,5,2,147,4,50,20,1,1,2,16,2,149,16,32,17,109,0,1,3,3,16,0,47,16,9,18,3,66,15,3,375,0,1,1,6,19,2,2,6,2,259,9,476,3,2,5,476,3,5,1,2,3732
1/1/15,20,6,2,1,1,95,3,11,255,2,1,0,6,2,1,7,160,2,7,10,33,5,195,77,1,5,0,86,2,14,2,116,35,7,83,80,0,10,18,1,5,9,3,66,5,6,3,156,3,66,19,1,1,3,20,2,159,11,29,15,103,0,1,4,2,16,0,47,18,11,23,2,49,15,3,409,0,1,2,6,23,5,1,8,4,350,10,534,3,11,7,534,2,6,0,2,4156
2/1/15,15,4,3,1,1,87,4,7,225,2,1,0,10,3,1,5,144,2,6,10,36,3,190,48,1,4,1,84,2,11,1,100,28,5,66,76,0,10,20,1,2,11,3,64,4,5,2,147,5,55,14,1,1,1,16,3,139,9,29,16,106,0,1,4,3,19,0,46,18,9,23,1,39,19,3,392,0,0,1,7,20,3,1,9,1,392,9,559,1,18,6,559,2,6,0,2,4024
3/1/15,16,5,2,1,1,99,4,8,228,2,1,0,9,3,1,6,150,2,8,7,36,4,195,52,1,4,0,73,2,11,2,110,24,5,63,69,0,10,18,1,2,9,3,67,2,3,2,142,4,55,17,1,1,3,19,2,149,12,34,14,121,0,2,4,4,14,0,43,18,5,22,3,47,15,3,300,0,0,1,7,16,4,0,9,2,367,9,542,2,3,4,542,2,6,0,2,3893
4/1/15,19,5,3,1,2,87,4,13,233,3,0,0,7,3,1,7,150,3,6,10,35,4,200,49,1,4,0,79,1,14,1,113,23,7,63,71,0,11,20,0,2,7,2,61,3,5,2,149,4,54,20,1,1,3,18,3,149,15,33,12,115,0,3,4,3,16,0,44,18,7,19,3,52,18,3,292,0,1,0,6,14,4,0,9,2,342,8,542,3,23,8,542,2,5,0,2,3907
5/1/15,14,4,1,2,1,80,4,13,233,1,1,0,6,2,1,7,127,2,5,8,33,4,180,45,1,5,0,86,1,8,2,113,21,7,73,72,0,9,12,0,3,7,2,66,3,6,1,140,2,59,11,1,1,2,15,1,120,13,29,13,130,0,2,2,2,17,0,37,17,6,17,2,53,14,2,325,0,0,0,5,19,8,0,11,2,334,7,534,2,3,8,534,2,5,0,1,3780
6/1/15,18,4,2,1,2,94,3,9,257,1,1,0,9,1,1,7,130,2,6,10,33,4,180,55,0,4,0,93,2,13,3,113,25,5,100,75,0,11,10,0,4,15,3,69,2,6,3,147,2,60,18,1,2,2,13,2,130,12,24,15,112,0,1,3,2,16,0,34,15,6,19,3,62,14,3,375,0,0,0,5,18,6,0,7,1,309,10,525,2,4,8,525,2,7,0,2,3910
7/1/15,22,5,2,2,3,110,3,9,260,1,1,1,8,3,1,7,147,2,4,6,31,4,185,77,1,4,1,99,2,13,1,141,32,5,73,80,0,16,11,1,5,15,4,67,3,5,1,156,4,51,21,1,0,2,18,2,139,12,25,14,130,0,1,2,1,18,0,40,16,6,21,3,55,14,2,309,0,1,0,6,23,15,0,8,2,384,11,542,2,32,11,542,2,6,0,2,4126
8/1/15,20,4,2,2,3,98,6,7,249,2,1,0,8,2,1,6,157,2,6,9,28,5,180,55,2,6,1,99,1,11,6,150,25,6,65,77,0,27,10,0,6,9,3,69,2,6,2,152,3,67,21,2,1,3,15,2,152,9,24,13,136,1,1,3,2,13,0,39,14,7,20,3,60,15,2,300,0,1,0,5,23,49,1,9,1,467,7,575,1,4,9,575,2,7,0,2,4254
9/1/15,16,5,3,1,2,83,3,10,222,2,1,1,5,3,1,9,137,2,5,9,27,4,160,58,1,5,1,86,1,11,2,125,29,6,65,69,0,22,7,0,10,7,3,62,2,4,2,161,2,68,15,2,1,4,17,3,136,7,27,13,136,0,3,2,3,16,0,49,16,6,19,3,48,16,3,292,0,0,1,7,40,114,1,7,2,834,7,634,1,2,9,634,2,6,0,1,4659
10/1/15,14,3,3,1,1,74,3,7,214,2,1,1,7,3,1,9,124,1,4,8,26,2,160,50,1,4,0,77,1,13,2,135,22,4,73,68,0,18,7,0,7,9,2,61,1,4,1,152,2,82,14,1,1,3,16,3,123,7,25,12,156,0,2,3,1,14,0,38,15,6,19,4,50,11,3,350,1,0,1,7,25,46,1,7,1,542,7,600,1,23,13,600,2,7,0,2,4228
11/1/15,12,4,2,2,1,100,3,11,228,1,0,1,7,2,4,9,147,1,4,8,23,4,145,59,0,4,1,80,1,11,1,154,32,6,71,64,0,22,8,1,8,11,2,58,3,5,1,132,3,72,11,1,0,4,12,2,149,4,21,8,148,0,1,4,2,15,0,36,16,8,18,3,47,14,2,309,1,0,0,5,20,27,0,6,2,417,7,625,1,3,6,625,1,7,0,0,4117
12/1/15,13,4,2,2,1,104,2,9,236,2,1,1,8,3,4,8,134,1,4,7,25,3,140,67,1,3,1,81,1,13,2,175,34,5,70,64,1,25,7,1,8,13,1,56,5,5,1,135,3,73,15,1,1,4,12,2,133,6,19,11,159,0,3,2,2,14,0,31,17,7,23,4,46,14,3,284,1,1,1,5,19,15,1,6,1,359,7,600,2,2,5,600,2,5,0,2,4012
1/1/16,11,4,1,1,2,95,2,8,244,2,1,2,8,4,6,9,130,1,4,9,28,3,155,65,1,6,1,97,1,16,3,197,40,4,71,70,2,22,5,0,15,11,2,68,3,3,2,130,3,70,12,1,1,4,15,1,126,6,20,10,165,0,3,3,2,14,0,41,16,10,21,3,48,16,2,275,1,1,0,5,18,19,1,6,2,359,9,609,1,13,9,609,2,5,0,1,4123
